package_id,impact_score_standardized,moisture_score_standardized,latent_damage_score,damage_label,initial_probability,trained_logit,trained_probability,predicted_damage_at_0_5,binary_cross_entropy_contribution,probability_minus_label,signed_boundary_distance,classification_correct
PKG50-020,0.038609,-0.222495,0.086541,1,0.500000,-1.062045,0.256919,0,1.358995,-0.743081,-0.247627,0
PKG50-021,-0.639845,-1.074160,-3.131534,0,0.500000,-5.488484,0.004117,0,0.004126,0.004117,-1.279696,1
PKG50-022,-1.095169,2.862840,1.381409,1,0.500000,2.035832,0.884508,1,0.122724,-0.115492,0.474675,1
PKG50-023,-0.709623,-1.194225,-2.152827,0,0.500000,-6.019326,0.002425,0,0.002428,0.002425,-1.403468,1
PKG50-024,-0.250843,0.739391,-0.144460,0,0.500000,0.134349,0.533537,1,0.762576,0.533537,0.031325,0
PKG50-025,-1.087997,-0.732433,-3.509954,0,0.500000,-6.307362,0.001820,0,0.001821,0.001820,-1.470626,1
PKG50-026,-0.073205,0.820035,0.663686,1,0.500000,0.961963,0.723515,1,0.323634,-0.276485,0.224292,1
PKG50-027,-1.241127,0.195550,-1.900859,0,0.500000,-4.698824,0.009024,0,0.009065,0.009024,-1.095579,1
PKG50-028,1.808052,-0.967844,1.334025,1,0.500000,3.576877,0.972798,1,0.027579,-0.027202,0.833985,1
PKG50-029,-1.179522,0.334622,-1.537141,0,0.500000,-4.153179,0.015471,0,0.015592,0.015471,-0.968356,1
PKG50-030,0.723712,-0.376926,-0.110106,0,0.500000,1.046369,0.740077,1,1.347370,0.740077,0.243972,0
PKG50-031,0.001566,0.564730,-0.423384,0,0.500000,0.637010,0.654077,1,1.061540,0.654077,0.148525,0
PKG50-032,0.785718,0.052515,0.927261,1,0.500000,2.269376,0.906309,1,0.098375,-0.093691,0.529128,1
PKG50-033,0.810305,-1.805272,-1.436466,0,0.500000,-1.966588,0.122756,0,0.130970,0.122756,-0.458530,1
PKG50-034,0.233012,-0.843417,-0.095784,0,0.500000,-1.807135,0.140985,0,0.151969,0.140985,-0.421352,1
PKG50-035,0.704072,0.126143,0.956727,1,0.500000,2.146659,0.895356,1,0.110534,-0.104644,0.500515,1
PKG50-036,1.684530,0.239461,3.103170,1,0.500000,5.942271,0.997381,1,0.002623,-0.002619,1.385501,1
PKG50-037,0.258454,0.420111,0.807252,1,0.500000,1.225736,0.773071,1,0.257384,-0.226929,0.285793,1
PKG50-038,0.844880,-0.205393,1.320249,1,0.500000,1.882136,0.867856,1,0.141729,-0.132144,0.438839,1
PKG50-039,-1.122236,-0.868184,-2.521414,0,0.500000,-6.746698,0.001173,0,0.001174,0.001173,-1.573062,1
PKG50-040,0.586297,1.784413,2.740580,1,0.500000,5.582505,0.996251,1,0.003756,-0.003749,1.301618,1
PKG50-041,-0.751389,0.850597,-0.619553,0,0.500000,-1.409867,0.196255,0,0.218473,0.196255,-0.328725,1
PKG50-042,-1.315796,0.805334,0.317151,1,0.500000,-3.548352,0.027967,0,3.576718,-0.972033,-0.827335,0
PKG50-043,-0.363759,0.051806,-0.856713,0,0.500000,-1.872951,0.133201,0,0.142948,0.133201,-0.436698,1
PKG50-044,1.416666,2.206888,4.632819,1,0.500000,9.557114,0.999929,1,0.000071,-0.000071,2.228339,1
PKG50-045,-0.249832,-0.954564,-1.936061,0,0.500000,-3.805175,0.021771,0,0.022011,0.021771,-0.887216,1
PKG50-046,-0.838563,0.435402,-0.531496,0,0.500000,-2.690373,0.063544,0,0.065653,0.063544,-0.627288,1
PKG50-047,-0.083493,-0.431778,0.214723,1,0.500000,-1.989050,0.120357,0,2.117290,-0.879643,-0.463767,0
PKG50-048,-0.878480,-0.095431,-2.089712,0,0.500000,-4.069829,0.016793,0,0.016936,0.016793,-0.948922,1
PKG50-049,-0.576045,1.160386,0.201495,1,0.500000,-0.057116,0.485725,0,0.722113,-0.514275,-0.013317,0
PKG50-050,-0.267033,1.545666,1.056153,1,0.500000,1.952865,0.875759,1,0.132665,-0.124241,0.455330,1
PKG50-051,1.014634,0.894647,2.208345,1,0.500000,5.054287,0.993659,1,0.006362,-0.006341,1.178459,1
PKG50-052,0.368845,-1.229573,-0.218335,0,0.500000,-2.216723,0.098259,0,0.103428,0.098259,-0.516852,1
PKG50-053,0.916482,1.345541,2.844735,1,0.500000,5.750306,0.996828,1,0.003177,-0.003172,1.340743,1
PKG50-054,-0.151453,-1.308765,-1.466045,0,0.500000,-4.275296,0.013717,0,0.013812,0.013717,-0.996829,1
PKG50-055,-1.118842,-0.975225,-3.305219,0,0.500000,-6.983640,0.000926,0,0.000926,0.000926,-1.628307,1
PKG50-056,-1.116283,1.723900,-0.543496,0,0.500000,-0.691435,0.333714,0,0.406036,0.333714,-0.161215,1
PKG50-057,0.152406,1.117017,0.867362,1,0.500000,2.465976,0.921722,1,0.081512,-0.078278,0.574968,1
PKG50-058,-0.714783,0.962976,-0.206306,0,0.500000,-1.016410,0.265727,0,0.308875,0.265727,-0.236986,1
PKG50-059,0.632008,1.039324,1.673850,1,0.500000,4.012758,0.982238,1,0.017922,-0.017762,0.935616,1
PKG50-060,-0.659216,-0.169435,-0.979851,0,0.500000,-3.452256,0.030702,0,0.031183,0.030702,-0.804929,1
PKG50-061,-0.867407,-1.545486,-3.578157,0,0.500000,-7.405361,0.000608,0,0.000608,0.000608,-1.726636,1
PKG50-062,-1.191147,-0.151331,-2.960645,0,0.500000,-5.326250,0.004839,0,0.004850,0.004839,-1.241870,1
PKG50-063,-0.419419,-0.932216,-3.024565,0,0.500000,-4.364045,0.012567,0,0.012647,0.012567,-1.017522,1
PKG50-064,-0.785162,0.907294,0.052014,1,0.500000,-1.399547,0.197888,0,1.620054,-0.802112,-0.326319,0
PKG50-065,0.528703,0.840330,2.705208,1,0.500000,3.177415,0.959975,1,0.040848,-0.040025,0.740847,1
PKG50-066,0.481957,0.053868,0.990917,1,0.500000,1.178309,0.764644,1,0.268345,-0.235356,0.274735,1
PKG50-067,1.019386,0.029465,1.416623,1,0.500000,3.057445,0.955103,1,0.045936,-0.044897,0.712875,1
PKG50-068,-0.219521,0.213906,-1.238416,0,0.500000,-0.976039,0.273678,0,0.319762,0.273678,-0.227574,1
PKG50-069,0.739587,-0.852756,-0.244633,0,0.500000,-0.004076,0.498981,0,0.691111,0.498981,-0.000950,1
PKG50-070,-0.287823,-1.075209,-2.280356,0,0.500000,-4.222863,0.014445,0,0.014550,0.014445,-0.984604,1
PKG50-071,0.166323,-0.235993,0.244078,1,0.500000,-0.633410,0.346738,0,1.059187,-0.653262,-0.147686,0
PKG50-072,1.463813,-1.038070,1.384607,1,0.500000,2.173378,0.897833,1,0.107771,-0.102167,0.506745,1
PKG50-073,0.041933,1.725625,2.210272,1,0.500000,3.484737,0.970250,1,0.030201,-0.029750,0.812502,1
PKG50-074,2.173768,-2.350987,0.531316,1,0.500000,1.674607,0.842189,1,0.171751,-0.157811,0.390452,1
PKG50-075,0.450449,-1.547028,-1.237624,0,0.500000,-2.661734,0.065269,0,0.067497,0.065269,-0.620611,1
PKG50-076,-0.807843,0.588922,-1.985850,0,0.500000,-2.222351,0.097761,0,0.102876,0.097761,-0.518164,1
PKG50-077,0.512319,2.322856,2.593559,1,0.500000,6.569400,0.998599,1,0.001402,-0.001401,1.531723,1
PKG50-078,-0.389851,0.630514,0.384586,1,0.500000,-0.619832,0.349820,0,1.050337,-0.650180,-0.144520,0
PKG50-079,0.677431,0.973128,1.718741,1,0.500000,4.022292,0.982403,1,0.017753,-0.017597,0.937839,1
PKG50-080,-0.403226,1.136021,-0.409777,0,0.500000,0.508701,0.624502,1,0.979502,0.624502,0.118609,0
PKG50-081,-1.262526,-0.629508,-2.641788,0,0.500000,-6.696467,0.001234,0,0.001235,0.001234,-1.561350,1
PKG50-082,-0.007938,0.827646,0.377245,1,0.500000,1.214787,0.771145,1,0.259879,-0.228855,0.283240,1
PKG50-083,-0.496367,0.402151,-0.401807,0,0.500000,-1.535107,0.177248,0,0.195100,0.177248,-0.357926,1
PKG50-084,2.000000,-1.168411,2.237265,1,0.500000,3.801440,0.978150,1,0.022093,-0.021850,0.886345,1
PKG50-085,0.374925,0.193788,-0.505588,0,0.500000,1.118460,0.753703,1,1.401217,0.753703,0.260780,0
PKG50-086,-2.541812,-1.346000,-5.584045,0,0.500000,-12.972586,0.000002,0,0.000002,0.000002,-3.024691,1
PKG50-087,-0.377713,-0.112578,-0.544794,0,0.500000,-2.305868,0.090638,0,0.095012,0.090638,-0.537637,1
PKG50-088,-1.386761,-0.341191,-2.576874,0,0.500000,-6.472850,0.001542,0,0.001544,0.001542,-1.509211,1
PKG50-089,0.294797,0.295649,-0.491182,0,0.500000,1.066931,0.744013,1,1.362628,0.744013,0.248766,0
PKG50-090,0.487117,0.131274,0.469440,1,0.500000,1.377081,0.798522,1,0.224993,-0.201478,0.321081,1
PKG50-091,1.491789,-1.246630,1.854240,1,0.500000,1.788671,0.856764,1,0.154592,-0.143236,0.417047,1
PKG50-092,1.266950,1.115342,3.680027,1,0.500000,6.476917,0.998464,1,0.001537,-0.001536,1.510160,1
PKG50-093,0.470665,1.425320,2.141436,1,0.500000,4.330081,0.987005,1,0.013081,-0.012995,1.009603,1
PKG50-094,-0.590260,0.973976,0.168054,1,0.500000,-0.542244,0.367666,0,1.000581,-0.632334,-0.126430,0
PKG50-095,0.962202,-1.396422,-0.570560,0,0.500000,-0.467705,0.385160,0,0.486393,0.385160,-0.109050,1
PKG50-096,-0.396526,-1.292354,-1.957755,0,0.500000,-5.119903,0.005941,0,0.005959,0.005941,-1.193758,1
PKG50-097,-0.103579,-0.944889,-1.338966,0,0.500000,-3.255817,0.037118,0,0.037825,0.037118,-0.759127,1
PKG50-098,-0.584544,-0.836733,-1.564282,0,0.500000,-4.736598,0.008692,0,0.008730,0.008692,-1.104386,1
PKG50-099,0.811882,0.665399,0.524223,1,0.500000,3.790288,0.977910,1,0.022338,-0.022090,0.883744,1
PKG50-100,1.093752,0.854562,2.352832,1,0.500000,5.245978,0.994759,1,0.005255,-0.005241,1.223154,1
PKG50-101,-0.878584,-0.411187,-1.895295,0,0.500000,-4.805217,0.008120,0,0.008154,0.008120,-1.120385,1
PKG50-102,0.123862,0.429905,0.162151,1,0.500000,0.763704,0.682157,1,0.382495,-0.317843,0.178065,1
PKG50-103,-0.327075,-0.288886,-1.155721,0,0.500000,-2.533866,0.073518,0,0.076361,0.073518,-0.590797,1
PKG50-104,-0.000607,0.969457,0.669154,1,0.500000,1.571300,0.827969,1,0.188780,-0.172031,0.366365,1
PKG50-105,-0.914602,1.417006,-0.505413,0,0.500000,-0.679318,0.336413,0,0.410096,0.336413,-0.158390,1
PKG50-106,-0.278783,0.274602,-1.009127,0,0.500000,-1.048227,0.259566,0,0.300518,0.259566,-0.244405,1
PKG50-107,-0.268073,0.495623,-0.083069,0,0.500000,-0.495157,0.378679,0,0.475908,0.378679,-0.115451,1
PKG50-108,1.096571,1.504211,3.206381,1,0.500000,6.768377,0.998852,1,0.001149,-0.001148,1.578117,1
PKG50-109,-0.406484,0.207072,-0.080066,0,0.500000,-1.665430,0.159034,0,0.173205,0.159034,-0.388312,1
PKG50-110,0.842759,0.194649,1.580360,1,0.500000,2.805708,0.942983,1,0.058706,-0.057017,0.654180,1
PKG50-111,-1.478325,1.679690,0.095383,1,0.500000,-2.098504,0.109242,0,2.214187,-0.890758,-0.489288,0
PKG50-112,-0.059479,1.122819,0.918900,1,0.500000,1.716224,0.847642,1,0.165297,-0.152358,0.400155,1
PKG50-113,0.049355,2.611171,2.525956,1,0.500000,5.572835,0.996215,1,0.003792,-0.003785,1.299363,1
PKG50-114,-0.335712,0.769628,0.016195,1,0.500000,-0.100983,0.474776,0,0.744913,-0.525224,-0.023545,0
PKG50-115,1.681201,0.617864,3.758902,1,0.500000,6.811120,0.998900,1,0.001101,-0.001100,1.588082,1
PKG50-116,-1.504152,0.183298,-2.889782,0,0.500000,-5.674820,0.003420,0,0.003425,0.003420,-1.323142,1
PKG50-117,-0.793947,0.805325,-1.528964,0,0.500000,-1.668555,0.158617,0,0.172708,0.158617,-0.389041,1
PKG50-118,-0.615021,-1.096190,-3.135074,0,0.500000,-5.450344,0.004276,0,0.004286,0.004276,-1.270803,1
PKG50-119,-0.061849,2.073396,1.998346,1,0.500000,3.920427,0.980553,1,0.019639,-0.019447,0.914088,1
PKG50-120,2.291905,-0.200832,2.949582,1,0.500000,7.105265,0.999180,1,0.000820,-0.000820,1.656665,1
PKG50-121,0.885358,0.686227,1.087867,1,0.500000,4.103448,0.983753,1,0.016381,-0.016247,0.956761,1
PKG50-122,-1.137505,0.457545,-2.064112,0,0.500000,-3.715686,0.023760,0,0.024047,0.023760,-0.866350,1
PKG50-123,-0.769620,0.644130,-0.128215,0,0.500000,-1.956151,0.123884,0,0.132257,0.123884,-0.456097,1
PKG50-124,1.093177,0.044449,0.951032,1,0.500000,3.358137,0.966370,1,0.034208,-0.033630,0.782984,1
PKG50-125,0.784674,1.275268,2.236023,1,0.500000,5.111923,0.994012,1,0.006006,-0.005988,1.191897,1
PKG50-126,-1.132217,-0.522391,-2.215497,0,0.500000,-5.977719,0.002528,0,0.002531,0.002528,-1.393766,1
PKG50-127,-0.490123,-0.236179,-1.719190,0,0.500000,-2.998511,0.047493,0,0.048658,0.047493,-0.699133,1
PKG50-128,1.727186,0.388875,3.011162,1,0.500000,6.443731,0.998412,1,0.001589,-0.001588,1.502422,1
PKG50-129,1.067768,0.367005,1.851138,1,0.500000,4.017449,0.982319,1,0.017839,-0.017681,0.936709,1
PKG50-130,-0.210400,0.412199,0.086620,1,0.500000,-0.481599,0.381875,0,0.962663,-0.618125,-0.112290,0
PKG50-131,0.577315,-1.077597,-0.483525,0,0.500000,-1.111999,0.247498,0,0.284352,0.247498,-0.259274,1
PKG50-132,-0.667144,0.002042,-1.229480,0,0.500000,-3.081653,0.043870,0,0.044862,0.043870,-0.718519,1
PKG50-133,-1.071327,-0.437647,-2.728135,0,0.500000,-5.561114,0.003830,0,0.003837,0.003830,-1.296631,1
PKG50-134,-0.516950,1.180610,-0.369647,0,0.500000,0.202835,0.550536,1,0.799699,0.550536,0.047293,0
PKG50-135,-0.261259,2.038245,1.572314,1,0.500000,3.120283,0.957722,1,0.043198,-0.042278,0.727526,1
PKG50-136,-0.956951,-0.200641,-1.670994,0,0.500000,-4.597406,0.009977,0,0.010027,0.009977,-1.071932,1
PKG50-137,-0.120055,0.803663,-0.014012,0,0.500000,0.755088,0.680286,1,1.140330,0.680286,0.176057,0
PKG50-138,-1.791964,0.960012,-2.285968,0,0.500000,-4.903560,0.007365,0,0.007393,0.007365,-1.143315,1
PKG50-139,0.794371,0.233766,2.276853,1,0.500000,2.722460,0.938339,1,0.063644,-0.061661,0.634769,1
PKG50-140,0.228990,-1.504048,-1.115220,0,0.500000,-3.359431,0.033588,0,0.034165,0.033588,-0.783286,1
PKG50-141,0.237809,-0.689698,-0.390680,0,0.500000,-1.432030,0.192783,0,0.214162,0.192783,-0.333892,1
PKG50-142,0.879097,-0.477216,0.242107,1,0.500000,1.372647,0.797808,1,0.225888,-0.202192,0.320047,1
PKG50-143,-0.451575,-0.847275,-1.760968,0,0.500000,-4.282153,0.013625,0,0.013718,0.013625,-0.998428,1
PKG50-144,-0.296747,0.561812,0.044707,1,0.500000,-0.444374,0.390699,0,0.939817,-0.609301,-0.103610,0
PKG50-145,1.232245,0.319926,1.443987,1,0.500000,4.500343,0.989017,1,0.011044,-0.010983,1.049301,1
PKG50-146,-0.258003,0.726131,-0.499872,0,0.500000,0.077691,0.519413,1,0.732747,0.519413,0.018114,0
PKG50-147,-0.885891,1.464742,-0.409665,0,0.500000,-0.464776,0.385854,0,0.487522,0.385854,-0.108367,1
PKG50-148,-0.153336,-1.079843,-1.305096,0,0.500000,-3.749197,0.022995,0,0.023264,0.022995,-0.874164,1
PKG50-149,-0.559496,0.127049,-1.112399,0,0.500000,-2.402891,0.082953,0,0.086596,0.082953,-0.560259,1
PKG50-150,-0.097729,-0.073022,-1.188198,0,0.500000,-1.205224,0.230547,0,0.262076,0.230547,-0.281010,1
PKG50-151,0.921286,-0.588575,0.585046,1,0.500000,1.265402,0.779955,1,0.248520,-0.220045,0.295041,1
PKG50-152,0.099105,-0.496199,-1.093224,0,0.500000,-1.481249,0.185239,0,0.204860,0.185239,-0.345368,1
PKG50-153,-1.438538,-0.986483,-2.466691,0,0.500000,-8.161464,0.000285,0,0.000285,0.000285,-1.902929,1
PKG50-154,0.036984,-0.309196,-0.037466,0,0.500000,-1.269720,0.219305,0,0.247571,0.219305,-0.296048,1
PKG50-155,-0.582846,0.340456,-0.011627,0,0.500000,-1.990237,0.120232,0,0.128097,0.120232,-0.464044,1
PKG50-156,-1.057152,-0.672486,-2.080567,0,0.500000,-6.056707,0.002337,0,0.002339,0.002337,-1.412183,1
PKG50-157,-0.461090,2.001452,-0.460886,0,0.500000,2.314800,0.910095,1,2.409006,0.910095,0.539719,0
PKG50-158,-0.929553,-1.400987,-2.968924,0,0.500000,-7.292862,0.000680,0,0.000680,0.000680,-1.700405,1
PKG50-159,-0.870340,0.344575,-0.836162,0,0.500000,-3.016267,0.046696,0,0.047822,0.046696,-0.703274,1
PKG50-160,0.015096,1.852333,1.572230,1,0.500000,3.683013,0.975470,1,0.024836,-0.024530,0.858732,1
PKG50-161,1.871373,0.717032,2.991343,1,0.500000,7.727005,0.999559,1,0.000441,-0.000441,1.801630,1
PKG50-162,-0.516073,0.906517,-0.343937,0,0.500000,-0.432036,0.393640,0,0.500282,0.393640,-0.100734,1
PKG50-163,-0.387851,0.802533,-0.304003,0,0.500000,-0.212204,0.447147,0,0.592664,0.447147,-0.049478,1
PKG50-164,-1.634915,-0.519139,-3.609937,0,0.500000,-7.780982,0.000417,0,0.000418,0.000417,-1.814216,1
PKG50-165,0.629669,0.932607,2.020645,1,0.500000,3.755918,0.977155,1,0.023110,-0.022845,0.875731,1
PKG50-166,-0.452563,-0.953566,-2.814925,0,0.500000,-4.533135,0.010633,0,0.010690,0.010633,-1.056947,1
PKG50-167,1.515071,-0.990473,0.754147,1,0.500000,2.468817,0.921927,1,0.081290,-0.078073,0.575630,1
PKG50-168,-0.938906,0.799756,-0.560601,0,0.500000,-2.203693,0.099419,0,0.104716,0.099419,-0.513814,1
PKG50-169,-0.697916,0.677488,0.252669,1,0.500000,-1.620206,0.165176,0,1.800741,-0.834824,-0.377768,0
PKG50-170,0.949311,0.156564,1.811103,1,0.500000,3.100879,0.956929,1,0.044026,-0.043071,0.723002,1
PKG50-171,-0.241419,-0.623770,-1.154320,0,0.500000,-3.004852,0.047207,0,0.048358,0.047207,-0.700612,1
PKG50-172,-1.146405,0.588137,-2.204927,0,0.500000,-3.443755,0.030956,0,0.031445,0.030956,-0.802947,1
PKG50-173,0.780046,-0.594272,0.532374,1,0.500000,0.743362,0.677731,1,0.389005,-0.322269,0.173322,1
PKG50-174,-1.158161,-0.535889,-2.388193,0,0.500000,-6.102596,0.002232,0,0.002235,0.002232,-1.422883,1
PKG50-175,-0.090806,-0.377902,-1.226971,0,0.500000,-1.889981,0.131247,0,0.140696,0.131247,-0.440668,1
PKG50-176,-0.072653,-0.710549,-1.942788,0,0.500000,-2.598921,0.069208,0,0.071719,0.069208,-0.605965,1
PKG50-177,-0.311585,1.587227,0.715932,1,0.500000,1.889124,0.868656,1,0.140809,-0.131344,0.440469,1
PKG50-178,-0.344635,0.377964,-0.608558,0,0.500000,-1.044836,0.260218,0,0.301400,0.260218,-0.243614,1
PKG50-179,2.071311,0.398581,3.826141,1,0.500000,7.705941,0.999550,1,0.000450,-0.000450,1.796719,1
PKG50-180,-1.139017,-0.481762,-2.609287,0,0.500000,-5.907639,0.002711,0,0.002715,0.002711,-1.377427,1
PKG50-181,-0.612424,1.012776,-0.698467,0,0.500000,-0.531766,0.370105,0,0.462202,0.370105,-0.123987,1
PKG50-182,0.206384,-0.401795,-0.637792,0,0.500000,-0.875053,0.294204,0,0.348429,0.294204,-0.204028,1
PKG50-183,-0.632394,-0.028880,-1.313957,0,0.500000,-3.028455,0.046157,0,0.047256,0.046157,-0.706115,1
PKG50-184,1.743251,0.832326,3.462079,1,0.500000,7.533860,0.999466,1,0.000535,-0.000534,1.756597,1
PKG50-185,-0.916507,-1.170383,-3.568950,0,0.500000,-6.709070,0.001218,0,0.001219,0.001218,-1.564288,1
PKG50-186,0.691531,-0.717421,0.447050,1,0.500000,0.137846,0.534407,1,0.626597,-0.465593,0.032140,1
PKG50-187,-0.389491,-1.008431,-1.305045,0,0.500000,-4.433649,0.011732,0,0.011801,0.011732,-1.033751,1
PKG50-188,2.132686,0.359430,2.963033,1,0.500000,7.835893,0.999605,1,0.000395,-0.000395,1.827019,1
PKG50-189,0.064696,0.548895,1.284528,1,0.500000,0.827558,0.695838,1,0.362638,-0.304162,0.192954,1
PKG50-190,-0.373345,0.270067,-1.216534,0,0.500000,-1.399417,0.197909,0,0.220533,0.197909,-0.326288,1
PKG50-191,0.093630,-0.325825,-0.764825,0,0.500000,-1.104377,0.248921,0,0.286244,0.248921,-0.257497,1
PKG50-192,1.647653,-0.185522,0.847374,1,0.500000,4.820162,0.991999,1,0.008033,-0.008001,1.123870,1
PKG50-193,0.264221,0.863422,1.465530,1,0.500000,2.278444,0.907076,1,0.097529,-0.092924,0.531243,1
PKG50-194,1.102069,0.480746,2.769137,1,0.500000,4.405774,0.987941,1,0.012133,-0.012059,1.027251,1
PKG50-195,0.448631,0.300654,0.911920,1,0.500000,1.632727,0.836543,1,0.178478,-0.163457,0.380687,1
PKG50-196,0.640410,1.856763,2.618576,1,0.500000,5.945848,0.997390,1,0.002613,-0.002610,1.386335,1
PKG50-197,-0.441954,-0.845391,-2.221811,0,0.500000,-4.243111,0.014159,0,0.014261,0.014159,-0.989325,1
PKG50-198,0.821211,-0.728725,0.498197,1,0.500000,0.578670,0.640761,1,0.445098,-0.359239,0.134923,1
PKG50-199,1.663382,-0.326727,2.591828,1,0.500000,4.548126,0.989524,1,0.010531,-0.010476,1.060442,1
PKG50-200,0.458223,0.849180,1.040705,1,0.500000,2.944131,0.949985,1,0.051309,-0.050015,0.686454,1
PKG50-201,0.315224,-1.405649,-1.180437,0,0.500000,-2.819745,0.056266,0,0.057911,0.056266,-0.657452,1
PKG50-202,1.920531,-0.317195,2.072955,1,0.500000,5.496623,0.995916,1,0.004092,-0.004084,1.281594,1
PKG50-203,-0.165827,-0.041123,-0.698552,0,0.500000,-1.376274,0.201608,0,0.225156,0.201608,-0.320892,1
PKG50-204,0.121076,0.377645,-0.144046,0,0.500000,0.632018,0.652947,1,1.058277,0.652947,0.147361,0
PKG50-205,-0.940284,-1.555194,-2.261089,0,0.500000,-7.690478,0.000457,0,0.000457,0.000457,-1.793114,1
PKG50-206,-0.944867,-0.432768,-1.845188,0,0.500000,-5.094219,0.006095,0,0.006113,0.006095,-1.187769,1
PKG50-207,-0.255724,-1.098972,-3.089605,0,0.500000,-4.162550,0.015329,0,0.015448,0.015329,-0.970541,1
PKG50-208,0.312467,-2.204864,-2.928064,0,0.500000,-4.690078,0.009102,0,0.009144,0.009102,-1.093540,1
PKG50-209,-1.090443,-0.919364,-3.153807,0,0.500000,-6.751308,0.001168,0,0.001169,0.001168,-1.574137,1
PKG50-210,0.213302,0.315598,-0.279233,0,0.500000,0.819805,0.694195,1,1.184807,0.694195,0.191146,0
PKG50-211,-1.951231,-0.663220,-3.699162,0,0.500000,-9.255813,0.000096,0,0.000096,0.000096,-2.158088,1
PKG50-212,1.864675,-1.050576,1.697539,1,0.500000,3.588263,0.973097,1,0.027271,-0.026903,0.836640,1
PKG50-213,-2.137455,-0.339593,-3.375213,0,0.500000,-9.173300,0.000104,0,0.000104,0.000104,-2.138849,1
PKG50-214,1.845800,-0.396540,2.918825,1,0.500000,5.042727,0.993585,1,0.006435,-0.006415,1.175764,1
PKG50-215,-0.815973,-0.310328,-1.860220,0,0.500000,-4.344899,0.012807,0,0.012889,0.012807,-1.013058,1
PKG50-216,0.182383,0.153518,0.540672,1,0.500000,0.331140,0.582037,1,0.541222,-0.417963,0.077209,1
PKG50-217,-0.099782,1.561643,1.790258,1,0.500000,2.592532,0.930379,1,0.072163,-0.069621,0.604475,1
PKG50-218,-0.922087,0.294536,-1.663061,0,0.500000,-3.319152,0.034920,0,0.035544,0.034920,-0.773894,1
PKG50-219,-0.102790,-0.073960,-1.108827,0,0.500000,-1.225638,0.226946,0,0.257406,0.226946,-0.285770,1
PKG50-220,0.022357,0.715936,0.713089,1,0.500000,1.063879,0.743431,1,0.296479,-0.256569,0.248054,1
PKG50-221,-0.708018,-0.225167,-1.611947,0,0.500000,-3.757784,0.022803,0,0.023067,0.022803,-0.876166,1
PKG50-222,0.002965,-1.108278,-2.038110,0,0.500000,-3.252356,0.037242,0,0.037954,0.037242,-0.758320,1
PKG50-223,-1.543812,0.399619,-1.927300,0,0.500000,-5.314135,0.004897,0,0.004909,0.004897,-1.239045,1
PKG50-224,-0.450442,0.655271,0.169063,1,0.500000,-0.780465,0.314220,0,1.157663,-0.685780,-0.181973,0
PKG50-225,0.741944,0.262958,2.518742,1,0.500000,2.601558,0.930962,1,0.071537,-0.069038,0.606580,1
