distributor_id,market,product_id,product_family,training_interaction_count,held_out_relevant,seen_in_training,stock_available,market_eligible,popularity_score,latent_score,popularity_unseen_rank,latent_unseen_rank,final_business_score,final_eligible_rank,recommended_top_5
D43-004,AMER,SKU-04,tea,0,0,0,1,1,88.00,1.386651,1,1,1.390651,1,1
D43-004,AMER,SKU-05,noodles,5,0,1,1,1,46.00,1.057106,,,0.965106,,0
D43-004,AMER,SKU-06,spices,0,1,0,0,1,51.00,0.332795,6,3,0.410795,,0
D43-004,AMER,SKU-07,coffee,0,0,0,1,1,46.00,1.248533,8,2,1.336533,2,1
D43-004,AMER,SKU-08,tea,0,0,0,1,1,19.00,-0.131641,9,7,0.010359,5,1
D43-004,AMER,SKU-09,noodles,0,0,0,1,1,84.00,-0.162732,2,8,-0.330732,8,0
D43-004,AMER,SKU-10,spices,0,0,0,1,1,58.00,-0.271206,4,9,-0.207206,7,0
D43-004,AMER,SKU-11,coffee,0,0,0,0,1,4.00,-0.045527,10,6,0.126473,,0
D43-004,AMER,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,5,0.180000,3,1
D43-005,SEA,SKU-01,noodles,5,0,1,1,1,60.00,3.411562,,,3.291562,,0
D43-005,SEA,SKU-02,spices,4,0,1,1,1,51.00,3.072415,,,2.970415,,0
D43-005,SEA,SKU-03,coffee,0,0,0,1,1,50.00,1.514730,5,2,1.594730,1,1
D43-005,SEA,SKU-04,tea,0,0,0,1,1,88.00,-0.297771,1,9,-0.293771,7,0
D43-005,SEA,SKU-05,noodles,0,0,0,1,1,46.00,0.073203,6,5,-0.018797,5,1
D43-005,SEA,SKU-06,spices,0,0,0,0,1,51.00,2.084560,4,1,1.982560,,0
D43-005,SEA,SKU-07,coffee,0,0,0,1,1,46.00,0.575518,7,4,0.663518,3,1
D43-005,SEA,SKU-08,tea,0,0,0,1,1,19.00,1.034432,8,3,1.176432,2,1
D43-005,SEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.330199,2,10,-0.498199,8,0
D43-005,SEA,SKU-10,spices,0,0,0,1,1,58.00,-0.154720,3,8,-0.270720,6,0
D43-005,SEA,SKU-11,coffee,0,0,0,0,1,4.00,0.030298,9,6,0.202298,,0
D43-005,SEA,SKU-12,tea,0,1,0,1,1,0.00,0.000000,10,7,0.180000,4,1
D43-006,MEA,SKU-01,noodles,0,0,0,1,1,60.00,-0.181421,1,8,-0.301421,7,0
D43-006,MEA,SKU-02,spices,0,0,0,1,1,51.00,-0.326750,3,10,-0.248750,6,0
D43-006,MEA,SKU-03,coffee,0,0,0,1,1,50.00,0.814231,5,2,0.894231,1,1
D43-006,MEA,SKU-04,tea,3,0,1,1,1,88.00,2.276970,,,2.100970,,0
D43-006,MEA,SKU-05,noodles,0,0,0,1,1,46.00,0.701805,6,4,0.609805,3,1
D43-006,MEA,SKU-06,spices,0,0,0,0,1,51.00,-0.203566,4,9,-0.125566,,0
D43-006,MEA,SKU-07,coffee,0,0,0,1,1,46.00,0.795687,7,3,0.883687,2,1
D43-006,MEA,SKU-08,tea,0,0,0,1,1,19.00,-0.090585,8,7,-0.128585,5,1
D43-006,MEA,SKU-09,noodles,4,0,1,1,1,84.00,2.605482,,,2.437482,,0
D43-006,MEA,SKU-10,spices,0,0,0,1,0,58.00,1.814086,2,1,1.878086,,0
D43-006,MEA,SKU-11,coffee,0,1,0,0,1,4.00,0.104201,9,5,0.276201,,0
D43-006,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,10,6,0.000000,4,1
D43-007,EU,SKU-01,noodles,0,0,0,1,1,60.00,-0.301609,1,7,-0.421609,5,1
D43-007,EU,SKU-02,spices,0,0,0,1,1,51.00,-0.189619,2,6,-0.291619,4,1
D43-007,EU,SKU-03,coffee,0,0,0,1,1,50.00,1.517300,4,1,1.597300,1,1
D43-007,EU,SKU-04,tea,1,0,1,1,1,88.00,2.385564,,,2.209564,,0
D43-007,EU,SKU-05,noodles,2,0,1,1,1,46.00,0.374717,,,0.282717,,0
D43-007,EU,SKU-06,spices,0,0,0,0,1,51.00,-0.404699,3,8,-0.506699,,0
D43-007,EU,SKU-07,coffee,0,0,0,1,1,46.00,0.413547,5,2,0.501547,2,1
D43-007,EU,SKU-08,tea,0,0,0,1,1,19.00,-0.013405,6,5,-0.051405,3,1
D43-007,EU,SKU-09,noodles,5,0,1,1,1,84.00,3.748389,,,3.580389,,0
D43-007,EU,SKU-10,spices,3,0,1,1,1,58.00,2.704470,,,2.588470,,0
D43-007,EU,SKU-11,coffee,0,1,0,0,1,4.00,0.174193,7,3,0.346193,,0
D43-007,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,8,4,0.000000,,0
D43-008,AMER,SKU-01,noodles,0,0,0,1,1,60.00,-0.122241,1,7,-0.242241,6,0
D43-008,AMER,SKU-02,spices,0,0,0,1,1,51.00,-0.199864,2,9,-0.301864,7,0
D43-008,AMER,SKU-03,coffee,0,0,0,1,1,50.00,0.580642,4,1,0.660642,1,1
D43-008,AMER,SKU-04,tea,2,0,1,1,1,88.00,1.491486,,,1.315486,,0
D43-008,AMER,SKU-05,noodles,0,0,0,1,1,46.00,0.435326,5,3,0.343326,3,1
D43-008,AMER,SKU-06,spices,0,0,0,0,1,51.00,-0.143842,3,8,-0.245842,,0
D43-008,AMER,SKU-07,coffee,0,0,0,1,1,46.00,0.493401,6,2,0.581401,2,1
D43-008,AMER,SKU-08,tea,0,0,0,1,1,19.00,-0.052512,7,6,-0.090512,5,1
D43-008,AMER,SKU-09,noodles,2,0,1,1,1,84.00,1.776133,,,1.608133,,0
D43-008,AMER,SKU-10,spices,1,0,1,1,1,58.00,1.243190,,,1.127190,,0
D43-008,AMER,SKU-11,coffee,0,1,0,0,1,4.00,0.072742,8,4,0.244742,,0
D43-008,AMER,SKU-12,tea,0,0,0,1,1,0.00,0.000000,9,5,0.000000,4,1
D43-009,SEA,SKU-01,noodles,2,0,1,1,1,60.00,0.863401,,,0.743401,,0
D43-009,SEA,SKU-02,spices,0,0,0,1,1,51.00,0.477645,3,4,0.555645,3,1
D43-009,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.190279,5,6,0.270279,4,1
D43-009,SEA,SKU-04,tea,2,0,1,1,1,88.00,1.021751,,,0.845751,,0
D43-009,SEA,SKU-05,noodles,0,0,0,1,1,46.00,0.671329,6,2,0.579329,2,1
D43-009,SEA,SKU-06,spices,0,0,0,0,1,51.00,0.590671,4,3,0.668671,,0
D43-009,SEA,SKU-07,coffee,0,0,0,1,1,46.00,0.894192,7,1,0.982192,1,1
D43-009,SEA,SKU-08,tea,0,0,0,1,1,19.00,0.143874,8,7,0.105874,7,0
D43-009,SEA,SKU-09,noodles,0,0,0,1,1,84.00,0.281461,1,5,0.113461,6,0
D43-009,SEA,SKU-10,spices,0,1,0,1,1,58.00,0.132065,2,8,0.196065,5,1
D43-009,SEA,SKU-11,coffee,0,0,0,0,1,4.00,0.000911,9,9,0.172911,,0
D43-009,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,10,10,0.000000,8,0
D43-010,MEA,SKU-01,noodles,0,0,0,1,1,60.00,0.683536,3,1,0.743536,1,1
D43-010,MEA,SKU-02,spices,2,0,1,1,1,51.00,0.681787,,,0.579787,,0
D43-010,MEA,SKU-03,coffee,0,0,0,1,1,50.00,0.403770,6,2,0.483770,2,1
D43-010,MEA,SKU-04,tea,0,0,0,1,1,88.00,-0.205892,1,11,-0.201892,8,0
D43-010,MEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.109234,7,10,-0.021234,7,0
D43-010,MEA,SKU-06,spices,0,1,0,0,1,51.00,0.396401,5,3,0.294401,,0
D43-010,MEA,SKU-07,coffee,0,0,0,1,1,46.00,-0.025776,8,9,0.062224,5,1
D43-010,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.234939,9,4,0.376939,3,1
D43-010,MEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.008956,2,8,0.003044,6,0
D43-010,MEA,SKU-10,spices,0,0,0,1,0,58.00,0.029968,4,5,-0.086032,,0
D43-010,MEA,SKU-11,coffee,0,0,0,0,1,4.00,0.013876,10,6,0.185876,,0
D43-010,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,7,0.180000,4,1
D43-011,EU,SKU-01,noodles,2,0,1,1,1,60.00,2.526636,,,2.406636,,0
D43-011,EU,SKU-02,spices,5,0,1,1,1,51.00,2.388004,,,2.286004,,0
D43-011,EU,SKU-03,coffee,0,0,0,1,1,50.00,1.292301,5,2,1.372301,1,1
D43-011,EU,SKU-04,tea,0,0,0,1,1,88.00,-0.469124,1,10,-0.465124,7,0
D43-011,EU,SKU-05,noodles,0,0,0,1,1,46.00,-0.156417,6,9,-0.248417,5,1
D43-011,EU,SKU-06,spices,0,1,0,0,1,51.00,1.507705,4,1,1.405705,,0
D43-011,EU,SKU-07,coffee,0,0,0,1,1,46.00,0.186388,7,4,0.274388,3,1
D43-011,EU,SKU-08,tea,0,0,0,1,1,19.00,0.813168,8,3,0.955168,2,1
D43-011,EU,SKU-09,noodles,0,0,0,1,1,84.00,-0.147305,2,8,-0.315305,6,0
D43-011,EU,SKU-10,spices,0,0,0,1,1,58.00,-0.010942,3,7,-0.126942,4,1
D43-011,EU,SKU-11,coffee,0,0,0,0,1,4.00,0.035708,9,5,0.207708,,0
D43-011,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,10,6,0.180000,,0
D43-012,AMER,SKU-01,noodles,0,0,0,1,1,60.00,3.000599,3,1,3.060599,1,1
D43-012,AMER,SKU-02,spices,5,0,1,1,1,51.00,2.695470,,,2.593470,,0
D43-012,AMER,SKU-03,coffee,0,0,0,1,1,50.00,1.272013,5,2,1.352013,2,1
D43-012,AMER,SKU-04,tea,0,0,0,1,1,88.00,-0.329808,1,9,-0.325808,7,0
D43-012,AMER,SKU-05,noodles,0,0,0,1,1,46.00,0.059709,6,5,0.147709,6,0
D43-012,AMER,SKU-06,spices,5,0,1,0,1,51.00,1.841987,,,1.739987,,0
D43-012,AMER,SKU-07,coffee,0,0,0,1,1,46.00,0.499873,7,4,0.587873,4,1
D43-012,AMER,SKU-08,tea,0,1,0,1,1,19.00,0.905534,8,3,1.047534,3,1
D43-012,AMER,SKU-09,noodles,0,0,0,1,1,84.00,-0.415540,2,10,-0.403540,9,0
D43-012,AMER,SKU-10,spices,0,0,0,1,1,58.00,-0.227833,4,8,-0.343833,8,0
D43-012,AMER,SKU-11,coffee,0,0,0,0,1,4.00,0.020379,9,6,0.192379,,0
D43-012,AMER,SKU-12,tea,0,0,0,1,1,0.00,0.000000,10,7,0.180000,5,1
D43-013,SEA,SKU-01,noodles,1,0,1,1,1,60.00,0.408898,,,0.288898,,0
D43-013,SEA,SKU-02,spices,0,0,0,1,1,51.00,0.341768,4,1,0.419768,1,1
D43-013,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.141438,6,3,0.221438,3,1
D43-013,SEA,SKU-04,tea,0,0,0,1,1,88.00,0.022802,1,7,0.026802,6,0
D43-013,SEA,SKU-05,noodles,0,0,0,1,1,46.00,0.058334,7,6,-0.033666,8,0
D43-013,SEA,SKU-06,spices,0,0,0,0,1,51.00,0.258352,5,2,0.336352,,0
D43-013,SEA,SKU-07,coffee,0,0,0,1,1,46.00,0.125414,8,4,0.213414,4,1
D43-013,SEA,SKU-08,tea,0,0,0,1,1,19.00,0.112911,9,5,0.254911,2,1
D43-013,SEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.062457,2,11,-0.230457,9,0
D43-013,SEA,SKU-10,spices,0,0,0,1,1,58.00,-0.042931,3,10,0.021069,7,0
D43-013,SEA,SKU-11,coffee,0,0,0,0,1,4.00,0.000509,10,8,0.172509,,0
D43-013,SEA,SKU-12,tea,0,1,0,1,1,0.00,0.000000,11,9,0.180000,5,1
D43-014,MEA,SKU-01,noodles,0,0,0,1,1,60.00,1.975294,3,1,2.035294,1,1
D43-014,MEA,SKU-02,spices,2,0,1,1,1,51.00,1.672789,,,1.570789,,0
D43-014,MEA,SKU-03,coffee,0,0,0,1,1,50.00,0.666357,5,2,0.746357,2,1
D43-014,MEA,SKU-04,tea,0,0,0,1,1,88.00,-0.020971,1,8,-0.016971,7,0
D43-014,MEA,SKU-05,noodles,0,0,0,1,1,46.00,0.223561,6,5,0.311561,5,1
D43-014,MEA,SKU-06,spices,5,0,1,0,1,51.00,1.247385,,,1.145385,,0
D43-014,MEA,SKU-07,coffee,0,0,0,1,1,46.00,0.538537,7,4,0.626537,4,1
D43-014,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.553127,8,3,0.695127,3,1
D43-014,MEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.402105,2,10,-0.390105,8,0
D43-014,MEA,SKU-10,spices,0,0,0,1,0,58.00,-0.272785,4,9,-0.388785,,0
D43-014,MEA,SKU-11,coffee,0,1,0,0,1,4.00,-0.000435,9,7,0.171565,,0
D43-014,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,10,6,0.180000,6,0
D43-015,EU,SKU-01,noodles,0,0,0,1,1,60.00,1.767830,3,1,1.827830,1,1
D43-015,EU,SKU-02,spices,3,0,1,1,1,51.00,1.654020,,,1.552020,,0
D43-015,EU,SKU-03,coffee,0,0,0,1,1,50.00,0.863269,5,2,0.943269,2,1
D43-015,EU,SKU-04,tea,0,0,0,1,1,88.00,-0.316817,1,9,-0.492817,7,0
D43-015,EU,SKU-05,noodles,0,0,0,1,1,46.00,-0.083390,6,7,0.004610,4,1
D43-015,EU,SKU-06,spices,2,0,1,0,1,51.00,1.062270,,,0.960270,,0
D43-015,EU,SKU-07,coffee,0,0,0,1,1,46.00,0.159769,7,3,0.247769,3,1
D43-015,EU,SKU-08,tea,2,0,1,1,1,19.00,0.561483,,,0.523483,,0
D43-015,EU,SKU-09,noodles,0,0,0,1,1,84.00,-0.154525,2,8,-0.142525,5,1
D43-015,EU,SKU-10,spices,0,0,0,1,1,58.00,-0.049613,4,6,-0.165613,6,0
D43-015,EU,SKU-11,coffee,0,1,0,0,1,4.00,0.021310,8,4,0.193310,,0
D43-015,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,9,5,0.000000,,0
D43-016,AMER,SKU-01,noodles,0,0,0,1,1,60.00,0.430370,1,4,0.310370,4,1
D43-016,AMER,SKU-02,spices,0,0,0,1,1,51.00,-0.064268,3,8,-0.166268,7,0
D43-016,AMER,SKU-03,coffee,0,0,0,1,1,50.00,0.606867,4,3,0.506867,3,1
D43-016,AMER,SKU-04,tea,2,0,1,1,1,88.00,2.790927,,,2.614927,,0
D43-016,AMER,SKU-05,noodles,0,0,0,1,1,46.00,1.240154,5,2,1.148154,2,1
D43-016,AMER,SKU-06,spices,1,0,1,0,1,51.00,0.268234,,,0.166234,,0
D43-016,AMER,SKU-07,coffee,3,0,1,1,1,46.00,1.496126,,,1.404126,,0
D43-016,AMER,SKU-08,tea,0,0,0,1,1,19.00,-0.026911,6,7,-0.064911,6,0
D43-016,AMER,SKU-09,noodles,4,0,1,1,1,84.00,2.196645,,,2.028645,,0
D43-016,AMER,SKU-10,spices,0,0,0,1,1,58.00,1.448721,2,1,1.332721,1,1
D43-016,AMER,SKU-11,coffee,0,1,0,0,1,4.00,0.071021,7,5,0.063021,,0
D43-016,AMER,SKU-12,tea,0,0,0,1,1,0.00,0.000000,8,6,0.000000,5,1
D43-017,SEA,SKU-01,noodles,0,0,0,1,1,60.00,0.451644,3,2,0.511644,2,1
D43-017,SEA,SKU-02,spices,0,0,0,1,1,51.00,0.469877,5,1,0.547877,1,1
D43-017,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.305159,7,3,0.385159,3,1
D43-017,SEA,SKU-04,tea,0,0,0,1,1,88.00,-0.163897,1,11,-0.339897,9,0
D43-017,SEA,SKU-05,noodles,0,0,0,1,1,46.00,-0.105312,8,10,-0.017312,8,0
D43-017,SEA,SKU-06,spices,0,0,0,0,1,51.00,0.254550,6,4,0.332550,,0
D43-017,SEA,SKU-07,coffee,0,0,0,1,1,46.00,-0.054584,9,9,0.033416,6,0
D43-017,SEA,SKU-08,tea,4,0,1,1,1,19.00,0.163600,,,0.125600,,0
D43-017,SEA,SKU-09,noodles,0,1,0,1,1,84.00,0.032338,2,6,0.044338,5,1
D43-017,SEA,SKU-10,spices,0,0,0,1,1,58.00,0.053071,4,5,0.117071,4,1
D43-017,SEA,SKU-11,coffee,0,0,0,0,1,4.00,0.012440,10,7,0.184440,,0
D43-017,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,8,0.000000,7,0
D43-018,MEA,SKU-01,noodles,0,0,0,1,1,60.00,0.000000,3,1,0.060000,7,0
D43-018,MEA,SKU-02,spices,0,0,0,1,1,51.00,0.000000,5,2,0.078000,6,0
D43-018,MEA,SKU-03,coffee,0,0,0,1,1,50.00,0.000000,7,3,0.080000,5,1
D43-018,MEA,SKU-04,tea,0,0,0,1,1,88.00,0.000000,1,4,0.004000,9,0
D43-018,MEA,SKU-05,noodles,0,0,0,1,1,46.00,0.000000,8,5,0.088000,3,1
D43-018,MEA,SKU-06,spices,0,0,0,0,1,51.00,0.000000,6,6,0.078000,,0
D43-018,MEA,SKU-07,coffee,0,0,0,1,1,46.00,0.000000,9,7,0.088000,4,1
D43-018,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.000000,10,8,0.142000,2,1
D43-018,MEA,SKU-09,noodles,0,0,0,1,1,84.00,0.000000,2,9,0.012000,8,0
D43-018,MEA,SKU-10,spices,0,0,0,1,0,58.00,0.000000,4,10,0.064000,,0
D43-018,MEA,SKU-11,coffee,0,0,0,0,1,4.00,0.000000,11,11,0.172000,,0
D43-018,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,12,12,0.180000,1,1
D43-019,EU,SKU-01,noodles,0,0,0,1,1,60.00,-0.163102,1,7,-0.283102,5,1
D43-019,EU,SKU-02,spices,0,0,0,1,1,51.00,-0.444286,2,9,-0.546286,6,0
D43-019,EU,SKU-03,coffee,0,0,0,1,1,50.00,0.990170,4,3,1.070170,2,1
D43-019,EU,SKU-04,tea,5,0,1,1,1,88.00,3.188374,,,3.012374,,0
D43-019,EU,SKU-05,noodles,0,0,0,1,1,46.00,1.082898,5,2,0.990898,3,1
D43-019,EU,SKU-06,spices,0,0,0,0,1,51.00,-0.196463,3,8,-0.298463,,0
D43-019,EU,SKU-07,coffee,0,0,0,1,1,46.00,1.239654,6,1,1.327654,1,1
D43-019,EU,SKU-08,tea,0,0,0,1,1,19.00,-0.130447,7,6,-0.168447,4,1
D43-019,EU,SKU-09,noodles,1,0,1,1,1,84.00,3.373910,,,3.205910,,0
D43-019,EU,SKU-10,spices,5,0,1,1,1,58.00,2.324946,,,2.208946,,0
D43-019,EU,SKU-11,coffee,0,1,0,0,1,4.00,0.129166,8,4,0.301166,,0
D43-019,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,9,5,0.000000,,0
D43-020,AMER,SKU-01,noodles,5,0,1,1,1,60.00,2.044489,,,1.924489,,0
D43-020,AMER,SKU-02,spices,0,0,0,1,1,51.00,1.708841,4,1,1.786841,1,1
D43-020,AMER,SKU-03,coffee,0,0,0,1,1,50.00,0.707190,6,3,0.787190,2,1
D43-020,AMER,SKU-04,tea,0,0,0,1,1,88.00,0.114012,1,7,0.118012,7,0
D43-020,AMER,SKU-05,noodles,0,0,0,1,1,46.00,0.291672,7,6,0.199672,5,1
D43-020,AMER,SKU-06,spices,0,0,0,0,1,51.00,1.291758,5,2,1.369758,,0
D43-020,AMER,SKU-07,coffee,0,0,0,1,1,46.00,0.627070,8,4,0.715070,3,1
D43-020,AMER,SKU-08,tea,0,0,0,1,1,19.00,0.564555,9,5,0.706555,4,1
D43-020,AMER,SKU-09,noodles,0,0,0,1,1,84.00,-0.312286,2,11,-0.480286,9,0
D43-020,AMER,SKU-10,spices,0,0,0,1,1,58.00,-0.214657,3,10,-0.150657,8,0
D43-020,AMER,SKU-11,coffee,0,0,0,0,1,4.00,0.002546,10,8,0.174546,,0
D43-020,AMER,SKU-12,tea,0,1,0,1,1,0.00,0.000000,11,9,0.180000,6,0
D43-021,SEA,SKU-01,noodles,0,0,0,1,1,60.00,0.258352,3,1,0.318352,1,1
D43-021,SEA,SKU-02,spices,0,0,0,1,1,51.00,0.198200,5,2,0.096200,7,0
D43-021,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.052517,6,6,0.132517,6,0
D43-021,SEA,SKU-04,tea,0,0,0,1,1,88.00,0.036984,1,7,0.040984,8,0
D43-021,SEA,SKU-05,noodles,0,0,0,1,1,46.00,0.066559,7,4,0.154559,5,1
D43-021,SEA,SKU-06,spices,1,0,1,0,1,51.00,0.170197,,,0.068197,,0
D43-021,SEA,SKU-07,coffee,0,0,0,1,1,46.00,0.112863,8,3,0.200863,3,1
D43-021,SEA,SKU-08,tea,0,0,0,1,1,19.00,0.063638,9,5,0.205638,2,1
D43-021,SEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.078630,2,11,-0.066630,9,0
D43-021,SEA,SKU-10,spices,0,0,0,1,1,58.00,-0.060551,4,10,-0.176551,10,0
D43-021,SEA,SKU-11,coffee,0,0,0,0,1,4.00,-0.002862,10,9,0.169138,,0
D43-021,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,8,0.180000,4,1
D43-022,MEA,SKU-01,noodles,0,0,0,1,1,60.00,0.607423,1,3,0.487423,1,1
D43-022,MEA,SKU-02,spices,0,0,0,1,1,51.00,-0.684472,3,8,-0.606472,5,1
D43-022,MEA,SKU-03,coffee,0,0,0,1,1,50.00,-0.381007,5,7,-0.481007,4,1
D43-022,MEA,SKU-04,tea,5,0,1,1,1,88.00,4.688130,,,4.512130,,0
D43-022,MEA,SKU-05,noodles,2,0,1,1,1,46.00,2.743227,,,2.651227,,0
D43-022,MEA,SKU-06,spices,0,0,0,0,1,51.00,0.612229,4,2,0.690229,,0
D43-022,MEA,SKU-07,coffee,4,0,1,1,1,46.00,3.235488,,,3.143488,,0
D43-022,MEA,SKU-08,tea,0,0,0,1,1,19.00,-0.295943,6,6,-0.333943,3,1
D43-022,MEA,SKU-09,noodles,2,0,1,1,1,84.00,1.779446,,,1.611446,,0
D43-022,MEA,SKU-10,spices,0,0,0,1,0,58.00,0.918801,2,1,0.982801,,0
D43-022,MEA,SKU-11,coffee,0,1,0,0,1,4.00,-0.006793,7,5,-0.014793,,0
D43-022,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,8,4,0.000000,2,1
D43-023,EU,SKU-01,noodles,0,0,0,1,1,60.00,0.907341,2,2,0.787341,1,1
D43-023,EU,SKU-02,spices,0,0,0,1,1,51.00,-0.839367,4,8,-0.761367,5,1
D43-023,EU,SKU-03,coffee,0,0,0,1,1,50.00,-1.184327,6,9,-1.284327,6,0
D43-023,EU,SKU-04,tea,5,0,1,1,1,88.00,5.113745,,,4.937745,,0
D43-023,EU,SKU-05,noodles,5,0,1,1,1,46.00,3.442583,,,3.350583,,0
D43-023,EU,SKU-06,spices,0,0,0,0,1,51.00,0.969166,5,1,1.047166,,0
D43-023,EU,SKU-07,coffee,4,0,1,1,1,46.00,4.069288,,,3.977288,,0
D43-023,EU,SKU-08,tea,0,0,0,1,1,19.00,-0.391096,7,7,-0.429096,4,1
D43-023,EU,SKU-09,noodles,0,1,0,1,1,84.00,0.683848,1,3,0.515848,2,1
D43-023,EU,SKU-10,spices,0,0,0,1,1,58.00,0.012481,3,4,0.076481,3,1
D43-023,EU,SKU-11,coffee,0,0,0,0,1,4.00,-0.086289,8,6,-0.094289,,0
