scenario,permutation_id,null_effect_units,observed_effect_units,standard_error_units,practical_threshold_units,as_or_more_extreme,simulated_two_sided_p_value,practically_meaningful
Precise small effect,163,-0.1217,0.8,0.2,2.0,No,0.0005,No
Precise small effect,164,0.1331,0.8,0.2,2.0,No,0.0005,No
Precise small effect,165,0.1036,0.8,0.2,2.0,No,0.0005,No
Precise small effect,166,-0.1437,0.8,0.2,2.0,No,0.0005,No
Precise small effect,167,-0.3215,0.8,0.2,2.0,No,0.0005,No
Precise small effect,168,-0.1825,0.8,0.2,2.0,No,0.0005,No
Precise small effect,169,0.4367,0.8,0.2,2.0,No,0.0005,No
Precise small effect,170,0.0088,0.8,0.2,2.0,No,0.0005,No
Precise small effect,171,0.0219,0.8,0.2,2.0,No,0.0005,No
Precise small effect,172,0.2635,0.8,0.2,2.0,No,0.0005,No
Precise small effect,173,-0.2374,0.8,0.2,2.0,No,0.0005,No
Precise small effect,174,-0.0839,0.8,0.2,2.0,No,0.0005,No
Precise small effect,175,-0.3473,0.8,0.2,2.0,No,0.0005,No
Precise small effect,176,-0.1519,0.8,0.2,2.0,No,0.0005,No
Precise small effect,177,-0.145,0.8,0.2,2.0,No,0.0005,No
Precise small effect,178,-0.1627,0.8,0.2,2.0,No,0.0005,No
Precise small effect,179,0.0371,0.8,0.2,2.0,No,0.0005,No
Precise small effect,180,-0.2291,0.8,0.2,2.0,No,0.0005,No
Precise small effect,181,-0.0092,0.8,0.2,2.0,No,0.0005,No
Precise small effect,182,0.2439,0.8,0.2,2.0,No,0.0005,No
Precise small effect,183,-0.3934,0.8,0.2,2.0,No,0.0005,No
Precise small effect,184,-0.286,0.8,0.2,2.0,No,0.0005,No
Precise small effect,185,-0.1455,0.8,0.2,2.0,No,0.0005,No
Precise small effect,186,0.1932,0.8,0.2,2.0,No,0.0005,No
Precise small effect,187,-0.1819,0.8,0.2,2.0,No,0.0005,No
Precise small effect,188,-0.1452,0.8,0.2,2.0,No,0.0005,No
Precise small effect,189,-0.0933,0.8,0.2,2.0,No,0.0005,No
Precise small effect,190,-0.0313,0.8,0.2,2.0,No,0.0005,No
Precise small effect,191,-0.1274,0.8,0.2,2.0,No,0.0005,No
Precise small effect,192,0.0438,0.8,0.2,2.0,No,0.0005,No
Precise small effect,193,-0.2733,0.8,0.2,2.0,No,0.0005,No
Precise small effect,194,-0.0944,0.8,0.2,2.0,No,0.0005,No
Precise small effect,195,-0.0902,0.8,0.2,2.0,No,0.0005,No
Precise small effect,196,-0.0448,0.8,0.2,2.0,No,0.0005,No
Precise small effect,197,0.3139,0.8,0.2,2.0,No,0.0005,No
Precise small effect,198,0.152,0.8,0.2,2.0,No,0.0005,No
Precise small effect,199,-0.0858,0.8,0.2,2.0,No,0.0005,No
Precise small effect,200,-0.1626,0.8,0.2,2.0,No,0.0005,No
Precise small effect,201,-0.0531,0.8,0.2,2.0,No,0.0005,No
Precise small effect,202,0.1865,0.8,0.2,2.0,No,0.0005,No
Precise small effect,203,-0.1036,0.8,0.2,2.0,No,0.0005,No
Precise small effect,204,0.0323,0.8,0.2,2.0,No,0.0005,No
Precise small effect,205,0.2501,0.8,0.2,2.0,No,0.0005,No
Precise small effect,206,-0.0906,0.8,0.2,2.0,No,0.0005,No
Precise small effect,207,-0.0376,0.8,0.2,2.0,No,0.0005,No
Precise small effect,208,0.2734,0.8,0.2,2.0,No,0.0005,No
Precise small effect,209,0.173,0.8,0.2,2.0,No,0.0005,No
Precise small effect,210,-0.1734,0.8,0.2,2.0,No,0.0005,No
Precise small effect,211,0.3986,0.8,0.2,2.0,No,0.0005,No
Precise small effect,212,-0.273,0.8,0.2,2.0,No,0.0005,No
Precise small effect,213,-0.0542,0.8,0.2,2.0,No,0.0005,No
Precise small effect,214,0.0137,0.8,0.2,2.0,No,0.0005,No
Precise small effect,215,0.0344,0.8,0.2,2.0,No,0.0005,No
Precise small effect,216,-0.1384,0.8,0.2,2.0,No,0.0005,No
Precise small effect,217,-0.1808,0.8,0.2,2.0,No,0.0005,No
Precise small effect,218,0.0054,0.8,0.2,2.0,No,0.0005,No
Precise small effect,219,0.0004,0.8,0.2,2.0,No,0.0005,No
Precise small effect,220,0.1014,0.8,0.2,2.0,No,0.0005,No
Precise small effect,221,-0.2194,0.8,0.2,2.0,No,0.0005,No
Precise small effect,222,-0.1929,0.8,0.2,2.0,No,0.0005,No
Precise small effect,223,0.2775,0.8,0.2,2.0,No,0.0005,No
Precise small effect,224,-0.1833,0.8,0.2,2.0,No,0.0005,No
Precise small effect,225,0.337,0.8,0.2,2.0,No,0.0005,No
Precise small effect,226,0.0337,0.8,0.2,2.0,No,0.0005,No
Precise small effect,227,0.2653,0.8,0.2,2.0,No,0.0005,No
Precise small effect,228,-0.327,0.8,0.2,2.0,No,0.0005,No
Precise small effect,229,0.2461,0.8,0.2,2.0,No,0.0005,No
Precise small effect,230,-0.2546,0.8,0.2,2.0,No,0.0005,No
Precise small effect,231,0.1816,0.8,0.2,2.0,No,0.0005,No
Precise small effect,232,0.2314,0.8,0.2,2.0,No,0.0005,No
Precise small effect,233,0.0387,0.8,0.2,2.0,No,0.0005,No
Precise small effect,234,-0.1716,0.8,0.2,2.0,No,0.0005,No
Precise small effect,235,-0.0968,0.8,0.2,2.0,No,0.0005,No
Precise small effect,236,-0.0113,0.8,0.2,2.0,No,0.0005,No
Precise small effect,237,-0.12,0.8,0.2,2.0,No,0.0005,No
Precise small effect,238,0.3198,0.8,0.2,2.0,No,0.0005,No
Precise small effect,239,0.0037,0.8,0.2,2.0,No,0.0005,No
Precise small effect,240,-0.0409,0.8,0.2,2.0,No,0.0005,No
Precise small effect,241,-0.3503,0.8,0.2,2.0,No,0.0005,No
Precise small effect,242,0.0351,0.8,0.2,2.0,No,0.0005,No
Precise small effect,243,0.0781,0.8,0.2,2.0,No,0.0005,No
Precise small effect,244,0.0913,0.8,0.2,2.0,No,0.0005,No
Precise small effect,245,-0.5766,0.8,0.2,2.0,No,0.0005,No
Precise small effect,246,0.1262,0.8,0.2,2.0,No,0.0005,No
Precise small effect,247,0.2012,0.8,0.2,2.0,No,0.0005,No
Precise small effect,248,0.3018,0.8,0.2,2.0,No,0.0005,No
Precise small effect,249,0.1964,0.8,0.2,2.0,No,0.0005,No
Precise small effect,250,-0.2661,0.8,0.2,2.0,No,0.0005,No
Precise small effect,251,-0.1225,0.8,0.2,2.0,No,0.0005,No
Precise small effect,252,0.2635,0.8,0.2,2.0,No,0.0005,No
Precise small effect,253,-0.168,0.8,0.2,2.0,No,0.0005,No
Precise small effect,254,-0.0388,0.8,0.2,2.0,No,0.0005,No
Precise small effect,255,0.144,0.8,0.2,2.0,No,0.0005,No
Precise small effect,256,-0.1971,0.8,0.2,2.0,No,0.0005,No
Precise small effect,257,0.1845,0.8,0.2,2.0,No,0.0005,No
Precise small effect,258,-0.0675,0.8,0.2,2.0,No,0.0005,No
Precise small effect,259,-0.3285,0.8,0.2,2.0,No,0.0005,No
Precise small effect,260,0.2606,0.8,0.2,2.0,No,0.0005,No
Precise small effect,261,-0.2033,0.8,0.2,2.0,No,0.0005,No
Precise small effect,262,-0.0769,0.8,0.2,2.0,No,0.0005,No
Precise small effect,263,0.0667,0.8,0.2,2.0,No,0.0005,No
Precise small effect,264,-0.0924,0.8,0.2,2.0,No,0.0005,No
Precise small effect,265,-0.3843,0.8,0.2,2.0,No,0.0005,No
Precise small effect,266,0.1346,0.8,0.2,2.0,No,0.0005,No
Precise small effect,267,0.032,0.8,0.2,2.0,No,0.0005,No
Precise small effect,268,-0.1948,0.8,0.2,2.0,No,0.0005,No
Precise small effect,269,-0.2849,0.8,0.2,2.0,No,0.0005,No
Precise small effect,270,0.197,0.8,0.2,2.0,No,0.0005,No
Precise small effect,271,-0.1049,0.8,0.2,2.0,No,0.0005,No
Precise small effect,272,-0.4412,0.8,0.2,2.0,No,0.0005,No
Precise small effect,273,-0.0872,0.8,0.2,2.0,No,0.0005,No
Precise small effect,274,0.0683,0.8,0.2,2.0,No,0.0005,No
Precise small effect,275,0.0664,0.8,0.2,2.0,No,0.0005,No
Precise small effect,276,0.1731,0.8,0.2,2.0,No,0.0005,No
Precise small effect,277,-0.1421,0.8,0.2,2.0,No,0.0005,No
Precise small effect,278,-0.2088,0.8,0.2,2.0,No,0.0005,No
Precise small effect,279,-0.4952,0.8,0.2,2.0,No,0.0005,No
Precise small effect,280,0.0586,0.8,0.2,2.0,No,0.0005,No
Precise small effect,281,-0.2296,0.8,0.2,2.0,No,0.0005,No
Precise small effect,282,-0.1294,0.8,0.2,2.0,No,0.0005,No
Precise small effect,283,0.0698,0.8,0.2,2.0,No,0.0005,No
Precise small effect,284,0.0228,0.8,0.2,2.0,No,0.0005,No
Precise small effect,285,0.2174,0.8,0.2,2.0,No,0.0005,No
Precise small effect,286,-0.2339,0.8,0.2,2.0,No,0.0005,No
Precise small effect,287,0.014,0.8,0.2,2.0,No,0.0005,No
Precise small effect,288,0.2281,0.8,0.2,2.0,No,0.0005,No
Precise small effect,289,0.0388,0.8,0.2,2.0,No,0.0005,No
Precise small effect,290,-0.0402,0.8,0.2,2.0,No,0.0005,No
Precise small effect,291,0.0331,0.8,0.2,2.0,No,0.0005,No
Precise small effect,292,-0.0821,0.8,0.2,2.0,No,0.0005,No
Precise small effect,293,0.0694,0.8,0.2,2.0,No,0.0005,No
Precise small effect,294,-0.0119,0.8,0.2,2.0,No,0.0005,No
Precise small effect,295,-0.3245,0.8,0.2,2.0,No,0.0005,No
Precise small effect,296,-0.0045,0.8,0.2,2.0,No,0.0005,No
Precise small effect,297,-0.1741,0.8,0.2,2.0,No,0.0005,No
Precise small effect,298,-0.1068,0.8,0.2,2.0,No,0.0005,No
Precise small effect,299,0.0497,0.8,0.2,2.0,No,0.0005,No
Precise small effect,300,0.1933,0.8,0.2,2.0,No,0.0005,No
Precise small effect,301,0.1101,0.8,0.2,2.0,No,0.0005,No
Precise small effect,302,-0.1625,0.8,0.2,2.0,No,0.0005,No
Precise small effect,303,-0.2348,0.8,0.2,2.0,No,0.0005,No
Precise small effect,304,0.2564,0.8,0.2,2.0,No,0.0005,No
Precise small effect,305,-0.1248,0.8,0.2,2.0,No,0.0005,No
Precise small effect,306,-0.3588,0.8,0.2,2.0,No,0.0005,No
Precise small effect,307,0.1233,0.8,0.2,2.0,No,0.0005,No
Precise small effect,308,-0.0512,0.8,0.2,2.0,No,0.0005,No
Precise small effect,309,-0.0522,0.8,0.2,2.0,No,0.0005,No
Precise small effect,310,-0.1577,0.8,0.2,2.0,No,0.0005,No
Precise small effect,311,0.2319,0.8,0.2,2.0,No,0.0005,No
Precise small effect,312,-0.2004,0.8,0.2,2.0,No,0.0005,No
Precise small effect,313,-0.0651,0.8,0.2,2.0,No,0.0005,No
Precise small effect,314,0.2001,0.8,0.2,2.0,No,0.0005,No
Precise small effect,315,-0.1022,0.8,0.2,2.0,No,0.0005,No
Precise small effect,316,-0.033,0.8,0.2,2.0,No,0.0005,No
Precise small effect,317,0.3573,0.8,0.2,2.0,No,0.0005,No
Precise small effect,318,-0.2496,0.8,0.2,2.0,No,0.0005,No
Precise small effect,319,0.4696,0.8,0.2,2.0,No,0.0005,No
Precise small effect,320,0.0735,0.8,0.2,2.0,No,0.0005,No
Precise small effect,321,0.4065,0.8,0.2,2.0,No,0.0005,No
Precise small effect,322,-0.0394,0.8,0.2,2.0,No,0.0005,No
Precise small effect,323,0.2024,0.8,0.2,2.0,No,0.0005,No
Precise small effect,324,0.1463,0.8,0.2,2.0,No,0.0005,No
Precise small effect,325,-0.1384,0.8,0.2,2.0,No,0.0005,No
Precise small effect,326,-0.0179,0.8,0.2,2.0,No,0.0005,No
Precise small effect,327,-0.1158,0.8,0.2,2.0,No,0.0005,No
Precise small effect,328,-0.0094,0.8,0.2,2.0,No,0.0005,No
Precise small effect,329,0.1282,0.8,0.2,2.0,No,0.0005,No
Precise small effect,330,0.0427,0.8,0.2,2.0,No,0.0005,No
Precise small effect,331,0.1623,0.8,0.2,2.0,No,0.0005,No
Precise small effect,332,0.0399,0.8,0.2,2.0,No,0.0005,No
Precise small effect,333,0.2235,0.8,0.2,2.0,No,0.0005,No
Precise small effect,334,-0.0113,0.8,0.2,2.0,No,0.0005,No
Precise small effect,335,0.3895,0.8,0.2,2.0,No,0.0005,No
Precise small effect,336,-0.2452,0.8,0.2,2.0,No,0.0005,No
Precise small effect,337,-0.06,0.8,0.2,2.0,No,0.0005,No
Precise small effect,338,-0.3041,0.8,0.2,2.0,No,0.0005,No
Precise small effect,339,-0.1265,0.8,0.2,2.0,No,0.0005,No
Precise small effect,340,-0.2513,0.8,0.2,2.0,No,0.0005,No
Precise small effect,341,0.0405,0.8,0.2,2.0,No,0.0005,No
Precise small effect,342,0.0134,0.8,0.2,2.0,No,0.0005,No
Precise small effect,343,0.0843,0.8,0.2,2.0,No,0.0005,No
Precise small effect,344,0.0659,0.8,0.2,2.0,No,0.0005,No
Precise small effect,345,-0.0105,0.8,0.2,2.0,No,0.0005,No
Precise small effect,346,-0.2877,0.8,0.2,2.0,No,0.0005,No
Precise small effect,347,0.0494,0.8,0.2,2.0,No,0.0005,No
Precise small effect,348,-0.0782,0.8,0.2,2.0,No,0.0005,No
Precise small effect,349,0.1618,0.8,0.2,2.0,No,0.0005,No
Precise small effect,350,0.0489,0.8,0.2,2.0,No,0.0005,No
Precise small effect,351,-0.2217,0.8,0.2,2.0,No,0.0005,No
Precise small effect,352,-0.5267,0.8,0.2,2.0,No,0.0005,No
Precise small effect,353,-0.0819,0.8,0.2,2.0,No,0.0005,No
Precise small effect,354,-0.0044,0.8,0.2,2.0,No,0.0005,No
Precise small effect,355,-0.0665,0.8,0.2,2.0,No,0.0005,No
Precise small effect,356,-0.2479,0.8,0.2,2.0,No,0.0005,No
Precise small effect,357,-0.1128,0.8,0.2,2.0,No,0.0005,No
Precise small effect,358,0.1395,0.8,0.2,2.0,No,0.0005,No
Precise small effect,359,-0.1516,0.8,0.2,2.0,No,0.0005,No
Precise small effect,360,-0.0783,0.8,0.2,2.0,No,0.0005,No
Precise small effect,361,-0.0195,0.8,0.2,2.0,No,0.0005,No
Precise small effect,362,0.0018,0.8,0.2,2.0,No,0.0005,No
Precise small effect,363,0.135,0.8,0.2,2.0,No,0.0005,No
Precise small effect,364,0.0087,0.8,0.2,2.0,No,0.0005,No
Precise small effect,365,0.033,0.8,0.2,2.0,No,0.0005,No
Precise small effect,366,0.3419,0.8,0.2,2.0,No,0.0005,No
Precise small effect,367,-0.0186,0.8,0.2,2.0,No,0.0005,No
Precise small effect,368,0.3256,0.8,0.2,2.0,No,0.0005,No
Precise small effect,369,-0.3295,0.8,0.2,2.0,No,0.0005,No
Precise small effect,370,0.2239,0.8,0.2,2.0,No,0.0005,No
Precise small effect,371,0.0613,0.8,0.2,2.0,No,0.0005,No
Precise small effect,372,-0.0148,0.8,0.2,2.0,No,0.0005,No
Precise small effect,373,-0.0568,0.8,0.2,2.0,No,0.0005,No
Precise small effect,374,-0.1257,0.8,0.2,2.0,No,0.0005,No
Precise small effect,375,0.2243,0.8,0.2,2.0,No,0.0005,No
Precise small effect,376,0.1037,0.8,0.2,2.0,No,0.0005,No
Precise small effect,377,0.0428,0.8,0.2,2.0,No,0.0005,No
Precise small effect,378,0.1571,0.8,0.2,2.0,No,0.0005,No
Precise small effect,379,-0.0375,0.8,0.2,2.0,No,0.0005,No
Precise small effect,380,0.3674,0.8,0.2,2.0,No,0.0005,No
Precise small effect,381,0.2283,0.8,0.2,2.0,No,0.0005,No
Precise small effect,382,-0.3105,0.8,0.2,2.0,No,0.0005,No
Precise small effect,383,-0.0122,0.8,0.2,2.0,No,0.0005,No
Precise small effect,384,-0.0359,0.8,0.2,2.0,No,0.0005,No
Precise small effect,385,-0.0497,0.8,0.2,2.0,No,0.0005,No
Precise small effect,386,-0.1129,0.8,0.2,2.0,No,0.0005,No
Precise small effect,387,-0.0775,0.8,0.2,2.0,No,0.0005,No
Precise small effect,388,-0.1152,0.8,0.2,2.0,No,0.0005,No
Precise small effect,389,-0.4159,0.8,0.2,2.0,No,0.0005,No
Precise small effect,390,0.0627,0.8,0.2,2.0,No,0.0005,No
