query_position,query_token,source_position,source_token,query_component_1,query_component_2,key_component_1,key_component_2,value_component_1,value_component_2,scaled_compatibility_score,unmasked_attention_weight,causal_allowed,causal_attention_weight,unmasked_output_component_1,unmasked_output_component_2,causal_output_component_1,causal_output_component_2,position_sin_1,position_cos_1,position_sin_2,position_cos_2,position_sin_3,position_cos_3,attention_dimension,score_divisor
2,belum,0,stok,0.0,1.0,1.0,0.0,0.0,1.0,0.000000000000,0.135781047840,true,0.239233025133,4.395661165213,5.395661165213,2.491918114488,3.491918114488,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,2,1.414213562373
2,belum,1,kopi,0.0,1.0,0.8,0.2,2.0,3.0,0.141421356237,0.156407534620,true,0.275574892490,4.395661165213,5.395661165213,2.491918114488,3.491918114488,0.841470984808,0.540302305868,0.046399223465,0.998922976041,0.002154433023,0.999997679206,2,1.414213562373
2,belum,2,belum,0.0,1.0,0.0,1.0,4.0,5.0,0.707106781187,0.275379577348,true,0.485192082377,4.395661165213,5.395661165213,2.491918114488,3.491918114488,0.909297426826,-0.416146836547,0.092698500779,0.995694224124,0.004308856047,0.999990716837,2,1.414213562373
2,belum,3,tiba,0.0,1.0,0.2,0.8,6.0,7.0,0.565685424949,0.239063467479,false,0.000000000000,4.395661165213,5.395661165213,2.491918114488,3.491918114488,0.141120008060,-0.989992496600,0.138798101080,0.990320699136,0.006463259070,0.999979112923,2,1.414213562373
2,belum,4,jakarta,0.0,1.0,0.5,0.5,8.0,9.0,0.353553390593,0.193368372714,false,0.000000000000,4.395661165213,5.395661165213,2.491918114488,3.491918114488,-0.756802495308,-0.653643620864,0.184598723621,0.982813975907,0.008617632094,0.999962867519,2,1.414213562373
3,tiba,0,stok,0.2,0.8,1.0,0.0,0.0,1.0,0.141421356237,0.159809410464,true,0.199157854134,4.251919100283,5.251919100283,3.329062619409,4.329062619409,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,2,1.414213562373
3,tiba,1,kopi,0.2,0.8,0.8,0.2,2.0,3.0,0.226274169980,0.173961625947,true,0.216794643222,4.251919100283,5.251919100283,3.329062619409,4.329062619409,0.841470984808,0.540302305868,0.046399223465,0.998922976041,0.002154433023,0.999997679206,2,1.414213562373
3,tiba,2,belum,0.2,0.8,0.0,1.0,4.0,5.0,0.565685424949,0.244263116187,true,0.304405841449,4.251919100283,5.251919100283,3.329062619409,4.329062619409,0.909297426826,-0.416146836547,0.092698500779,0.995694224124,0.004308856047,0.999990716837,2,1.414213562373
3,tiba,3,tiba,0.2,0.8,0.2,0.8,6.0,7.0,0.480832611207,0.224391697787,true,0.279641661195,4.251919100283,5.251919100283,3.329062619409,4.329062619409,0.141120008060,-0.989992496600,0.138798101080,0.990320699136,0.006463259070,0.999979112923,2,1.414213562373
3,tiba,4,jakarta,0.2,0.8,0.5,0.5,8.0,9.0,0.353553390593,0.197574149615,false,0.000000000000,4.251919100283,5.251919100283,3.329062619409,4.329062619409,-0.756802495308,-0.653643620864,0.184598723621,0.982813975907,0.008617632094,0.999962867519,2,1.414213562373
4,jakarta,0,stok,0.5,0.5,1.0,0.0,0.0,1.0,0.353553390593,0.200000000000,true,0.200000000000,4.000000000000,5.000000000000,4.000000000000,5.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,2,1.414213562373
4,jakarta,1,kopi,0.5,0.5,0.8,0.2,2.0,3.0,0.353553390593,0.200000000000,true,0.200000000000,4.000000000000,5.000000000000,4.000000000000,5.000000000000,0.841470984808,0.540302305868,0.046399223465,0.998922976041,0.002154433023,0.999997679206,2,1.414213562373
4,jakarta,2,belum,0.5,0.5,0.0,1.0,4.0,5.0,0.353553390593,0.200000000000,true,0.200000000000,4.000000000000,5.000000000000,4.000000000000,5.000000000000,0.909297426826,-0.416146836547,0.092698500779,0.995694224124,0.004308856047,0.999990716837,2,1.414213562373
4,jakarta,3,tiba,0.5,0.5,0.2,0.8,6.0,7.0,0.353553390593,0.200000000000,true,0.200000000000,4.000000000000,5.000000000000,4.000000000000,5.000000000000,0.141120008060,-0.989992496600,0.138798101080,0.990320699136,0.006463259070,0.999979112923,2,1.414213562373
4,jakarta,4,jakarta,0.5,0.5,0.5,0.5,8.0,9.0,0.353553390593,0.200000000000,true,0.200000000000,4.000000000000,5.000000000000,4.000000000000,5.000000000000,-0.756802495308,-0.653643620864,0.184598723621,0.982813975907,0.008617632094,0.999962867519,2,1.414213562373
