batch_id,sample_role,product_family,production_line,sequence_index,fill_weight_g,ph,viscosity_cp,confirmed_relevant,anomaly_type,robust_max_abs_z,isolation_score,monitoring_review_rank,selected_at_capacity_5
B41-020,reference,sauce_b,line_1,20,499.766,4.3943,2188.68,0,ordinary,0.702985,0.514625,,0
B41-021,reference,sauce_a,line_2,21,500.054,4.0434,2220.50,0,ordinary,0.666175,0.406923,,0
B41-022,reference,sauce_b,line_1,22,501.242,4.5024,2206.30,0,ordinary,0.774119,0.494274,,0
B41-023,reference,sauce_a,line_1,23,498.478,4.0238,2148.18,0,ordinary,1.168309,0.435726,,0
B41-024,reference,sauce_b,line_2,24,495.157,4.4649,2315.64,0,ordinary,1.097286,0.450715,,0
B41-025,reference,sauce_a,line_1,25,492.913,4.0299,2201.57,0,ordinary,1.591428,0.462670,,0
B41-026,reference,sauce_b,line_1,26,505.315,4.4393,2388.65,0,ordinary,1.594569,0.468279,,0
B41-027,reference,sauce_a,line_2,27,496.033,4.0466,2237.91,0,ordinary,0.904386,0.444289,,0
B41-028,reference,sauce_b,line_1,28,511.410,4.4812,2163.76,0,ordinary,2.481721,0.614142,,0
B41-029,reference,sauce_a,line_1,29,501.909,3.9948,2199.30,0,ordinary,0.818677,0.415550,,0
B41-030,reference,sauce_b,line_2,30,498.665,4.4111,2296.38,0,ordinary,0.534434,0.433791,,0
B41-031,reference,sauce_a,line_1,31,493.572,3.9951,2135.90,0,ordinary,1.446313,0.490671,,0
B41-032,reference,sauce_b,line_1,32,505.361,4.4206,2261.83,0,ordinary,1.149695,0.456647,,0
B41-033,reference,sauce_a,line_2,33,497.037,4.0666,2132.74,0,ordinary,1.345707,0.501039,,0
B41-034,reference,sauce_b,line_1,34,491.035,4.4257,2327.37,0,ordinary,2.004975,0.535556,,0
B41-035,reference,sauce_a,line_1,35,496.322,4.0205,2173.04,0,ordinary,0.882680,0.434550,,0
B41-036,reference,sauce_b,line_2,36,495.693,4.4430,2389.51,0,ordinary,1.604450,0.459618,,0
B41-037,reference,sauce_a,line_1,37,499.332,3.9826,2154.11,0,ordinary,1.100177,0.449207,,0
B41-038,reference,sauce_b,line_1,38,496.888,4.4346,2205.07,0,ordinary,0.716110,0.490282,,0
B41-039,reference,sauce_a,line_2,39,501.930,4.0303,2242.16,0,ordinary,0.707282,0.410814,,0
B41-040,reference,sauce_b,line_1,40,496.343,4.4367,2318.03,0,ordinary,0.836122,0.431813,,0
B41-041,reference,sauce_a,line_1,41,502.986,4.0863,2127.62,0,ordinary,1.404533,0.507097,,0
B41-042,reference,sauce_b,line_2,42,497.773,4.4564,2407.15,0,ordinary,1.807125,0.476059,,0
B41-043,reference,sauce_a,line_1,43,500.977,3.9883,2284.63,0,ordinary,0.839073,0.482593,,0
B41-044,reference,sauce_b,line_1,44,510.573,4.4199,2211.11,0,ordinary,2.297408,0.552096,,0
B41-045,reference,sauce_a,line_2,45,494.826,4.0548,2196.05,0,ordinary,1.170174,0.458656,,0
B41-046,reference,sauce_b,line_1,46,489.980,4.3982,2385.58,0,ordinary,2.237292,0.609340,,0
B41-047,reference,sauce_a,line_1,47,498.082,4.0079,2207.39,0,ordinary,0.777571,0.408326,,0
B41-048,reference,sauce_b,line_2,48,499.065,4.4689,2390.55,0,ordinary,1.616399,0.447386,,0
B41-049,reference,sauce_a,line_1,49,509.169,3.9974,2165.96,0,ordinary,1.988239,0.528875,,0
B41-050,reference,sauce_b,line_1,50,492.796,4.4858,2210.83,0,ordinary,1.617192,0.551181,,0
B41-051,reference,sauce_a,line_2,51,502.196,4.0767,2243.07,0,ordinary,0.561683,0.454932,,0
B41-052,reference,sauce_b,line_1,52,495.873,4.4315,2323.46,0,ordinary,0.939619,0.436967,,0
B41-053,reference,sauce_a,line_1,53,498.480,3.9962,2181.90,0,ordinary,0.814284,0.424136,,0
B41-054,reference,sauce_b,line_2,54,509.632,4.4948,2336.26,0,ordinary,2.090195,0.523178,,0
B41-055,reference,sauce_a,line_1,55,493.392,3.9783,2241.97,0,ordinary,1.485950,0.519264,,0
B41-056,reference,sauce_b,line_1,56,498.314,4.4860,2298.42,0,ordinary,0.722657,0.432490,,0
B41-057,reference,sauce_a,line_2,57,507.570,4.0550,2274.32,0,ordinary,1.636130,0.519928,,0
B41-058,reference,sauce_b,line_1,58,498.524,4.4487,2293.83,0,ordinary,0.605614,0.411022,,0
B41-059,reference,sauce_a,line_1,59,499.476,3.9983,2249.19,0,ordinary,0.807694,0.429633,,0
B41-060,reference,sauce_b,line_2,60,502.949,4.4842,2375.29,0,ordinary,1.441070,0.457228,,0
B41-061,reference,sauce_a,line_1,61,498.207,4.0646,2202.79,0,ordinary,0.599652,0.437392,,0
B41-062,reference,sauce_b,line_1,62,499.754,4.4486,2301.85,0,ordinary,0.605300,0.410983,,0
B41-063,reference,sauce_a,line_2,63,501.721,4.1262,2189.09,0,ordinary,0.698274,0.506498,,0
B41-064,reference,sauce_b,line_1,64,501.520,4.5106,2261.61,0,ordinary,0.799850,0.462442,,0
B41-065,reference,sauce_a,line_1,65,495.640,3.9918,2125.04,0,ordinary,1.434176,0.492752,,0
B41-066,reference,sauce_b,line_2,66,510.319,4.4555,2338.88,0,ordinary,2.241476,0.520643,,0
B41-067,reference,sauce_a,line_1,67,507.266,4.0415,2149.40,0,ordinary,1.569187,0.504165,,0
B41-068,reference,sauce_b,line_1,68,504.630,4.4173,2252.41,0,ordinary,0.988725,0.448535,,0
B41-069,reference,sauce_a,line_2,69,496.990,4.0165,2278.32,0,ordinary,0.750585,0.472744,,0
B41-070,reference,sauce_b,line_1,70,502.878,4.4892,2266.20,0,ordinary,0.732699,0.443755,,0
B41-071,reference,sauce_a,line_1,71,505.633,3.9762,2259.81,0,ordinary,1.209591,0.505489,,0
B41-072,reference,sauce_b,line_2,72,502.192,4.4452,2283.20,0,ordinary,0.594631,0.415895,,0
B41-073,reference,sauce_a,line_1,73,497.355,4.0633,2217.93,0,ordinary,0.613274,0.437763,,0
B41-074,reference,sauce_b,line_1,74,502.013,4.3965,2393.10,0,ordinary,1.645698,0.496059,,0
B41-075,reference,sauce_a,line_2,75,506.813,4.0520,2291.21,0,ordinary,1.469434,0.515620,,0
B41-076,reference,sauce_b,line_1,76,501.939,4.4023,2347.08,0,ordinary,1.116951,0.451924,,0
B41-077,reference,sauce_a,line_1,77,493.465,4.0080,2213.18,0,ordinary,1.469875,0.451564,,0
B41-078,reference,sauce_b,line_2,78,498.568,4.4321,2314.61,0,ordinary,0.743887,0.410243,,0
B41-079,reference,sauce_a,line_1,79,501.757,4.0158,2168.71,0,ordinary,0.932430,0.415394,,0
B41-080,reference,sauce_b,line_1,80,505.855,4.4432,2308.52,0,ordinary,1.258477,0.444354,,0
B41-081,reference,sauce_a,line_2,81,503.403,4.0219,2201.95,0,ordinary,0.733640,0.413232,,0
B41-082,reference,sauce_b,line_1,82,496.624,4.4467,2359.00,0,ordinary,1.253906,0.429709,,0
B41-083,reference,sauce_a,line_1,83,504.241,4.1262,2118.31,0,ordinary,1.511500,0.578052,,0
B41-084,reference,sauce_b,line_2,84,496.471,4.4763,2283.78,0,ordinary,0.807936,0.446469,,0
B41-085,reference,sauce_a,line_1,85,497.586,3.9728,2168.15,0,ordinary,0.938864,0.471808,,0
B41-086,reference,sauce_b,line_1,86,500.899,4.4679,2292.79,0,ordinary,0.665862,0.417673,,0
B41-087,reference,sauce_a,line_2,87,510.898,4.0277,2254.96,0,ordinary,2.368975,0.549269,,0
B41-088,reference,sauce_b,line_1,88,498.486,4.4394,2319.02,0,ordinary,0.794556,0.408056,,0
B41-089,reference,sauce_a,line_1,89,508.274,3.9950,2217.78,0,ordinary,1.791155,0.497464,,0
B41-090,reference,sauce_b,line_2,90,500.473,4.4764,2340.17,0,ordinary,1.037559,0.428395,,0
B41-091,reference,sauce_a,line_1,91,490.841,4.0592,2232.92,0,ordinary,2.047695,0.536383,,0
B41-092,reference,sauce_b,line_1,92,503.680,4.4227,2157.43,0,ordinary,1.062031,0.527832,,0
B41-093,reference,sauce_a,line_2,93,497.201,4.0044,2230.73,0,ordinary,0.788553,0.420727,,0
B41-094,reference,sauce_b,line_1,94,493.922,4.4671,2294.33,0,ordinary,1.369240,0.476717,,0
B41-095,reference,sauce_a,line_1,95,494.526,4.0155,2106.64,0,ordinary,1.645583,0.508166,,0
B41-096,reference,sauce_b,line_2,96,495.033,4.4454,2473.17,0,ordinary,2.565662,0.599361,,0
B41-097,reference,sauce_a,line_1,97,500.328,4.1043,2095.58,0,ordinary,1.772657,0.563421,,0
B41-098,reference,sauce_b,line_1,98,498.027,4.4612,2283.46,0,ordinary,0.644838,0.421476,,0
B41-099,reference,sauce_a,line_2,99,499.888,3.9777,2272.99,0,ordinary,0.872335,0.482034,,0
B41-100,reference,sauce_b,line_1,100,505.367,4.4702,2419.54,0,ordinary,1.949480,0.522270,,0
B41-101,reference,sauce_a,line_1,101,489.726,4.1113,2203.70,0,ordinary,2.293225,0.593191,,0
B41-102,reference,sauce_b,line_2,102,494.150,4.4468,2336.22,0,ordinary,1.319034,0.461707,,0
B41-103,reference,sauce_a,line_1,103,497.117,4.0426,2168.83,0,ordinary,0.931051,0.437846,,0
B41-104,reference,sauce_b,line_1,104,506.183,4.4590,2246.81,0,ordinary,1.330704,0.465357,,0
B41-105,reference,sauce_a,line_2,105,504.022,4.0250,2136.76,0,ordinary,1.299519,0.462795,,0
B41-106,reference,sauce_b,line_1,106,498.817,4.3896,2325.45,0,ordinary,0.868433,0.461838,,0
B41-107,reference,sauce_a,line_1,107,493.448,4.0172,2100.59,0,ordinary,1.715094,0.524316,,0
B41-108,reference,sauce_b,line_2,108,499.705,4.4373,2284.66,0,ordinary,0.569842,0.415496,,0
B41-109,reference,sauce_a,line_1,109,502.068,4.0465,2175.16,0,ordinary,0.858323,0.419263,,0
B41-110,reference,sauce_b,line_1,110,501.093,4.4235,2318.32,0,ordinary,0.786513,0.422072,,0
B41-111,reference,sauce_a,line_2,111,508.317,3.9529,2246.76,0,ordinary,1.800624,0.577683,,0
B41-112,reference,sauce_b,line_1,112,502.925,4.4712,2230.37,0,ordinary,0.676217,0.447444,,0
B41-113,reference,sauce_a,line_1,113,500.907,3.9643,2098.29,0,ordinary,1.741520,0.531872,,0
B41-114,reference,sauce_b,line_2,114,508.071,4.4469,2392.48,0,ordinary,1.746453,0.520684,,0
B41-115,reference,sauce_a,line_1,115,496.167,4.0645,2226.36,0,ordinary,0.874878,0.454223,,0
B41-116,reference,sauce_b,line_1,116,507.031,4.4651,2198.59,0,ordinary,1.517439,0.518671,,0
B41-117,reference,sauce_a,line_2,117,498.884,4.0123,2244.25,0,ordinary,0.763764,0.418631,,0
B41-118,reference,sauce_b,line_1,118,498.521,4.4458,2288.23,0,ordinary,0.596514,0.409634,,0
B41-119,reference,sauce_a,line_1,119,504.767,4.0086,2123.13,0,ordinary,1.456121,0.487832,,0
B41-120,reference,sauce_b,line_2,120,498.857,4.4078,2308.31,0,ordinary,0.671503,0.434805,,0
B41-121,reference,sauce_a,line_1,121,504.298,4.0805,2152.31,0,ordinary,1.120858,0.481575,,0
B41-122,reference,sauce_b,line_1,122,502.566,4.5190,2190.43,0,ordinary,0.826208,0.535722,,0
B41-123,reference,sauce_a,line_2,123,503.578,4.0325,2280.14,0,ordinary,0.757068,0.457274,,0
B41-124,reference,sauce_b,line_1,124,504.412,4.4753,2256.55,0,ordinary,0.940720,0.443228,,0
B41-125,reference,sauce_a,line_1,125,501.153,4.0158,2174.78,0,ordinary,0.862689,0.411758,,0
B41-126,reference,sauce_b,line_2,126,497.557,4.4180,2351.39,0,ordinary,1.166471,0.441146,,0
B41-127,reference,sauce_a,line_1,127,498.859,4.0357,2161.30,0,ordinary,1.017567,0.428276,,0
B41-128,reference,sauce_b,line_1,128,503.754,4.4219,2280.30,0,ordinary,0.795824,0.433721,,0
B41-129,reference,sauce_a,line_2,129,507.704,4.0093,2211.41,0,ordinary,1.665638,0.476623,,0
B41-130,reference,sauce_b,line_1,130,498.329,4.4969,2249.72,0,ordinary,0.756861,0.458956,,0
B41-131,reference,sauce_a,line_1,131,500.179,4.0107,2155.33,0,ordinary,1.086159,0.426304,,0
B41-132,reference,sauce_b,line_2,132,513.988,4.4963,2328.76,0,ordinary,3.049412,0.619290,,0
B41-133,reference,sauce_a,line_1,133,501.950,3.9861,2151.76,0,ordinary,1.127177,0.439567,,0
B41-134,reference,sauce_b,line_1,134,501.974,4.4606,2291.64,0,ordinary,0.642955,0.415086,,0
B41-135,reference,sauce_a,line_2,135,503.009,4.0030,2202.00,0,ordinary,0.792946,0.418634,,0
B41-136,reference,sauce_b,line_1,136,506.420,4.4698,2320.28,0,ordinary,1.382893,0.461822,,0
B41-137,reference,sauce_a,line_1,137,494.526,4.0018,2119.31,0,ordinary,1.500011,0.493014,,0
B41-138,reference,sauce_b,line_2,138,496.751,4.3835,2338.88,0,ordinary,1.022737,0.495660,,0
B41-139,reference,sauce_a,line_1,139,499.832,4.0031,2216.59,0,ordinary,0.792633,0.409957,,0
B41-140,reference,sauce_b,line_1,140,503.096,4.4526,2310.49,0,ordinary,0.696551,0.425184,,0
B41-141,reference,sauce_a,line_2,141,499.191,4.0310,2279.74,0,ordinary,0.705085,0.452360,,0
B41-142,reference,sauce_b,line_1,142,499.394,4.4469,2276.70,0,ordinary,0.599966,0.418642,,0
B41-143,reference,sauce_a,line_1,143,501.857,3.9613,2151.70,0,ordinary,1.127866,0.485746,,0
B41-144,reference,sauce_b,line_2,144,503.404,4.4199,2433.89,0,ordinary,2.114354,0.542931,,0
B41-145,reference,sauce_a,line_1,145,500.564,4.0506,2225.68,0,ordinary,0.643582,0.417074,,0
B41-146,reference,sauce_b,line_1,146,494.962,4.5169,2273.08,0,ordinary,1.140226,0.512758,,0
B41-147,reference,sauce_a,line_2,147,498.086,4.0281,2216.39,0,ordinary,0.714185,0.404698,,0
B41-148,reference,sauce_b,line_1,148,498.107,4.4770,2364.38,0,ordinary,1.315719,0.436092,,0
B41-149,reference,sauce_a,line_1,149,502.441,4.0590,2141.68,0,ordinary,1.242991,0.463756,,0
B41-150,reference,sauce_b,line_2,150,493.699,4.4752,2377.53,0,ordinary,1.466806,0.507725,,0
B41-151,reference,sauce_a,line_1,151,498.802,4.0298,2223.79,0,ordinary,0.708851,0.405339,,0
B41-152,reference,sauce_b,line_1,152,495.950,4.4669,2274.34,0,ordinary,0.922663,0.450127,,0
B41-153,reference,sauce_a,line_2,153,506.777,4.0553,2250.58,0,ordinary,1.461507,0.480815,,0
B41-154,reference,sauce_b,line_1,154,499.889,4.4561,2391.63,0,ordinary,1.628808,0.446394,,0
B41-155,reference,sauce_a,line_1,155,499.429,3.9707,2132.74,0,ordinary,1.345707,0.491246,,0
B41-156,reference,sauce_b,line_2,156,499.236,4.4784,2256.54,0,ordinary,0.698809,0.438073,,0
B41-157,reference,sauce_a,line_1,157,495.157,3.9948,2199.33,0,ordinary,1.097286,0.443655,,0
B41-158,reference,sauce_b,line_1,158,504.732,4.4124,2251.19,0,ordinary,1.011186,0.455504,,0
B41-159,reference,sauce_a,line_2,159,500.771,4.0224,2250.59,0,ordinary,0.732071,0.416599,,0
B41-160,reference,sauce_b,line_1,160,498.107,4.4606,2250.01,0,ordinary,0.642955,0.433947,,0
B41-161,reference,sauce_a,line_1,161,495.700,4.0045,2181.92,0,ordinary,0.977714,0.437764,,0
B41-162,reference,sauce_b,line_2,162,498.255,4.4257,2406.65,0,ordinary,1.801380,0.478288,,0
B41-163,reference,sauce_a,line_1,163,507.547,4.0189,2157.89,0,ordinary,1.631065,0.490683,,0
B41-164,reference,sauce_b,line_1,164,495.529,4.5381,2249.04,0,ordinary,1.015370,0.554375,,0
B41-165,reference,sauce_a,line_2,165,503.964,4.0542,2255.12,0,ordinary,0.842067,0.446965,,0
B41-166,reference,sauce_b,line_1,166,501.036,4.4665,2359.29,0,ordinary,1.257238,0.428546,,0
B41-167,reference,sauce_a,line_1,167,493.818,4.0630,2194.13,0,ordinary,1.392142,0.478577,,0
B41-168,reference,sauce_b,line_2,168,500.344,4.4407,2363.19,0,ordinary,1.302047,0.422886,,0
B41-169,reference,sauce_a,line_1,169,502.804,4.0239,2300.65,0,ordinary,0.727364,0.492770,,0
B41-170,reference,sauce_b,line_1,170,487.743,4.4773,2345.27,0,ordinary,2.729893,0.614163,,0
B41-171,reference,sauce_a,line_2,171,494.876,4.0762,2209.32,0,ordinary,1.159164,0.477437,,0
B41-172,reference,sauce_b,line_1,172,503.345,4.4027,2323.30,0,ordinary,0.843731,0.451986,,0
B41-173,reference,sauce_a,line_1,173,495.437,4.0506,2167.32,0,ordinary,1.035628,0.469525,,0
B41-174,reference,sauce_b,line_2,174,510.773,4.4475,2376.32,0,ordinary,2.341450,0.550422,,0
B41-175,reference,sauce_a,line_1,175,501.955,4.0108,2225.09,0,ordinary,0.768471,0.403094,,0
B41-176,reference,sauce_b,line_1,176,511.139,4.4853,2259.29,0,ordinary,2.422045,0.552142,,0
B41-177,reference,sauce_a,line_2,177,502.166,4.0333,2145.98,0,ordinary,1.193586,0.437856,,0
B41-178,reference,sauce_b,line_1,178,497.962,4.4140,2331.20,0,ordinary,0.934498,0.434429,,0
B41-179,reference,sauce_a,line_1,179,505.480,4.0331,2231.21,0,ordinary,1.175900,0.442070,,0
B41-180,reference,sauce_b,line_2,180,496.642,4.5238,2298.11,0,ordinary,0.841270,0.501004,,0
B41-181,reference,sauce_a,line_1,181,503.648,4.0594,2179.08,0,ordinary,0.813284,0.439917,,0
B41-182,reference,sauce_b,line_1,182,494.666,4.4943,2294.08,0,ordinary,1.205407,0.492533,,0
B41-183,reference,sauce_a,line_2,183,492.316,3.9575,2186.65,0,ordinary,1.722891,0.538357,,0
B41-184,reference,sauce_b,line_1,184,506.754,4.4219,2400.45,0,ordinary,1.730145,0.516000,,0
B41-185,reference,sauce_a,line_1,185,496.354,4.0435,2231.25,0,ordinary,0.833700,0.432754,,0
B41-186,reference,sauce_b,line_2,186,503.975,4.4191,2284.16,0,ordinary,0.844490,0.437702,,0
B41-187,reference,sauce_a,line_1,187,502.294,3.9771,2203.12,0,ordinary,0.874218,0.442402,,0
B41-188,reference,sauce_b,line_1,188,502.232,4.4721,2272.26,0,ordinary,0.679041,0.425649,,0
B41-189,reference,sauce_a,line_2,189,499.909,4.0070,2207.41,0,ordinary,0.780395,0.407564,,0
B41-190,reference,sauce_b,line_1,190,502.798,4.3822,2257.62,0,ordinary,0.585307,0.477218,,0
B41-191,reference,sauce_a,line_1,191,496.431,4.0363,2244.91,0,ordinary,0.816744,0.446556,,0
B41-192,reference,sauce_b,line_2,192,497.974,4.4731,2377.21,0,ordinary,1.463130,0.444571,,0
B41-193,reference,sauce_a,line_1,193,492.068,4.0241,2159.49,0,ordinary,1.777502,0.497905,,0
B41-194,reference,sauce_b,line_1,194,502.679,4.4787,2370.23,0,ordinary,1.382933,0.445184,,0
B41-195,reference,sauce_a,line_2,195,494.470,4.0148,2180.96,0,ordinary,1.248568,0.447375,,0
B41-196,reference,sauce_b,line_1,196,508.407,4.4169,2212.31,0,ordinary,1.820442,0.513400,,0
B41-197,reference,sauce_a,line_1,197,503.598,4.0145,2189.88,0,ordinary,0.761472,0.418162,,0
B41-198,reference,sauce_b,line_2,198,500.875,4.4312,2265.16,0,ordinary,0.550701,0.429850,,0
B41-199,reference,sauce_a,line_1,199,494.221,3.9469,2169.66,0,ordinary,1.303399,0.551176,,0
B41-200,reference,sauce_b,line_1,200,502.252,4.4788,2353.09,0,ordinary,1.186003,0.439207,,0
B41-201,reference,sauce_a,line_2,201,504.032,4.0105,2240.81,0,ordinary,0.857041,0.432633,,0
B41-202,reference,sauce_b,line_1,202,503.249,4.4537,2288.30,0,ordinary,0.684620,0.422492,,0
B41-203,reference,sauce_a,line_1,203,502.379,4.0640,2218.27,0,ordinary,0.601535,0.429521,,0
B41-204,reference,sauce_b,line_2,204,502.197,4.5077,2408.33,0,ordinary,1.820683,0.528780,,0
B41-205,reference,sauce_a,line_1,205,501.155,4.0327,2284.90,0,ordinary,0.699751,0.461741,,0
B41-206,reference,sauce_b,line_1,206,496.737,4.4309,2298.28,0,ordinary,0.749361,0.428932,,0
B41-207,reference,sauce_a,line_2,207,511.353,3.9977,2141.45,0,ordinary,2.469169,0.578586,,0
B41-208,reference,sauce_b,line_1,208,493.828,4.4220,2390.19,0,ordinary,1.612263,0.504377,,0
B41-209,reference,sauce_a,line_1,209,500.656,4.0320,2172.62,0,ordinary,0.887506,0.416113,,0
B41-210,reference,sauce_b,line_2,210,501.987,4.4706,2245.38,0,ordinary,0.674334,0.431137,,0
B41-211,reference,sauce_a,line_1,211,502.024,3.9637,2174.26,0,ordinary,0.916266,0.468698,,0
B41-212,reference,sauce_b,line_1,212,496.012,4.3865,2258.70,0,ordinary,0.909010,0.498215,,0
B41-213,reference,sauce_a,line_2,213,494.046,4.0160,2202.18,0,ordinary,1.341935,0.444010,,0
B41-214,reference,sauce_b,line_1,214,493.856,4.4498,2290.74,0,ordinary,1.383774,0.465855,,0
B41-215,reference,sauce_a,line_1,215,497.922,4.0154,2234.12,0,ordinary,0.754036,0.413080,,0
B41-216,reference,sauce_b,line_2,216,495.968,4.4388,2346.62,0,ordinary,1.111666,0.433048,,0
B41-217,reference,sauce_a,line_1,217,502.240,3.9903,2177.74,0,ordinary,0.832798,0.430971,,0
B41-218,reference,sauce_b,line_1,218,508.790,4.4378,2261.50,0,ordinary,1.904781,0.494945,,0
B41-219,reference,sauce_a,line_2,219,510.469,3.9964,2126.96,0,ordinary,2.274507,0.581618,,0
B41-220,reference,sauce_b,line_1,220,500.547,4.4328,2338.79,0,ordinary,1.021703,0.418281,,0
B41-221,reference,sauce_a,line_1,221,499.539,4.0167,2241.64,0,ordinary,0.749957,0.411672,,0
B41-222,reference,sauce_b,line_2,222,495.783,4.4554,2375.63,0,ordinary,1.444976,0.454430,,0
B41-223,reference,sauce_a,line_1,223,493.947,3.9466,2220.69,0,ordinary,1.363735,0.544123,,0
B41-224,reference,sauce_b,line_1,224,509.187,4.4119,2354.35,0,ordinary,1.992203,0.529544,,0
B41-225,reference,sauce_a,line_2,225,501.626,4.0129,2254.98,0,ordinary,0.761881,0.422927,,0
B41-226,reference,sauce_b,line_1,226,495.930,4.4777,2316.71,0,ordinary,0.927067,0.446018,,0
B41-227,reference,sauce_a,line_1,227,500.345,4.0475,2053.79,0,ordinary,2.252803,0.594077,,0
B41-228,reference,sauce_b,line_2,228,495.574,4.4566,2385.34,0,ordinary,1.556539,0.463998,,0
B41-229,reference,sauce_a,line_1,229,503.321,4.0873,2214.47,0,ordinary,0.700475,0.459407,,0
B41-230,reference,sauce_b,line_1,230,498.899,4.4728,2308.62,0,ordinary,0.681237,0.422352,,0
B41-231,reference,sauce_a,line_2,231,501.748,4.0574,2257.96,0,ordinary,0.622245,0.441906,,0
B41-232,reference,sauce_b,line_1,232,500.540,4.4988,2386.77,0,ordinary,1.572969,0.484458,,0
B41-233,reference,sauce_a,line_1,233,489.307,4.0126,2189.73,0,ordinary,2.385491,0.548313,,0
B41-234,reference,sauce_b,line_2,234,495.309,4.4417,2315.54,0,ordinary,1.063815,0.440139,,0
B41-235,reference,sauce_a,line_1,235,501.601,3.9754,2102.74,0,ordinary,1.690392,0.499339,,0
B41-236,reference,sauce_b,line_1,236,497.267,4.4330,2246.06,0,ordinary,0.632652,0.447602,,0
B41-237,reference,sauce_a,line_2,237,491.700,4.0329,2217.76,0,ordinary,1.858538,0.493317,,0
B41-238,reference,sauce_b,line_1,238,490.132,4.4415,2353.05,0,ordinary,2.203821,0.548659,,0
B41-239,reference,sauce_a,line_1,239,497.305,3.9888,2220.81,0,ordinary,0.837504,0.435940,,0
B41-240,reference,sauce_b,line_2,240,497.823,4.4471,2369.08,0,ordinary,1.369720,0.426215,,0
B41-241,reference,sauce_a,line_1,241,500.071,4.0449,2218.03,0,ordinary,0.661468,0.408265,,0
B41-242,reference,sauce_b,line_1,242,508.847,4.5173,2364.17,0,ordinary,1.917333,0.560805,,0
B41-243,reference,sauce_a,line_2,243,499.479,3.9986,2230.05,0,ordinary,0.806753,0.414838,,0
B41-244,reference,sauce_b,line_1,244,506.421,4.4666,2309.35,0,ordinary,1.383113,0.455258,,0
B41-245,reference,sauce_a,line_1,245,503.783,3.9875,2220.67,0,ordinary,0.841584,0.437164,,0
B41-246,reference,sauce_b,line_2,246,502.581,4.5375,2257.42,0,ordinary,0.884259,0.512219,,0
B41-247,reference,sauce_a,line_1,247,504.977,4.0110,2195.17,0,ordinary,1.065136,0.434107,,0
B41-248,reference,sauce_b,line_1,248,498.482,4.4354,2298.14,0,ordinary,0.563880,0.410573,,0
B41-249,reference,sauce_a,line_2,249,506.172,4.0554,2173.66,0,ordinary,1.328282,0.472155,,0
B41-250,reference,sauce_b,line_1,250,496.041,4.4577,2288.79,0,ordinary,0.902624,0.438909,,0
B41-251,reference,sauce_a,line_1,251,501.493,4.1350,2182.21,0,ordinary,0.777322,0.522199,,0
B41-252,reference,sauce_b,line_2,252,503.392,4.4389,2305.03,0,ordinary,0.716110,0.423786,,0
B41-253,reference,sauce_a,line_1,253,502.000,3.9786,2101.19,0,ordinary,1.708201,0.500591,,0
B41-254,reference,sauce_b,line_1,254,498.506,4.4866,2365.79,0,ordinary,1.331920,0.450561,,0
B41-255,reference,sauce_a,line_2,255,503.150,4.0407,2161.84,0,ordinary,1.011363,0.432787,,0
