distribution,variable_type,x,mass_or_density,cumulative_probability,parameter_1,parameter_2,support
Normal,Continuous,125,0.00663181,0.95220965,mu=100,sigma=15,all real values
Normal,Continuous,130,0.0035994,0.97724987,mu=100,sigma=15,all real values
Normal,Continuous,135,0.00174813,0.99018467,mu=100,sigma=15,all real values
Normal,Continuous,140,0.00075973,0.99616962,mu=100,sigma=15,all real values
Normal,Continuous,145,0.00029546,0.9986501,mu=100,sigma=15,all real values
Exponential,Continuous,0.0,0.5,0.0,rate=0.5,,zero and above
Exponential,Continuous,0.5,0.38940039,0.22119922,rate=0.5,,zero and above
Exponential,Continuous,1.0,0.30326533,0.39346934,rate=0.5,,zero and above
Exponential,Continuous,1.5,0.23618328,0.52763345,rate=0.5,,zero and above
Exponential,Continuous,2.0,0.18393972,0.63212056,rate=0.5,,zero and above
Exponential,Continuous,2.5,0.1432524,0.7134952,rate=0.5,,zero and above
Exponential,Continuous,3.0,0.11156508,0.77686984,rate=0.5,,zero and above
Exponential,Continuous,3.5,0.08688697,0.82622606,rate=0.5,,zero and above
Exponential,Continuous,4.0,0.06766764,0.86466472,rate=0.5,,zero and above
Exponential,Continuous,4.5,0.05269961,0.89460078,rate=0.5,,zero and above
Exponential,Continuous,5.0,0.0410425,0.917915,rate=0.5,,zero and above
Exponential,Continuous,5.5,0.03196393,0.93607214,rate=0.5,,zero and above
Exponential,Continuous,6.0,0.02489353,0.95021293,rate=0.5,,zero and above
Exponential,Continuous,6.5,0.0193871,0.96122579,rate=0.5,,zero and above
Exponential,Continuous,7.0,0.01509869,0.96980262,rate=0.5,,zero and above
Exponential,Continuous,7.5,0.01175887,0.97648225,rate=0.5,,zero and above
Exponential,Continuous,8.0,0.00915782,0.98168436,rate=0.5,,zero and above
Exponential,Continuous,8.5,0.00713212,0.98573577,rate=0.5,,zero and above
Exponential,Continuous,9.0,0.0055545,0.988891,rate=0.5,,zero and above
Exponential,Continuous,9.5,0.00432585,0.9913483,rate=0.5,,zero and above
Exponential,Continuous,10.0,0.00336897,0.99326205,rate=0.5,,zero and above
