shipment_id,prediction_date,split,route_distance_km,port_congestion_index,fragile_product,actual_late,true_late_probability,train_prevalence_baseline,raw_probability,calibrated_probability,raw_predicted_late,calibrated_predicted_late,raw_brier_contribution,calibrated_brier_contribution
S47-0086,2023-03-27,train,677.6,0.654,1,1,0.644466,0.290000,0.740147,0.696389,1,1,0.067523,0.092180
S47-0087,2023-03-28,train,738.9,0.664,0,0,0.477191,0.290000,0.310127,0.374139,0,0,0.096179,0.139980
S47-0088,2023-03-29,train,199.5,0.276,0,0,0.053479,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0089,2023-03-30,train,531.4,0.361,0,0,0.164819,0.290000,0.068902,0.219462,0,0,0.004748,0.048164
S47-0090,2023-03-31,train,359.6,0.674,1,0,0.425753,0.290000,0.150900,0.266510,0,0,0.022771,0.071028
S47-0091,2023-04-01,train,501.7,0.403,0,0,0.169962,0.290000,0.087243,0.229444,0,0,0.007611,0.052644
S47-0092,2023-04-02,train,330.5,0.590,0,0,0.176753,0.290000,0.029091,0.198883,0,0,0.000846,0.039554
S47-0093,2023-04-03,train,494.5,0.187,1,0,0.204973,0.290000,0.069254,0.219650,0,0,0.004796,0.048246
S47-0094,2023-04-04,train,570.0,0.442,0,1,0.220286,0.290000,0.218828,0.310028,0,0,0.610229,0.476062
S47-0095,2023-04-05,train,531.1,0.360,0,0,0.164283,0.290000,0.064514,0.217120,0,0,0.004162,0.047141
S47-0096,2023-04-06,train,842.4,0.269,0,0,0.275718,0.290000,0.057190,0.213253,0,0,0.003271,0.045477
S47-0097,2023-04-07,train,572.2,0.408,1,0,0.387128,0.290000,0.162507,0.273665,0,0,0.026408,0.074893
S47-0098,2023-04-08,train,738.8,0.681,1,1,0.702535,0.290000,0.807993,0.739296,1,1,0.036867,0.067967
S47-0099,2023-04-09,train,699.7,0.291,0,0,0.209507,0.290000,0.082355,0.226753,0,0,0.006782,0.051417
S47-0100,2023-04-10,train,582.0,0.769,0,0,0.438562,0.290000,0.243527,0.326786,0,0,0.059305,0.106789
S47-0101,2023-04-11,train,574.0,0.619,1,1,0.544631,0.290000,0.575019,0.577815,1,1,0.180609,0.178240
S47-0102,2023-04-12,train,781.1,0.629,0,1,0.482582,0.290000,0.431031,0.465943,0,0,0.323725,0.285216
S47-0103,2023-04-13,train,752.0,0.382,0,0,0.289462,0.290000,0.379750,0.426342,0,0,0.144210,0.181767
S47-0104,2023-04-14,train,855.9,0.384,0,0,0.358864,0.290000,0.074441,0.222443,0,0,0.005542,0.049481
S47-0105,2023-04-15,train,445.4,0.158,0,0,0.076576,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0106,2023-04-16,train,697.0,0.520,0,1,0.343215,0.290000,0.299934,0.366706,0,0,0.490092,0.401061
S47-0107,2023-04-17,train,591.1,0.144,1,1,0.232419,0.290000,0.194862,0.294229,0,0,0.648247,0.498112
S47-0108,2023-04-18,train,637.1,0.621,0,0,0.371520,0.290000,0.368691,0.417906,0,0,0.135933,0.174646
S47-0109,2023-04-19,train,773.0,0.708,1,1,0.739428,0.290000,0.861629,0.770304,1,1,0.019147,0.052760
S47-0110,2023-04-20,train,952.5,0.550,0,0,0.551690,0.290000,0.407913,0.448007,0,0,0.166393,0.200710
S47-0111,2023-04-21,train,309.7,0.306,0,0,0.079227,0.290000,0.026375,0.197533,0,0,0.000696,0.039019
S47-0112,2023-04-22,train,448.0,0.273,1,0,0.224959,0.290000,0.009620,0.189360,0,0,0.000093,0.035857
S47-0113,2023-04-23,train,824.2,0.311,0,0,0.290203,0.290000,0.167344,0.276682,0,0,0.028004,0.076553
S47-0114,2023-04-24,train,704.9,0.312,0,0,0.222821,0.290000,0.145116,0.262990,0,0,0.021059,0.069164
S47-0115,2023-04-25,train,957.8,0.626,0,0,0.610972,0.290000,0.583036,0.583918,1,1,0.339931,0.340960
S47-0116,2023-04-26,train,805.5,0.473,0,0,0.385919,0.290000,0.321076,0.382190,0,0,0.103090,0.146069
S47-0117,2023-04-27,train,660.7,0.352,0,0,0.220647,0.290000,0.021415,0.195086,0,0,0.000459,0.038059
S47-0118,2023-04-28,train,735.1,0.284,0,0,0.223966,0.290000,0.172652,0.280016,0,0,0.029809,0.078409
S47-0119,2023-04-29,train,1058.6,0.350,0,1,0.481459,0.290000,0.387951,0.432625,0,0,0.374604,0.321914
S47-0120,2023-04-30,train,537.1,0.644,0,0,0.319363,0.290000,0.243796,0.326971,0,0,0.059436,0.106910
S47-0121,2023-05-01,train,630.1,0.642,0,1,0.381379,0.290000,0.523975,0.538473,1,1,0.226600,0.213007
S47-0122,2023-05-02,train,325.3,0.485,0,0,0.133646,0.290000,0.030022,0.199347,0,0,0.000901,0.039739
S47-0123,2023-05-03,train,541.8,0.404,0,1,0.188070,0.290000,0.186460,0.288803,0,0,0.661847,0.505801
S47-0124,2023-05-04,train,667.5,0.275,0,0,0.186563,0.290000,0.036811,0.202757,0,0,0.001355,0.041110
S47-0125,2023-05-05,train,578.8,0.771,1,0,0.656875,0.290000,0.517546,0.533473,1,1,0.267854,0.284593
S47-0126,2023-05-06,train,669.7,0.136,1,1,0.272317,0.290000,0.198976,0.296908,0,0,0.641639,0.494339
S47-0127,2023-05-07,train,342.2,0.537,1,1,0.318125,0.290000,0.165736,0.275677,0,0,0.695996,0.524644
S47-0128,2023-05-08,train,554.2,0.467,0,0,0.225063,0.290000,0.095622,0.234109,0,0,0.009144,0.054807
S47-0129,2023-05-09,train,615.9,0.605,1,1,0.565300,0.290000,0.629707,0.618884,1,1,0.137117,0.145249
S47-0130,2023-05-10,train,618.0,0.226,0,0,0.145791,0.290000,0.052739,0.210927,0,0,0.002781,0.044490
S47-0131,2023-05-11,train,931.2,0.629,0,1,0.594018,0.290000,0.506027,0.524498,1,1,0.244010,0.226102
S47-0132,2023-05-12,train,255.4,0.716,0,0,0.200079,0.290000,0.219000,0.310143,0,0,0.047961,0.096189
S47-0133,2023-05-13,train,820.4,0.196,0,0,0.222562,0.290000,0.124924,0.250936,0,0,0.015606,0.062969
S47-0134,2023-05-14,train,761.3,0.258,0,1,0.224071,0.290000,0.508081,0.526100,1,1,0.241984,0.224581
S47-0135,2023-05-15,train,226.2,0.671,0,1,0.166811,0.290000,0.139685,0.259712,0,0,0.740141,0.548027
S47-0136,2023-05-16,train,407.1,0.529,0,0,0.183667,0.290000,0.084941,0.228174,0,0,0.007215,0.052063
S47-0137,2023-05-17,train,721.4,0.540,1,1,0.594886,0.290000,0.698900,0.668449,1,1,0.090661,0.109926
S47-0138,2023-05-18,train,965.8,0.516,0,1,0.536286,0.290000,0.617954,0.610179,1,1,0.145960,0.151961
S47-0139,2023-05-19,train,449.5,0.729,0,0,0.317670,0.290000,0.138296,0.258877,0,0,0.019126,0.067017
S47-0140,2023-05-20,train,567.6,0.712,0,0,0.386701,0.290000,0.256158,0.335534,0,0,0.065617,0.112583
S47-0141,2023-05-21,train,642.7,0.673,0,0,0.412679,0.290000,0.282398,0.354067,0,0,0.079749,0.125364
S47-0142,2023-05-22,train,383.9,0.853,1,0,0.577056,0.290000,0.169887,0.278277,0,0,0.028862,0.077438
S47-0143,2023-05-23,train,697.1,0.295,0,0,0.210203,0.290000,0.098877,0.235939,0,0,0.009777,0.055667
S47-0144,2023-05-24,train,915.6,0.551,0,0,0.524929,0.290000,0.249180,0.330686,0,0,0.062091,0.109354
S47-0145,2023-05-25,train,516.0,0.393,0,1,0.171789,0.290000,0.151237,0.266717,0,0,0.720398,0.537704
S47-0146,2023-05-26,train,347.7,0.529,0,0,0.158438,0.290000,0.040068,0.204408,0,0,0.001605,0.041783
S47-0147,2023-05-27,train,676.9,0.510,0,0,0.323157,0.290000,0.244574,0.327506,0,0,0.059816,0.107260
S47-0148,2023-05-28,train,617.6,0.285,0,0,0.169075,0.290000,0.031355,0.200013,0,0,0.000983,0.040005
S47-0149,2023-05-29,train,236.3,0.238,1,0,0.121628,0.290000,0.017122,0.192987,0,0,0.000293,0.037244
S47-0150,2023-05-30,train,841.1,0.288,0,0,0.286448,0.290000,0.076056,0.223318,0,0,0.005785,0.049871
S47-0151,2023-05-31,train,822.3,0.586,0,0,0.481234,0.290000,0.562864,0.568516,1,1,0.316816,0.323210
S47-0152,2023-06-01,train,661.0,0.160,1,0,0.281507,0.290000,0.104893,0.239347,0,0,0.011003,0.057287
S47-0153,2023-06-02,train,654.3,0.589,1,1,0.581735,0.290000,0.619011,0.610965,1,1,0.145153,0.151348
S47-0154,2023-06-03,train,638.5,0.217,1,0,0.302906,0.290000,0.117319,0.246493,0,0,0.013764,0.060759
S47-0155,2023-06-04,train,605.5,0.437,0,0,0.236403,0.290000,0.181562,0.285667,0,0,0.032965,0.081606
S47-0156,2023-06-05,train,680.8,0.206,0,1,0.162519,0.290000,0.243867,0.327020,0,0,0.571736,0.452902
S47-0157,2023-06-06,train,385.0,0.473,0,0,0.151100,0.290000,0.122255,0.249371,0,0,0.014946,0.062186
S47-0158,2023-06-07,train,584.7,0.395,1,0,0.386772,0.290000,0.171011,0.278983,0,0,0.029245,0.077831
S47-0159,2023-06-08,train,563.9,0.339,0,0,0.169201,0.290000,0.156906,0.270198,0,0,0.024619,0.073007
S47-0160,2023-06-09,train,773.7,0.449,1,0,0.566626,0.290000,0.355738,0.408087,0,0,0.126550,0.166535
S47-0161,2023-06-10,train,688.0,0.874,0,1,0.595319,0.290000,0.371021,0.419680,0,0,0.395615,0.336772
S47-0162,2023-06-11,train,599.8,0.742,0,1,0.431778,0.290000,0.420358,0.457649,0,0,0.335985,0.294145
S47-0163,2023-06-12,train,600.0,0.431,0,0,0.230232,0.290000,0.182933,0.286543,0,0,0.033464,0.082107
S47-0164,2023-06-13,train,949.9,0.639,0,1,0.614602,0.290000,0.608170,0.602878,1,1,0.153531,0.157706
S47-0165,2023-06-14,train,706.6,0.655,1,1,0.664809,0.290000,0.795223,0.731526,1,1,0.041934,0.072078
S47-0166,2023-06-15,train,619.3,0.640,1,0,0.593367,0.290000,0.508627,0.526525,1,1,0.258701,0.277229
S47-0167,2023-06-16,train,124.5,0.560,0,0,0.095652,0.290000,0.011794,0.190405,0,0,0.000139,0.036254
S47-0168,2023-06-17,train,723.4,0.713,0,0,0.502300,0.290000,0.219610,0.310551,0,0,0.048229,0.096442
S47-0169,2023-06-18,train,372.9,0.890,0,0,0.374889,0.290000,0.145057,0.262954,0,0,0.021042,0.069145
S47-0170,2023-06-19,train,721.5,0.531,0,0,0.367606,0.290000,0.118335,0.247083,0,0,0.014003,0.061050
S47-0171,2023-06-20,train,787.2,0.437,0,1,0.348100,0.290000,0.483958,0.507265,0,1,0.266300,0.242788
S47-0172,2023-06-21,train,80.0,0.530,0,0,0.077988,0.290000,0.008220,0.188688,0,0,0.000068,0.035603
S47-0173,2023-06-22,train,734.3,0.385,0,0,0.280476,0.290000,0.229380,0.317129,0,0,0.052615,0.100571
S47-0174,2023-06-23,train,1033.6,0.354,0,0,0.465754,0.290000,0.346515,0.401140,0,0,0.120073,0.160913
S47-0175,2023-06-24,train,579.4,0.473,0,0,0.241807,0.290000,0.071798,0.221017,0,0,0.005155,0.048848
S47-0176,2023-06-25,train,972.3,0.670,1,1,0.821552,0.290000,0.968113,0.823901,1,1,0.001017,0.031011
S47-0177,2023-06-26,train,346.4,0.309,0,0,0.088362,0.290000,0.062898,0.216263,0,0,0.003956,0.046770
S47-0178,2023-06-27,train,416.9,0.829,0,0,0.363015,0.290000,0.100036,0.236593,0,0,0.010007,0.055976
S47-0179,2023-06-28,train,726.6,0.574,0,1,0.401745,0.290000,0.383001,0.428830,0,0,0.380688,0.326235
S47-0180,2023-06-29,train,445.7,0.350,1,0,0.266413,0.290000,0.063958,0.216825,0,0,0.004091,0.047013
S47-0181,2023-06-30,train,950.7,0.855,0,1,0.753450,0.290000,0.661340,0.641925,1,1,0.114691,0.128218
S47-0182,2023-07-01,train,869.7,0.466,0,1,0.427294,0.290000,0.379236,0.425949,0,0,0.385348,0.329535
S47-0183,2023-07-02,train,471.9,0.797,1,0,0.600296,0.290000,0.181884,0.285873,0,0,0.033082,0.081723
S47-0184,2023-07-03,train,708.3,0.346,1,0,0.441001,0.290000,0.285637,0.356387,0,0,0.081588,0.127012
S47-0185,2023-07-04,train,863.6,0.515,0,1,0.459042,0.290000,0.532536,0.545118,1,1,0.218522,0.206917
S47-0186,2023-07-05,train,790.5,0.479,1,0,0.600728,0.290000,0.553821,0.561567,1,1,0.306718,0.315357
S47-0187,2023-07-06,train,836.6,0.736,0,1,0.602957,0.290000,0.672406,0.649840,1,1,0.107318,0.122612
S47-0188,2023-07-07,train,591.2,0.597,0,0,0.324011,0.290000,0.177808,0.283278,0,0,0.031616,0.080246
S47-0189,2023-07-08,train,503.5,0.403,0,0,0.170725,0.290000,0.088100,0.229918,0,0,0.007762,0.052862
S47-0190,2023-07-09,train,772.2,0.171,0,0,0.186882,0.290000,0.189522,0.290774,0,0,0.035919,0.084549
S47-0191,2023-07-10,train,331.9,0.620,0,0,0.190880,0.290000,0.061722,0.215640,0,0,0.003810,0.046501
S47-0192,2023-07-11,train,652.8,0.282,0,0,0.183083,0.290000,0.009413,0.189260,0,0,0.000089,0.035819
S47-0193,2023-07-12,train,757.3,0.570,0,1,0.421139,0.290000,0.450522,0.481136,0,0,0.301926,0.269220
S47-0194,2023-07-13,train,450.8,0.288,0,0,0.110701,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0195,2023-07-14,train,514.5,0.632,0,1,0.297235,0.290000,0.261800,0.339479,0,0,0.544939,0.436288
S47-0196,2023-07-15,train,921.2,0.406,1,0,0.641435,0.290000,0.481905,0.505660,0,1,0.232232,0.255692
S47-0197,2023-07-16,train,461.8,0.035,0,0,0.056808,0.290000,0.007800,0.188487,0,0,0.000061,0.035527
S47-0198,2023-07-17,train,633.1,0.654,0,1,0.392051,0.290000,0.514534,0.531128,1,1,0.235677,0.219841
S47-0199,2023-07-18,train,627.5,0.154,1,0,0.258170,0.290000,0.127489,0.252447,0,0,0.016253,0.063729
S47-0200,2023-07-19,train,710.9,0.603,0,1,0.411371,0.290000,0.367798,0.417227,0,0,0.399679,0.339624
S47-0201,2023-07-20,train,478.9,0.940,0,0,0.489177,0.290000,0.072663,0.221483,0,0,0.005280,0.049055
S47-0202,2023-07-21,train,712.4,0.474,0,0,0.322829,0.290000,0.131155,0.254616,0,0,0.017202,0.064829
S47-0203,2023-07-22,train,353.3,0.647,0,0,0.214317,0.290000,0.088768,0.230288,0,0,0.007880,0.053033
S47-0204,2023-07-23,train,275.6,0.682,0,0,0.193535,0.290000,0.107416,0.240786,0,0,0.011538,0.057978
S47-0205,2023-07-24,train,1110.0,0.339,1,1,0.720511,0.290000,0.617045,0.609503,1,1,0.146654,0.152488
S47-0206,2023-07-25,train,1008.3,0.851,1,1,0.898247,0.290000,0.965502,0.822713,1,1,0.001190,0.031431
S47-0207,2023-07-26,train,302.7,0.516,0,0,0.136591,0.290000,0.008122,0.188642,0,0,0.000066,0.035586
S47-0208,2023-07-27,train,583.9,0.114,0,1,0.099186,0.290000,0.219262,0.310318,0,0,0.609552,0.475662
S47-0209,2023-07-28,train,456.5,0.278,1,0,0.232098,0.290000,0.011184,0.190111,0,0,0.000125,0.036142
S47-0210,2023-07-29,train,613.8,0.237,1,0,0.299937,0.290000,0.095000,0.233760,0,0,0.009025,0.054644
S47-0211,2023-07-30,train,655.8,0.327,0,0,0.205609,0.290000,0.019126,0.193964,0,0,0.000366,0.037622
S47-0212,2023-07-31,train,531.7,0.417,0,0,0.189402,0.290000,0.115064,0.245185,0,0,0.013240,0.060116
S47-0213,2023-08-01,train,924.1,0.156,0,0,0.257367,0.290000,0.088924,0.230375,0,0,0.007908,0.053073
S47-0214,2023-08-02,train,411.0,0.361,0,1,0.120893,0.290000,0.146827,0.264028,0,0,0.727904,0.541655
S47-0215,2023-08-03,train,335.7,0.231,1,0,0.154478,0.290000,0.023955,0.196336,0,0,0.000574,0.038548
S47-0216,2023-08-04,train,657.7,0.452,0,0,0.274701,0.290000,0.053920,0.211542,0,0,0.002907,0.044750
S47-0217,2023-08-05,train,887.2,0.326,0,1,0.340650,0.290000,0.290253,0.359705,0,0,0.503741,0.409978
S47-0218,2023-08-06,train,80.0,0.482,0,0,0.068243,0.290000,0.008915,0.189021,0,0,0.000079,0.035729
S47-0219,2023-08-07,train,753.2,0.755,1,1,0.754841,0.290000,0.880407,0.780528,1,1,0.014303,0.048168
S47-0220,2023-08-08,train,632.9,0.473,0,0,0.272436,0.290000,0.130375,0.254153,0,0,0.016998,0.064594
S47-0221,2023-08-09,train,786.7,0.386,0,1,0.313911,0.290000,0.360021,0.411326,0,0,0.409574,0.346537
S47-0222,2023-08-10,train,847.2,0.647,0,1,0.545524,0.290000,0.615448,0.608313,1,1,0.147880,0.153418
S47-0223,2023-08-11,train,511.6,0.062,1,0,0.157201,0.290000,0.068179,0.219075,0,0,0.004648,0.047994
S47-0224,2023-08-12,train,812.0,0.651,1,1,0.728890,0.290000,0.947702,0.814448,1,1,0.002735,0.034430
S47-0225,2023-08-13,train,650.2,0.476,0,0,0.284673,0.290000,0.025121,0.196912,0,0,0.000631,0.038774
