shipment_id,facility_type,temperature_c,temperature_missing,urgent_shipment,premium_freight,late_delivery,dispatch_time,final_exception_code,exception_available_time
SHP-140,Third-party,4.95,No,No,No,No,2025-01-18T17:00:00,NONE,2025-01-19T18:00:00
SHP-141,Third-party,5.2,No,Yes,Yes,Yes,2025-01-18T20:00:00,LATE,2025-01-19T14:00:00
SHP-142,Third-party,5.45,No,No,No,No,2025-01-18T23:00:00,NONE,2025-01-19T18:00:00
SHP-143,Third-party,5.7,No,No,Yes,No,2025-01-19T02:00:00,NONE,2025-01-19T22:00:00
SHP-144,Third-party,5.95,No,No,No,Yes,2025-01-19T05:00:00,LATE,2025-01-20T02:00:00
SHP-145,Third-party,6.2,No,No,No,No,2025-01-19T08:00:00,NONE,2025-01-20T06:00:00
SHP-146,Third-party,4.2,No,Yes,Yes,No,2025-01-19T11:00:00,NONE,2025-01-20T10:00:00
SHP-147,Third-party,4.45,No,No,No,No,2025-01-19T14:00:00,NONE,2025-01-20T14:00:00
SHP-148,Third-party,4.7,No,No,No,No,2025-01-19T17:00:00,NONE,2025-01-20T18:00:00
SHP-149,Third-party,4.95,No,No,No,No,2025-01-19T20:00:00,NONE,2025-01-20T14:00:00
SHP-150,Third-party,5.2,No,No,Yes,No,2025-01-19T23:00:00,NONE,2025-01-20T18:00:00
SHP-151,Third-party,5.45,No,Yes,Yes,Yes,2025-01-20T02:00:00,LATE,2025-01-20T22:00:00
SHP-152,Third-party,5.7,No,No,No,No,2025-01-20T05:00:00,NONE,2025-01-21T02:00:00
SHP-153,Third-party,5.95,No,No,No,No,2025-01-20T08:00:00,NONE,2025-01-21T06:00:00
SHP-154,Third-party,6.2,No,No,No,Yes,2025-01-20T11:00:00,LATE,2025-01-21T10:00:00
SHP-155,Third-party,4.2,No,No,No,No,2025-01-20T14:00:00,NONE,2025-01-21T14:00:00
SHP-156,Third-party,4.45,No,Yes,Yes,No,2025-01-20T17:00:00,NONE,2025-01-21T18:00:00
SHP-157,Third-party,4.7,No,No,Yes,No,2025-01-20T20:00:00,NONE,2025-01-21T14:00:00
SHP-158,Third-party,4.95,No,No,No,No,2025-01-20T23:00:00,NONE,2025-01-21T18:00:00
SHP-159,Third-party,5.2,No,No,No,No,2025-01-21T02:00:00,NONE,2025-01-21T22:00:00
SHP-160,Third-party,5.45,No,No,No,No,2025-01-21T05:00:00,NONE,2025-01-22T02:00:00
SHP-161,Third-party,5.7,No,Yes,Yes,Yes,2025-01-21T08:00:00,LATE,2025-01-22T06:00:00
SHP-162,Third-party,5.95,No,No,No,No,2025-01-21T11:00:00,NONE,2025-01-22T10:00:00
SHP-163,Third-party,6.2,No,No,No,No,2025-01-21T14:00:00,NONE,2025-01-22T14:00:00
SHP-164,Third-party,4.2,No,No,Yes,Yes,2025-01-21T17:00:00,LATE,2025-01-22T18:00:00
SHP-165,Third-party,4.45,No,No,No,No,2025-01-21T20:00:00,NONE,2025-01-22T14:00:00
SHP-166,Third-party,4.7,No,Yes,Yes,No,2025-01-21T23:00:00,NONE,2025-01-22T18:00:00
SHP-167,Third-party,4.95,No,No,No,No,2025-01-22T02:00:00,NONE,2025-01-22T22:00:00
SHP-168,Third-party,5.2,No,No,No,No,2025-01-22T05:00:00,NONE,2025-01-23T02:00:00
SHP-169,Third-party,5.45,No,No,No,No,2025-01-22T08:00:00,NONE,2025-01-23T06:00:00
SHP-170,Third-party,5.7,No,No,No,No,2025-01-22T11:00:00,NONE,2025-01-23T10:00:00
SHP-171,Third-party,5.95,No,Yes,Yes,Yes,2025-01-22T14:00:00,LATE,2025-01-23T14:00:00
SHP-172,Third-party,6.2,No,No,No,No,2025-01-22T17:00:00,NONE,2025-01-23T18:00:00
SHP-173,Third-party,4.2,No,No,No,No,2025-01-22T20:00:00,NONE,2025-01-23T14:00:00
SHP-174,Third-party,4.45,No,No,No,Yes,2025-01-22T23:00:00,LATE,2025-01-23T18:00:00
SHP-175,Third-party,4.7,No,No,No,No,2025-01-23T02:00:00,NONE,2025-01-23T22:00:00
SHP-176,Third-party,4.95,No,Yes,Yes,No,2025-01-23T05:00:00,NONE,2025-01-24T02:00:00
SHP-177,Third-party,5.2,No,No,No,No,2025-01-23T08:00:00,NONE,2025-01-24T06:00:00
SHP-178,Third-party,5.45,No,No,Yes,No,2025-01-23T11:00:00,NONE,2025-01-24T10:00:00
SHP-179,Third-party,5.7,No,No,No,No,2025-01-23T14:00:00,NONE,2025-01-24T14:00:00
SHP-180,Third-party,5.95,No,No,No,No,2025-01-23T17:00:00,NONE,2025-01-24T18:00:00
SHP-181,Third-party,6.2,No,Yes,Yes,Yes,2025-01-23T20:00:00,LATE,2025-01-24T14:00:00
SHP-182,Third-party,4.2,No,No,No,No,2025-01-23T23:00:00,NONE,2025-01-24T18:00:00
SHP-183,Third-party,4.45,No,No,No,No,2025-01-24T02:00:00,NONE,2025-01-24T22:00:00
SHP-184,Third-party,4.7,No,No,No,Yes,2025-01-24T05:00:00,LATE,2025-01-25T02:00:00
SHP-185,Third-party,4.95,No,No,Yes,No,2025-01-24T08:00:00,NONE,2025-01-25T06:00:00
SHP-186,Third-party,5.2,No,Yes,Yes,No,2025-01-24T11:00:00,NONE,2025-01-25T10:00:00
SHP-187,Third-party,5.45,No,No,No,No,2025-01-24T14:00:00,NONE,2025-01-25T14:00:00
SHP-188,Third-party,5.7,No,No,No,No,2025-01-24T17:00:00,NONE,2025-01-25T18:00:00
SHP-189,Third-party,5.95,No,No,No,No,2025-01-24T20:00:00,NONE,2025-01-25T14:00:00
SHP-190,Third-party,6.2,No,No,No,No,2025-01-24T23:00:00,NONE,2025-01-25T18:00:00
SHP-191,Third-party,4.2,No,Yes,Yes,Yes,2025-01-25T02:00:00,LATE,2025-01-25T22:00:00
SHP-192,Third-party,4.45,No,No,Yes,No,2025-01-25T05:00:00,NONE,2025-01-26T02:00:00
SHP-193,Third-party,4.7,No,No,No,No,2025-01-25T08:00:00,NONE,2025-01-26T06:00:00
SHP-194,Third-party,4.95,No,No,No,Yes,2025-01-25T11:00:00,LATE,2025-01-26T10:00:00
SHP-195,Third-party,5.2,No,No,No,No,2025-01-25T14:00:00,NONE,2025-01-26T14:00:00
SHP-196,Third-party,5.45,No,Yes,Yes,No,2025-01-25T17:00:00,NONE,2025-01-26T18:00:00
SHP-197,Third-party,5.7,No,No,No,No,2025-01-25T20:00:00,NONE,2025-01-26T14:00:00
SHP-198,Third-party,5.95,No,No,No,No,2025-01-25T23:00:00,NONE,2025-01-26T18:00:00
SHP-199,Third-party,6.2,No,No,Yes,No,2025-01-26T02:00:00,NONE,2025-01-26T22:00:00
SHP-200,Third-party,4.2,No,No,No,No,2025-01-26T05:00:00,NONE,2025-01-27T02:00:00
