product_id,product_family,evaluation_split,weekly_unit_volume,weekly_order_count,stockout_rate,contribution_margin_pct,promotion_share,supplier_lead_days,pc1_score,pc2_score,two_component_reconstruction_rmse
P40-089,staples,training,1239.45,45.16,0.05608,25.101,0.33559,8.085,2.350541,-0.541893,0.101774
P40-090,beverages,training,1203.11,43.92,0.05811,25.243,0.33497,7.968,2.180603,-0.272616,0.083420
P40-091,snacks,training,1163.86,42.55,0.06037,25.349,0.33300,7.855,1.969591,-0.009406,0.060855
P40-092,premium,test,1122.77,41.09,0.06284,25.416,0.32975,7.745,1.723514,0.243525,0.034702
P40-093,staples,training,1080.91,39.59,0.06548,25.446,0.32528,7.639,1.449912,0.481537,0.016056
P40-094,beverages,training,1039.34,38.09,0.06822,25.438,0.31973,7.540,1.156034,0.698339,0.040940
P40-095,snacks,training,999.07,36.64,0.07093,25.392,0.31323,7.449,0.851996,0.887700,0.079368
P40-096,premium,test,961.10,35.29,0.07348,25.312,0.30593,7.369,0.548265,1.043641,0.121774
P40-097,staples,training,926.35,34.07,0.07574,25.197,0.29802,7.303,0.253180,1.159932,0.166774
P40-098,beverages,training,895.72,33.02,0.07757,25.050,0.28969,7.253,-0.022994,1.231594,0.213529
P40-099,snacks,training,869.99,32.16,0.07888,24.873,0.28112,7.222,-0.273547,1.254695,0.260850
P40-100,premium,test,849.86,31.51,0.07962,24.668,0.27250,7.208,-0.491610,1.229054,0.308967
P40-101,staples,training,835.87,31.07,0.07979,24.439,0.26403,7.213,-0.674050,1.154944,0.356241
P40-102,beverages,training,828.36,30.87,0.07945,24.189,0.25586,7.234,-0.817074,1.034774,0.402294
P40-103,snacks,training,827.48,30.87,0.07867,23.921,0.24816,7.268,-0.922157,0.875043,0.446655
P40-104,premium,test,833.12,31.08,0.07755,23.641,0.24105,7.312,-0.988689,0.681399,0.488370
P40-105,staples,training,844.93,31.47,0.07616,23.352,0.23464,7.364,-1.019397,0.459818,0.526826
P40-106,beverages,training,862.30,32.02,0.07457,23.061,0.22902,7.420,-1.015803,0.218585,0.561931
P40-107,snacks,training,884.39,32.71,0.07281,22.773,0.22423,7.479,-0.980465,-0.036915,0.593422
P40-108,premium,test,910.17,33.50,0.07092,22.494,0.22030,7.540,-0.917898,-0.299537,0.621004
P40-109,staples,training,938.47,34.36,0.06891,22.230,0.21725,7.601,-0.831247,-0.562339,0.644986
P40-110,beverages,training,968.02,35.27,0.06680,21.988,0.21505,7.665,-0.725085,-0.821403,0.663979
P40-111,snacks,training,997.56,36.19,0.06464,21.772,0.21368,7.732,-0.605802,-1.070515,0.677480
P40-112,premium,test,1025.85,37.09,0.06252,21.590,0.21308,7.803,-0.480038,-1.302872,0.684124
P40-113,staples,training,1051.74,37.93,0.06056,21.444,0.21321,7.880,-0.356959,-1.513251,0.682356
P40-114,beverages,training,1074.25,38.69,0.05890,21.339,0.21400,7.961,-0.243150,-1.694281,0.671589
P40-115,snacks,training,1092.53,39.34,0.05767,21.277,0.21539,8.047,-0.146587,-1.841140,0.650538
P40-116,premium,test,1105.93,39.85,0.05699,21.260,0.21733,8.136,-0.073613,-1.947725,0.618930
P40-117,staples,training,1113.96,40.19,0.05696,21.288,0.21974,8.226,-0.030277,-2.009347,0.576905
P40-118,beverages,training,1116.31,40.36,0.05761,21.361,0.22258,8.313,-0.017370,-2.022868,0.525649
P40-119,snacks,training,1112.84,40.32,0.05891,21.476,0.22581,8.395,-0.037437,-1.986556,0.466645
P40-120,premium,test,1103.52,40.07,0.06081,21.631,0.22937,8.469,-0.089228,-1.900392,0.401753
P40-121,staples,training,1088.49,39.61,0.06323,21.821,0.23324,8.533,-0.170766,-1.766464,0.332852
P40-122,beverages,training,1067.99,38.94,0.06607,22.042,0.23737,8.587,-0.279904,-1.588372,0.261351
P40-123,snacks,training,1042.40,38.07,0.06924,22.290,0.24175,8.631,-0.413438,-1.370074,0.188340
P40-124,premium,test,1012.23,37.04,0.07267,22.557,0.24633,8.666,-0.567752,-1.119024,0.114835
P40-125,staples,training,978.11,35.86,0.07633,22.840,0.25108,8.693,-0.740987,-0.839038,0.042116
P40-126,beverages,training,940.84,34.57,0.08018,23.133,0.25598,8.716,-0.929885,-0.538538,0.039195
P40-127,snacks,training,901.35,33.21,0.08420,23.430,0.26097,8.737,-1.131238,-0.224918,0.114139
P40-128,premium,test,860.70,31.82,0.08834,23.726,0.26602,8.757,-1.339997,0.094784,0.191408
P40-129,staples,training,820.06,30.45,0.09253,24.018,0.27108,8.778,-1.549702,0.412466,0.269515
P40-130,beverages,training,780.68,29.15,0.09667,24.300,0.27610,8.800,-1.752893,0.719600,0.346999
P40-131,snacks,training,743.83,27.95,0.10061,24.570,0.28102,8.823,-1.941370,1.009044,0.422283
P40-132,premium,test,710.74,26.89,0.10419,24.823,0.28579,8.844,-2.105731,1.273906,0.492553
P40-133,staples,training,682.56,26.01,0.10727,25.056,0.29035,8.862,-2.237564,1.507180,0.555934
P40-134,beverages,training,660.29,25.33,0.10971,25.266,0.29465,8.874,-2.329523,1.704343,0.609866
P40-135,snacks,training,644.71,24.88,0.11141,25.452,0.29863,8.880,-2.375726,1.860251,0.653251
P40-136,premium,test,636.38,24.65,0.11234,25.609,0.30226,8.878,-2.375381,1.973309,0.684708
P40-137,staples,training,635.59,24.66,0.11250,25.736,0.30550,8.868,-2.327001,2.041462,0.704099
P40-138,beverages,training,642.36,24.91,0.11194,25.831,0.30831,8.852,-2.233180,2.063448,0.712258
P40-139,snacks,training,656.44,25.38,0.11074,25.891,0.31066,8.830,-2.098873,2.040860,0.709520
P40-140,premium,test,677.37,26.06,0.10898,25.917,0.31255,8.806,-1.928924,1.974296,0.697944
P40-141,staples,training,704.50,26.94,0.10673,25.906,0.31396,8.781,-1.728434,1.864880,0.678159
P40-142,beverages,training,737.00,28.00,0.10403,25.860,0.31489,8.757,-1.501932,1.715208,0.651230
P40-143,snacks,training,773.96,29.20,0.10091,25.778,0.31533,8.736,-1.255846,1.527836,0.617805
P40-144,premium,test,814.41,30.53,0.09740,25.661,0.31530,8.718,-0.993543,1.305905,0.578193
P40-145,staples,training,857.31,31.95,0.09351,25.514,0.31479,8.702,-0.719259,1.055551,0.532231
P40-146,beverages,training,901.63,33.43,0.08930,25.338,0.31383,8.687,-0.438323,0.782138,0.480122
P40-147,snacks,training,946.34,34.93,0.08484,25.137,0.31241,8.670,-0.156250,0.493590,0.421567
P40-148,premium,test,990.42,36.42,0.08024,24.918,0.31056,8.649,0.121661,0.198562,0.357426
P40-149,staples,training,1032.87,37.86,0.07567,24.685,0.30828,8.622,0.387007,-0.093995,0.288777
P40-150,beverages,training,1072.69,39.21,0.07127,24.445,0.30561,8.585,0.633659,-0.373263,0.216108
P40-151,snacks,training,1108.94,40.44,0.06721,24.205,0.30256,8.539,0.853853,-0.631621,0.141728
P40-152,premium,test,1140.73,41.52,0.06363,23.970,0.29917,8.484,1.040926,-0.861914,0.067418
P40-153,staples,training,1167.25,42.41,0.06062,23.748,0.29548,8.419,1.189936,-1.055887,0.013642
P40-154,beverages,training,1187.80,43.09,0.05823,23.544,0.29154,8.348,1.296818,-1.210936,0.079875
P40-155,snacks,training,1201.83,43.54,0.05645,23.365,0.28742,8.273,1.360597,-1.323769,0.146787
P40-156,premium,test,1209.01,43.75,0.05524,23.214,0.28319,8.195,1.381833,-1.393172,0.209325
P40-157,staples,training,1209.20,43.72,0.05455,23.096,0.27893,8.117,1.362385,-1.419387,0.265969
P40-158,beverages,training,1202.55,43.47,0.05431,23.013,0.27477,8.040,1.307092,-1.404017,0.316240
P40-159,snacks,training,1189.42,42.99,0.05448,22.968,0.27080,7.965,1.218261,-1.346964,0.359637
P40-160,premium,test,1170.49,42.32,0.05504,22.961,0.26715,7.892,1.101804,-1.251026,0.395876
P40-161,staples,training,1146.60,41.50,0.05597,22.992,0.26395,7.819,0.964547,-1.118126,0.425283
P40-162,beverages,training,1118.84,40.55,0.05728,23.060,0.26132,7.744,0.811431,-0.949530,0.447952
P40-163,snacks,training,1088.40,39.51,0.05895,23.162,0.25941,7.667,0.649146,-0.749801,0.463437
P40-164,premium,test,1056.56,38.44,0.06096,23.298,0.25831,7.586,0.486533,-0.522862,0.471793
P40-165,staples,training,1024.61,37.37,0.06323,23.463,0.25815,7.501,0.330953,-0.274671,0.473327
P40-166,beverages,training,993.78,36.35,0.06565,23.655,0.25899,7.412,0.191777,-0.011983,0.468713
P40-167,snacks,training,965.23,35.40,0.06809,23.870,0.26090,7.321,0.075911,0.257991,0.458460
P40-168,premium,test,939.97,34.57,0.07039,24.105,0.26392,7.230,-0.007293,0.526493,0.443330
P40-169,staples,training,918.85,33.89,0.07241,24.356,0.26805,7.144,-0.052098,0.784074,0.423160
P40-170,beverages,training,902.56,33.37,0.07403,24.618,0.27325,7.065,-0.054746,1.024087,0.398777
P40-171,snacks,training,891.61,33.04,0.07516,24.890,0.27946,6.997,-0.011336,1.239705,0.369782
P40-172,premium,test,886.35,32.90,0.07580,25.165,0.28658,6.942,0.076230,1.426332,0.336319
P40-173,staples,training,886.99,32.97,0.07595,25.440,0.29447,6.902,0.207490,1.579695,0.298428
P40-174,beverages,training,893.58,33.23,0.07566,25.711,0.30299,6.877,0.377888,1.699434,0.256586
P40-175,snacks,training,906.04,33.70,0.07501,25.973,0.31194,6.868,0.583471,1.782681,0.210877
P40-176,premium,test,924.17,34.35,0.07404,26.222,0.32113,6.874,0.818563,1.830164,0.162388
P40-177,staples,training,947.61,35.17,0.07282,26.452,0.33035,6.892,1.077639,1.842792,0.112728
P40-178,beverages,training,975.86,36.15,0.07134,26.658,0.33936,6.921,1.356458,1.819432,0.063739
P40-179,snacks,training,1008.26,37.26,0.06964,26.836,0.34797,6.959,1.648564,1.762215,0.018543
P40-180,premium,test,1043.98,38.48,0.06769,26.980,0.35594,7.005,1.948651,1.670450,0.030416
P40-181,staples,training,1082.03,39.77,0.06553,27.087,0.36308,7.060,2.248203,1.545931,0.068794
P40-182,beverages,training,1121.28,41.09,0.06318,27.152,0.36921,7.124,2.538919,1.390374,0.102598
P40-183,snacks,training,1160.49,42.41,0.06074,27.172,0.37415,7.198,2.810808,1.206540,0.131312
P40-184,premium,test,1198.32,43.68,0.05831,27.145,0.37778,7.284,3.052723,0.998437,0.155585
P40-185,staples,training,1233.43,44.87,0.05603,27.069,0.37997,7.384,3.253677,0.769665,0.176523
P40-186,beverages,training,1264.51,45.92,0.05407,26.945,0.38065,7.498,3.401506,0.528204,0.195215
P40-187,snacks,training,1290.34,46.80,0.05255,26.774,0.37976,7.627,3.487478,0.279055,0.212729
P40-188,premium,test,1309.87,47.47,0.05160,26.557,0.37728,7.769,3.503452,0.029539,0.229361
P40-189,staples,training,1322.28,47.90,0.05126,26.298,0.37323,7.923,3.445608,-0.214769,0.245374
P40-190,beverages,training,1326.97,48.07,0.05157,26.002,0.36764,8.085,3.312394,-0.447063,0.260212
P40-191,snacks,training,1323.64,47.96,0.05247,25.674,0.36058,8.251,3.106051,-0.662453,0.272551
P40-192,premium,test,1312.25,47.56,0.05393,25.320,0.35214,8.418,2.829346,-0.856680,0.281844
P40-193,staples,training,1293.03,46.89,0.05586,24.947,0.34245,8.581,2.490417,-1.026711,0.286675
P40-194,beverages,training,1266.42,45.94,0.05821,24.562,0.33165,8.736,2.094567,-1.168283,0.286275
P40-195,snacks,training,1233.10,44.75,0.06093,24.171,0.31991,8.883,1.649999,-1.282525,0.281483
P40-196,premium,test,1193.88,43.35,0.06400,23.782,0.30742,9.018,1.165340,-1.366739,0.272296
P40-197,staples,training,1149.69,41.77,0.06740,23.402,0.29439,9.141,0.648387,-1.420979,0.259988
P40-198,beverages,training,1101.56,40.05,0.07112,23.036,0.28105,9.253,0.107086,-1.446925,0.246175
P40-199,snacks,training,1050.56,38.24,0.07513,22.689,0.26761,9.354,-0.449192,-1.446676,0.231847
P40-200,premium,test,997.81,36.37,0.07938,22.367,0.25434,9.445,-1.011336,-1.421674,0.218429
P40-201,staples,training,944.45,34.51,0.08376,22.074,0.24148,9.526,-1.566182,-1.376578,0.206376
P40-202,beverages,training,891.63,32.68,0.08814,21.812,0.22927,9.597,-2.103738,-1.314539,0.195852
P40-203,snacks,training,840.52,30.93,0.09235,21.587,0.21796,9.657,-2.609730,-1.238959,0.186635
P40-204,premium,test,792.27,29.31,0.09623,21.398,0.20777,9.704,-3.071496,-1.154875,0.177606
P40-205,staples,training,748.02,27.83,0.09963,21.249,0.19892,9.736,-3.478441,-1.063554,0.167853
P40-206,beverages,training,708.85,26.54,0.10243,21.141,0.19159,9.750,-3.818864,-0.968265,0.156202
P40-207,snacks,training,675.77,25.46,0.10456,21.075,0.18594,9.744,-4.085076,-0.870554,0.142191
P40-208,premium,test,649.64,24.61,0.10600,21.051,0.18209,9.715,-4.271372,-0.770856,0.125342
P40-209,staples,training,631.17,24.01,0.10678,21.070,0.18012,9.664,-4.375014,-0.670766,0.106855
P40-210,beverages,training,620.84,23.67,0.10694,21.132,0.18007,9.590,-4.394725,-0.570191,0.086905
P40-211,snacks,training,618.88,23.59,0.10654,21.235,0.18193,9.496,-4.332916,-0.471021,0.066567
P40-212,premium,test,625.25,23.78,0.10561,21.379,0.18563,9.383,-4.190701,-0.374171,0.045929
P40-213,staples,training,639.59,24.23,0.10419,21.562,0.19109,9.256,-3.973099,-0.281857,0.026339
P40-214,beverages,training,661.31,24.93,0.10229,21.781,0.19814,9.118,-3.685232,-0.196022,0.008710
P40-215,snacks,training,689.54,25.85,0.09991,22.033,0.20659,8.972,-3.334106,-0.117391,0.010787
P40-216,premium,test,723.18,26.97,0.09705,22.313,0.21622,8.823,-2.927750,-0.048745,0.024469
P40-217,staples,training,761.02,28.25,0.09374,22.617,0.22676,8.672,-2.475772,0.011173,0.036384
P40-218,beverages,training,801.71,29.66,0.09005,22.938,0.23794,8.522,-1.989641,0.061890,0.046321
P40-219,snacks,training,843.88,31.14,0.08609,23.270,0.24946,8.373,-1.483255,0.106999,0.055710
P40-220,premium,test,886.20,32.65,0.08199,23.607,0.26101,8.224,-0.969435,0.149875,0.066200
P40-221,staples,training,927.40,34.14,0.07792,23.941,0.27231,8.077,-0.463585,0.192706,0.077834
P40-222,beverages,training,966.31,35.56,0.07406,24.265,0.28306,7.930,0.019950,0.240197,0.091224
P40-223,snacks,training,1001.89,36.87,0.07055,24.571,0.29300,7.784,0.468241,0.293838,0.106003
P40-224,premium,test,1033.27,38.02,0.06750,24.853,0.30189,7.641,0.869173,0.355007,0.121784
P40-225,staples,training,1059.69,38.98,0.06500,25.104,0.30953,7.501,1.213485,0.424630,0.139075
P40-226,beverages,training,1080.55,39.72,0.06305,25.320,0.31575,7.369,1.494229,0.500132,0.157593
P40-227,snacks,training,1095.40,40.22,0.06164,25.496,0.32042,7.246,1.706992,0.580235,0.178156
P40-228,premium,test,1103.91,40.48,0.06073,25.628,0.32346,7.138,1.849069,0.659667,0.199792
P40-229,staples,training,1105.89,40.49,0.06029,25.714,0.32482,7.047,1.918836,0.736697,0.222369
P40-230,beverages,training,1101.32,40.26,0.06029,25.754,0.32451,6.976,1.917023,0.808696,0.245038
P40-231,snacks,training,1090.33,39.81,0.06071,25.747,0.32257,6.927,1.845440,0.872853,0.267187
P40-232,premium,test,1073.22,39.16,0.06158,25.695,0.31908,6.901,1.706072,0.928627,0.287761
P40-233,staples,training,1050.52,38.33,0.06289,25.600,0.31414,6.897,1.503254,0.975701,0.306607
P40-234,beverages,training,1022.93,37.36,0.06466,25.465,0.30790,6.912,1.243383,1.014700,0.323537
P40-235,snacks,training,991.35,36.29,0.06685,25.293,0.30052,6.946,0.934245,1.043245,0.337840
P40-236,premium,test,956.89,35.14,0.06942,25.089,0.29218,6.995,0.584387,1.062654,0.349990
P40-237,staples,training,920.78,33.95,0.07225,24.856,0.28310,7.055,0.206163,1.071333,0.361167
P40-238,beverages,training,884.37,32.76,0.07521,24.600,0.27347,7.126,-0.188307,1.065783,0.371282
P40-239,snacks,training,849.08,31.61,0.07813,24.325,0.26353,7.205,-0.584764,1.043120,0.381526
P40-240,premium,test,816.27,30.53,0.08085,24.035,0.25349,7.292,-0.971112,0.999313,0.392098
