week_start,dc_id,product_id,promotion,stockout,observed_sales_cases,latent_demand_cases,data_split,forecast_origin_week,forecast_horizon_weeks,last_observation_forecast_cases,seasonal_naive_forecast_cases,drift_forecast_cases,selected_model,selected_forecast_cases,selected_error_cases,selected_absolute_error_cases,lead_time_weeks,service_level,lead_time_point_demand_cases,error_quantile_cases,safety_stock_cases,order_up_to_target_cases,on_hand_cases,on_order_cases,backorders_cases,inventory_position_cases,case_pack_cases,unconstrained_order_cases,recommended_order_cases,accountable_owner,approval_state,data_seed
2024-10-21,JKT_DC,SAMBAL_250,0,0,97,97,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-10-28,JKT_DC,SAMBAL_250,0,0,93,93,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-04,JKT_DC,SAMBAL_250,0,0,93,93,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-11,JKT_DC,SAMBAL_250,0,0,92,92,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-18,JKT_DC,SAMBAL_250,0,0,85,85,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-25,JKT_DC,SAMBAL_250,0,0,80,80,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-02,JKT_DC,SAMBAL_250,0,0,84,84,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-09,JKT_DC,SAMBAL_250,1,0,97,97,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-16,JKT_DC,SAMBAL_250,0,0,83,83,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-23,JKT_DC,SAMBAL_250,0,0,89,89,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-30,JKT_DC,SAMBAL_250,0,0,90,90,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-06,JKT_DC,SAMBAL_250,0,0,95,95,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-13,JKT_DC,SAMBAL_250,0,0,104,104,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-20,JKT_DC,SAMBAL_250,0,0,104,104,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-27,JKT_DC,SAMBAL_250,0,0,96,96,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-03,JKT_DC,SAMBAL_250,0,0,98,98,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-10,JKT_DC,SAMBAL_250,0,0,101,101,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-17,JKT_DC,SAMBAL_250,0,0,89,89,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-24,JKT_DC,SAMBAL_250,0,0,75,75,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-03,JKT_DC,SAMBAL_250,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-10,JKT_DC,SAMBAL_250,1,0,101,101,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-17,JKT_DC,SAMBAL_250,0,0,79,79,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-24,JKT_DC,SAMBAL_250,0,0,86,86,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-31,JKT_DC,SAMBAL_250,0,0,90,90,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-07,JKT_DC,SAMBAL_250,0,0,95,95,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-14,JKT_DC,SAMBAL_250,0,0,95,95,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-21,JKT_DC,SAMBAL_250,0,0,102,102,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-28,JKT_DC,SAMBAL_250,0,0,102,102,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-05,JKT_DC,SAMBAL_250,0,0,94,94,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-12,JKT_DC,SAMBAL_250,0,0,93,93,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-19,JKT_DC,SAMBAL_250,0,0,88,88,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-26,JKT_DC,SAMBAL_250,0,0,95,95,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-02,JKT_DC,SAMBAL_250,0,0,89,89,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-09,JKT_DC,SAMBAL_250,1,0,98,98,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-16,JKT_DC,SAMBAL_250,0,0,86,86,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-23,JKT_DC,SAMBAL_250,0,0,91,91,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-30,JKT_DC,SAMBAL_250,0,0,92,92,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-07,JKT_DC,SAMBAL_250,0,0,114,114,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-14,JKT_DC,SAMBAL_250,0,0,102,102,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-21,JKT_DC,SAMBAL_250,0,0,107,107,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-28,JKT_DC,SAMBAL_250,0,0,104,104,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-04,JKT_DC,SAMBAL_250,0,0,108,108,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-11,JKT_DC,SAMBAL_250,0,0,87,87,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-18,JKT_DC,SAMBAL_250,0,0,96,96,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-25,JKT_DC,SAMBAL_250,0,0,97,97,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-01,JKT_DC,SAMBAL_250,0,0,85,85,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-08,JKT_DC,SAMBAL_250,1,0,106,106,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-15,JKT_DC,SAMBAL_250,0,0,93,93,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-22,JKT_DC,SAMBAL_250,0,0,99,99,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-29,JKT_DC,SAMBAL_250,0,0,101,101,holdout,2025-09-22,1,99.000,92.000,99.289,seasonal_naive,92.000,9.000,9.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-10-06,JKT_DC,SAMBAL_250,0,0,112,112,holdout,2025-09-22,2,99.000,114.000,99.578,seasonal_naive,114.000,-2.000,2.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-10-13,JKT_DC,SAMBAL_250,0,1,102,109,holdout,2025-09-22,3,99.000,102.000,99.867,seasonal_naive,102.000,7.000,7.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-10-20,JKT_DC,SAMBAL_250,0,0,111,111,holdout,2025-09-22,4,99.000,107.000,100.156,seasonal_naive,107.000,4.000,4.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-10-27,JKT_DC,SAMBAL_250,0,0,112,112,holdout,2025-09-22,5,99.000,104.000,100.444,seasonal_naive,104.000,8.000,8.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-11-03,JKT_DC,SAMBAL_250,0,0,94,94,holdout,2025-09-22,6,99.000,108.000,100.733,seasonal_naive,108.000,-14.000,14.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-11-10,JKT_DC,SAMBAL_250,0,0,102,102,holdout,2025-09-22,7,99.000,87.000,101.022,seasonal_naive,87.000,15.000,15.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-11-17,JKT_DC,SAMBAL_250,0,0,84,84,holdout,2025-09-22,8,99.000,96.000,101.311,seasonal_naive,96.000,-12.000,12.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-11-24,JKT_DC,SAMBAL_250,0,0,95,95,holdout,2025-09-22,9,99.000,97.000,101.600,seasonal_naive,97.000,-2.000,2.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-12-01,JKT_DC,SAMBAL_250,0,0,93,93,holdout,2025-09-22,10,99.000,85.000,101.889,seasonal_naive,85.000,8.000,8.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-12-08,JKT_DC,SAMBAL_250,1,0,102,102,holdout,2025-09-22,11,99.000,106.000,102.178,seasonal_naive,106.000,-4.000,4.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-12-15,JKT_DC,SAMBAL_250,0,0,89,89,holdout,2025-09-22,12,99.000,93.000,102.467,seasonal_naive,93.000,-4.000,4.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2025-12-22,JKT_DC,SAMBAL_250,0,0,99,99,holdout,2025-09-22,13,99.000,99.000,102.756,seasonal_naive,99.000,0.000,0.000,2,0.90,206.000,16.800,16.800,222.800,120,24,8,136.000,12,86.800,96.000,Demand Planning Manager,planner_review_required,20260828
2024-01-01,JKT_DC,KOPI_200,0,0,60,60,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-08,JKT_DC,KOPI_200,0,0,58,58,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-15,JKT_DC,KOPI_200,0,0,61,61,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-22,JKT_DC,KOPI_200,0,0,58,58,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-29,JKT_DC,KOPI_200,0,0,70,70,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-05,JKT_DC,KOPI_200,0,0,64,64,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-12,JKT_DC,KOPI_200,0,0,68,68,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-19,JKT_DC,KOPI_200,0,0,54,54,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-26,JKT_DC,KOPI_200,0,0,63,63,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-04,JKT_DC,KOPI_200,0,0,57,57,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-11,JKT_DC,KOPI_200,1,0,74,74,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-18,JKT_DC,KOPI_200,0,0,67,67,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-25,JKT_DC,KOPI_200,0,0,66,66,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-01,JKT_DC,KOPI_200,0,0,64,64,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-08,JKT_DC,KOPI_200,0,0,66,66,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-15,JKT_DC,KOPI_200,0,0,70,70,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-22,JKT_DC,KOPI_200,0,0,71,71,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-29,JKT_DC,KOPI_200,0,0,71,71,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-06,JKT_DC,KOPI_200,0,0,78,78,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-13,JKT_DC,KOPI_200,0,0,62,62,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-20,JKT_DC,KOPI_200,0,0,59,59,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-27,JKT_DC,KOPI_200,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-03,JKT_DC,KOPI_200,0,0,63,63,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-10,JKT_DC,KOPI_200,1,0,69,69,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-17,JKT_DC,KOPI_200,0,0,66,66,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-24,JKT_DC,KOPI_200,0,0,66,66,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-01,JKT_DC,KOPI_200,0,0,60,60,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-08,JKT_DC,KOPI_200,0,0,76,76,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-15,JKT_DC,KOPI_200,0,0,74,74,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-22,JKT_DC,KOPI_200,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-29,JKT_DC,KOPI_200,0,0,73,73,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-05,JKT_DC,KOPI_200,0,0,69,69,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-12,JKT_DC,KOPI_200,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-19,JKT_DC,KOPI_200,0,0,67,67,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-26,JKT_DC,KOPI_200,0,0,58,58,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-02,JKT_DC,KOPI_200,0,0,62,62,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-09,JKT_DC,KOPI_200,1,0,67,67,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-16,JKT_DC,KOPI_200,0,0,60,60,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-23,JKT_DC,KOPI_200,0,0,62,62,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-30,JKT_DC,KOPI_200,0,0,68,68,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-10-07,JKT_DC,KOPI_200,0,0,85,85,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-10-14,JKT_DC,KOPI_200,0,0,74,74,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-10-21,JKT_DC,KOPI_200,0,0,81,81,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-10-28,JKT_DC,KOPI_200,0,0,80,80,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-04,JKT_DC,KOPI_200,0,0,68,68,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-11,JKT_DC,KOPI_200,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-18,JKT_DC,KOPI_200,0,0,70,70,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-11-25,JKT_DC,KOPI_200,0,0,66,66,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-02,JKT_DC,KOPI_200,0,0,66,66,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-09,JKT_DC,KOPI_200,1,0,87,87,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-16,JKT_DC,KOPI_200,0,0,65,65,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-23,JKT_DC,KOPI_200,0,0,69,69,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-12-30,JKT_DC,KOPI_200,0,0,64,64,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-06,JKT_DC,KOPI_200,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-13,JKT_DC,KOPI_200,0,0,73,73,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-20,JKT_DC,KOPI_200,0,0,70,70,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-01-27,JKT_DC,KOPI_200,0,0,79,79,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-03,JKT_DC,KOPI_200,0,0,86,86,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-10,JKT_DC,KOPI_200,0,0,62,62,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-17,JKT_DC,KOPI_200,0,0,66,66,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-02-24,JKT_DC,KOPI_200,0,0,57,57,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-03,JKT_DC,KOPI_200,0,0,63,63,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-10,JKT_DC,KOPI_200,1,0,74,74,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-17,JKT_DC,KOPI_200,0,0,63,63,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-24,JKT_DC,KOPI_200,0,0,63,63,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-03-31,JKT_DC,KOPI_200,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-07,JKT_DC,KOPI_200,0,0,75,75,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-14,JKT_DC,KOPI_200,0,0,82,82,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-21,JKT_DC,KOPI_200,0,0,95,95,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-04-28,JKT_DC,KOPI_200,0,0,82,82,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-05,JKT_DC,KOPI_200,0,0,78,78,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-12,JKT_DC,KOPI_200,0,0,81,81,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-19,JKT_DC,KOPI_200,0,0,67,67,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-05-26,JKT_DC,KOPI_200,0,0,57,57,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-02,JKT_DC,KOPI_200,0,0,59,59,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-09,JKT_DC,KOPI_200,1,0,85,85,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-16,JKT_DC,KOPI_200,0,0,61,61,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-23,JKT_DC,KOPI_200,0,0,72,72,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-06-30,JKT_DC,KOPI_200,0,0,78,78,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-07,JKT_DC,KOPI_200,0,0,84,84,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-14,JKT_DC,KOPI_200,0,0,87,87,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-21,JKT_DC,KOPI_200,0,0,91,91,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-07-28,JKT_DC,KOPI_200,0,0,81,81,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-04,JKT_DC,KOPI_200,0,0,78,78,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-11,JKT_DC,KOPI_200,0,0,69,69,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-18,JKT_DC,KOPI_200,0,0,83,83,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-08-25,JKT_DC,KOPI_200,0,0,77,77,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-01,JKT_DC,KOPI_200,0,0,73,73,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-08,JKT_DC,KOPI_200,1,1,78,87,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-15,JKT_DC,KOPI_200,0,0,69,69,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-22,JKT_DC,KOPI_200,0,0,75,75,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2025-09-29,JKT_DC,KOPI_200,0,0,78,78,holdout,2025-09-22,1,75.000,78.000,75.167,seasonal_naive,78.000,0.000,0.000,2,0.90,162.000,23.000,23.000,185.000,90,12,4,98.000,10,87.000,90.000,Demand Planning Manager,planner_review_required,20260828
2025-10-06,JKT_DC,KOPI_200,0,0,94,94,holdout,2025-09-22,2,75.000,84.000,75.333,seasonal_naive,84.000,10.000,10.000,2,0.90,162.000,23.000,23.000,185.000,90,12,4,98.000,10,87.000,90.000,Demand Planning Manager,planner_review_required,20260828
2025-10-13,JKT_DC,KOPI_200,0,0,73,73,holdout,2025-09-22,3,75.000,87.000,75.500,seasonal_naive,87.000,-14.000,14.000,2,0.90,162.000,23.000,23.000,185.000,90,12,4,98.000,10,87.000,90.000,Demand Planning Manager,planner_review_required,20260828
2025-10-20,JKT_DC,KOPI_200,0,0,84,84,holdout,2025-09-22,4,75.000,91.000,75.667,seasonal_naive,91.000,-7.000,7.000,2,0.90,162.000,23.000,23.000,185.000,90,12,4,98.000,10,87.000,90.000,Demand Planning Manager,planner_review_required,20260828
2025-10-27,JKT_DC,KOPI_200,0,0,83,83,holdout,2025-09-22,5,75.000,81.000,75.833,seasonal_naive,81.000,2.000,2.000,2,0.90,162.000,23.000,23.000,185.000,90,12,4,98.000,10,87.000,90.000,Demand Planning Manager,planner_review_required,20260828
