package_id,impact_score_standardized,moisture_score_standardized,seal_temperature_standardized,line_speed_standardized,synthetic_severity_score,true_class,hidden_1_preactivation,hidden_2_preactivation,hidden_3_preactivation,hidden_4_preactivation,hidden_5_preactivation,hidden_6_preactivation,hidden_1_relu,hidden_2_relu,hidden_3_relu,hidden_4_relu,hidden_5_relu,hidden_6_relu,normal_logit,inspect_logit,reject_logit,normal_probability,inspect_probability,reject_probability,predicted_class,cross_entropy_contribution,softmax_probability_sum
PKG51-11,0.507773,2.058899,-2.397220,-0.341437,3.814560,reject,0.507773,2.058899,2.397220,-0.341437,-2.983349,3.622455,0.507773,2.058899,2.397220,0.000000,0.000000,3.622455,-4.955178,2.817492,7.915851,0.000003,0.006070,0.993928,reject,0.006091,1.000000
PKG51-12,-0.394366,1.537695,-1.180695,-0.553646,1.267144,inspect,-0.394366,1.537695,1.180695,-0.553646,-1.103217,0.770378,0.000000,1.537695,1.180695,0.000000,0.000000,0.770378,-0.929573,1.195201,1.912210,0.037711,0.315681,0.646608,reject,1.153024,1.000000
PKG51-13,0.265093,0.631106,0.507908,-1.298174,-0.155117,normal,0.265093,0.631106,-0.507908,-1.298174,0.240348,-1.909883,0.265093,0.631106,0.000000,0.000000,0.240348,0.000000,1.013809,0.154435,-0.724775,0.625314,0.264775,0.109911,normal,0.469501,1.000000
PKG51-14,1.995356,-0.695840,0.461544,0.993867,2.211143,reject,1.995356,-0.695840,-0.461544,0.993867,-0.930431,0.831839,1.995356,0.000000,0.000000,0.993867,0.000000,0.831839,-1.226599,1.461742,2.339899,0.019570,0.287815,0.692616,reject,0.367280,1.000000
PKG51-15,-0.355577,0.562683,-1.539136,-0.121752,1.004416,inspect,-0.355577,0.562683,1.539136,-0.121752,-0.796372,0.624490,0.000000,0.562683,1.539136,0.000000,0.000000,0.624490,-0.475399,0.821894,1.164277,0.101907,0.372916,0.525177,reject,0.986402,1.000000
PKG51-16,-0.546908,-1.581465,-0.710118,-1.068330,-2.013235,normal,-0.546908,-1.581465,0.710118,-1.068330,1.638980,-3.486585,0.000000,0.000000,0.710118,0.000000,1.638980,0.000000,2.811717,-0.735443,-1.950203,0.963990,0.027769,0.008241,normal,0.036675,1.000000
PKG51-17,0.979050,-0.860431,-1.621309,-0.228102,1.605285,reject,0.979050,-0.860431,1.621309,-0.228102,-0.885293,0.511826,0.979050,0.000000,1.621309,0.000000,0.000000,0.511826,-0.709910,1.138319,1.483800,0.061286,0.389077,0.549637,reject,0.598497,1.000000
PKG51-18,-0.372937,2.686264,1.865145,0.173073,0.445128,inspect,-0.372937,2.686264,-1.865145,0.173073,-0.314870,-0.378745,0.000000,2.686264,0.000000,0.173073,0.000000,0.000000,-0.212361,1.195054,0.952855,0.120598,0.492690,0.386712,inspect,0.707876,1.000000
PKG51-19,-0.833553,2.397183,0.291460,-1.812098,-0.275943,normal,-0.833553,2.397183,-0.291460,-1.812098,-0.092680,-1.539928,0.000000,2.397183,0.000000,0.000000,0.000000,0.000000,0.001408,0.998592,0.617746,0.179767,0.487282,0.332952,inspect,1.716096,1.000000
PKG51-20,0.411061,-1.823779,1.303017,0.419659,-1.626926,normal,0.411061,-1.823779,-1.303017,0.419659,1.803709,-3.296076,0.411061,0.000000,0.000000,0.419659,1.803709,0.000000,2.949951,-0.729320,-1.940846,0.968282,0.024441,0.007277,normal,0.032232,1.000000
PKG51-21,-1.242308,-0.675474,-2.363731,1.807808,0.403136,inspect,-1.242308,-0.675474,2.363731,1.807808,-0.293903,1.253757,0.000000,0.000000,2.363731,1.807808,0.000000,1.253757,-1.958746,1.538586,3.319932,0.004345,0.143511,0.852144,reject,1.941345,1.000000
PKG51-22,0.061516,0.680546,1.365046,-0.472397,-0.567323,normal,0.061516,0.680546,-1.365046,-0.472397,0.635152,-2.095381,0.061516,0.680546,0.000000,0.000000,0.635152,0.000000,1.584999,-0.140393,-1.144805,0.804288,0.143246,0.052465,normal,0.217797,1.000000
PKG51-23,-0.649891,-0.554736,0.287846,-0.944269,-1.962274,normal,-0.649891,-0.554736,-0.287846,-0.944269,1.564216,-3.436742,0.000000,0.000000,0.000000,0.000000,1.564216,0.000000,3.077060,-0.982108,-2.394951,0.978985,0.016901,0.004114,normal,0.021239,1.000000
PKG51-24,-0.422332,0.260060,0.112603,-0.656222,-0.747917,normal,-0.422332,0.260060,-0.112603,-0.656222,0.620252,-1.931097,0.000000,0.260060,0.000000,0.000000,0.620252,0.000000,1.814272,-0.380096,-1.526128,0.871952,0.097161,0.030887,normal,0.137021,1.000000
PKG51-25,-1.221166,-0.654399,0.656762,1.404387,-1.868575,normal,-1.221166,-0.654399,-0.656762,1.404387,1.607753,-2.127940,0.000000,0.000000,0.000000,1.404387,1.607753,0.000000,2.567549,-0.582560,-1.582795,0.944638,0.040475,0.014887,normal,0.056953,1.000000
PKG51-26,1.206726,-0.335596,0.670317,0.392701,1.027396,inspect,1.206726,-0.335596,-0.670317,0.392701,-0.246084,-0.406486,1.206726,0.000000,0.000000,0.392701,0.000000,0.000000,0.318884,0.641846,0.021674,0.320092,0.442115,0.237793,inspect,0.816185,1.000000
PKG51-27,1.598841,-0.871425,1.271651,0.411004,0.696700,inspect,1.598841,-0.871425,-1.271651,0.411004,0.170614,-1.133231,1.598841,0.000000,0.000000,0.411004,0.170614,0.000000,0.281031,0.797299,0.266129,0.273152,0.457737,0.269111,inspect,0.781460,1.000000
PKG51-28,-0.166837,2.682770,1.992737,-1.686311,-0.308743,normal,-0.166837,2.682770,-1.992737,-1.686311,0.157066,-2.163115,0.000000,2.682770,0.000000,0.000000,0.157066,0.000000,0.047094,1.062852,0.736270,0.173806,0.479959,0.346235,inspect,1.749813,1.000000
PKG51-29,0.139974,0.807031,1.217353,-1.310294,-0.679703,normal,0.139974,0.807031,-1.217353,-1.310294,0.646599,-2.580642,0.139974,0.807031,0.000000,0.000000,0.646599,0.000000,1.488419,-0.035800,-0.981018,0.767799,0.167220,0.064981,normal,0.264227,1.000000
PKG51-30,0.484167,0.249612,-0.840650,0.867178,1.851151,reject,0.484167,0.249612,0.840650,0.867178,-1.126605,1.441607,0.484167,0.249612,0.840650,0.867178,0.000000,1.441607,-1.424109,1.100041,2.606612,0.014330,0.178847,0.806822,reject,0.214652,1.000000
PKG51-31,-0.571767,-0.046358,-1.064203,0.501960,0.215539,inspect,-0.571767,-0.046358,1.064203,0.501960,-0.099246,-0.051962,0.000000,0.000000,1.064203,0.501960,0.000000,0.000000,0.467114,0.376269,-0.253882,0.416766,0.380574,0.202660,normal,0.966075,1.000000
PKG51-32,0.541179,-0.347716,-0.934040,0.001926,1.080151,inspect,0.541179,-0.347716,0.934040,0.001926,-0.550544,0.129429,0.541179,0.000000,0.934040,0.001926,0.000000,0.129429,0.278073,0.524787,0.036188,0.326269,0.417563,0.256169,inspect,0.873320,1.000000
