week_start,week_index,trend_level_cases,seasonal_component_cases,event_adjustment_cases,irregular_component_cases,cases_shipped,evaluation_split,forecast_origin_week,horizon_weeks,naive_forecast_cases,seasonal_naive_forecast_cases,drift_forecast_cases,seasonal_naive_lower_80,seasonal_naive_upper_80,seasonal_naive_error_cases
2023-06-12,24,546.45,26.60,0.00,-2.78,570.27,training,,,,,,,,
2023-06-19,25,547.60,17.95,0.00,-7.71,557.84,training,,,,,,,,
2023-06-26,26,548.75,9.04,0.00,-6.34,551.45,training,,,,,,,,
2023-07-03,27,549.90,-0.00,0.00,9.58,559.48,training,,,,,,,,
2023-07-10,28,551.05,-9.04,0.00,6.58,548.59,training,,,,,,,,
2023-07-17,29,552.20,-17.95,0.00,7.43,541.68,training,,,,,,,,
2023-07-24,30,553.35,-26.60,0.00,7.75,534.50,training,,,,,,,,
2023-07-31,31,554.50,-34.85,0.00,38.55,558.20,training,,,,,,,,
2023-08-07,32,555.65,-42.60,0.00,-7.32,505.73,training,,,,,,,,
2023-08-14,33,556.80,-49.73,0.00,-9.22,497.85,training,,,,,,,,
2023-08-21,34,557.95,-56.14,0.00,-14.65,487.16,training,,,,,,,,
2023-08-28,35,559.10,-61.72,0.00,11.09,508.47,training,,,,,,,,
2023-09-04,36,560.25,-66.41,42.00,20.32,556.16,training,,,,,,,,
2023-09-11,37,561.40,-70.13,55.00,-2.05,544.22,training,,,,,,,,
2023-09-18,38,562.55,-72.82,0.00,-15.12,474.61,training,,,,,,,,
2023-09-25,39,563.70,-74.45,0.00,-14.84,474.41,training,,,,,,,,
2023-10-02,40,564.85,-75.00,0.00,11.71,501.56,training,,,,,,,,
2023-10-09,41,566.00,-74.45,0.00,13.38,504.93,training,,,,,,,,
2023-10-16,42,567.15,-72.82,0.00,9.78,504.11,training,,,,,,,,
2023-10-23,43,568.30,-70.13,0.00,-11.98,486.19,training,,,,,,,,
2023-10-30,44,569.45,-66.41,0.00,4.18,507.22,training,,,,,,,,
2023-11-06,45,570.60,-61.72,0.00,2.10,510.98,training,,,,,,,,
2023-11-13,46,571.75,-56.14,0.00,3.94,519.55,training,,,,,,,,
2023-11-20,47,572.90,-49.73,0.00,15.69,538.86,training,,,,,,,,
2023-11-27,48,574.05,-42.60,0.00,4.02,535.47,training,,,,,,,,
2023-12-04,49,575.20,-34.85,0.00,12.22,552.57,training,,,,,,,,
2023-12-11,50,576.35,-26.60,0.00,1.22,550.97,training,,,,,,,,
2023-12-18,51,577.50,-17.95,0.00,5.20,564.75,training,,,,,,,,
2023-12-25,52,578.65,-9.04,0.00,11.36,580.97,training,,,,,,,,
2024-01-01,53,579.80,0.00,0.00,-26.23,553.57,training,,,,,,,,
2024-01-08,54,580.95,9.04,0.00,-5.75,584.24,training,,,,,,,,
2024-01-15,55,582.10,17.95,0.00,-8.47,591.58,training,,,,,,,,
2024-01-22,56,583.25,26.60,0.00,-11.50,598.35,training,,,,,,,,
2024-01-29,57,584.40,34.85,0.00,-4.95,614.30,training,,,,,,,,
2024-02-05,58,585.55,42.60,0.00,26.91,655.06,training,,,,,,,,
2024-02-12,59,586.70,49.73,0.00,-15.58,620.85,training,,,,,,,,
2024-02-19,60,587.85,56.14,0.00,17.43,661.42,training,,,,,,,,
2024-02-26,61,589.00,61.72,0.00,-30.29,620.43,training,,,,,,,,
2024-03-04,62,590.15,66.41,0.00,-6.03,650.53,training,,,,,,,,
2024-03-11,63,591.30,70.13,0.00,2.93,664.36,training,,,,,,,,
2024-03-18,64,592.45,72.82,0.00,10.55,675.82,training,,,,,,,,
2024-03-25,65,593.60,74.45,0.00,12.80,680.85,training,,,,,,,,
2024-04-01,66,594.75,75.00,0.00,14.28,684.03,training,,,,,,,,
2024-04-08,67,595.90,74.45,0.00,-6.28,664.07,training,,,,,,,,
2024-04-15,68,597.05,72.82,0.00,-8.32,661.55,training,,,,,,,,
2024-04-22,69,598.20,70.13,0.00,15.44,683.77,training,,,,,,,,
2024-04-29,70,599.35,66.41,0.00,-3.44,662.32,training,,,,,,,,
2024-05-06,71,600.50,61.72,0.00,-22.96,639.26,training,,,,,,,,
2024-05-13,72,601.65,56.14,0.00,-20.40,637.39,training,,,,,,,,
2024-05-20,73,602.80,49.73,0.00,-16.55,635.98,training,,,,,,,,
2024-05-27,74,603.95,42.60,0.00,8.95,655.50,training,,,,,,,,
2024-06-03,75,605.10,34.85,0.00,2.56,642.51,training,,,,,,,,
2024-06-10,76,606.25,26.60,0.00,12.43,645.28,training,,,,,,,,
2024-06-17,77,607.40,17.95,0.00,-7.69,617.66,training,,,,,,,,
2024-06-24,78,608.55,9.04,0.00,2.85,620.44,training,,,,,,,,
2024-07-01,79,609.70,0.00,0.00,11.26,620.96,training,,,,,,,,
2024-07-08,80,610.85,-9.04,0.00,-5.57,596.24,training,,,,,,,,
2024-07-15,81,612.00,-17.95,0.00,8.22,602.27,training,,,,,,,,
2024-07-22,82,613.15,-26.60,0.00,-11.91,574.64,training,,,,,,,,
2024-07-29,83,614.30,-34.85,0.00,-6.53,572.92,training,,,,,,,,
2024-08-05,84,615.45,-42.60,0.00,-6.87,565.98,training,,,,,,,,
2024-08-12,85,616.60,-49.73,0.00,-21.53,545.34,training,,,,,,,,
2024-08-19,86,617.75,-56.14,0.00,8.77,570.38,training,,,,,,,,
2024-08-26,87,618.90,-61.72,0.00,-8.45,548.73,training,,,,,,,,
2024-09-02,88,620.05,-66.41,0.00,0.22,553.86,training,,,,,,,,
2024-09-09,89,621.20,-70.13,48.00,8.65,607.72,training,,,,,,,,
2024-09-16,90,622.35,-72.82,60.00,8.04,617.57,training,,,,,,,,
2024-09-23,91,623.50,-74.45,0.00,11.98,561.03,training,,,,,,,,
2024-09-30,92,624.65,-75.00,0.00,-1.77,547.88,training,,,,,,,,
2024-10-07,93,625.80,-74.45,0.00,-7.62,543.73,training,,,,,,,,
2024-10-14,94,626.95,-72.82,0.00,-1.43,552.70,training,,,,,,,,
2024-10-21,95,628.10,-70.13,0.00,-30.37,527.60,training,,,,,,,,
2024-10-28,96,629.25,-66.41,0.00,-26.05,536.79,training,,,,,,,,
2024-11-04,97,630.40,-61.72,0.00,-23.81,544.87,training,,,,,,,,
2024-11-11,98,631.55,-56.14,0.00,-17.95,557.46,training,,,,,,,,
2024-11-18,99,632.70,-49.73,0.00,7.20,590.17,training,,,,,,,,
2024-11-25,100,633.85,-42.60,0.00,-16.30,574.95,training,,,,,,,,
2024-12-02,101,635.00,-34.85,0.00,-6.81,593.34,training,,,,,,,,
2024-12-09,102,636.15,-26.60,0.00,23.39,632.94,training,,,,,,,,
2024-12-16,103,637.30,-17.95,0.00,-6.41,612.94,training,,,,,,,,
2024-12-23,104,638.45,-9.04,0.00,13.28,642.69,training,,,,,,,,
2024-12-30,105,639.60,0.00,0.00,-16.81,622.79,training,,,,,,,,
2025-01-06,106,640.75,9.04,0.00,-3.70,646.09,training,,,,,,,,
2025-01-13,107,641.90,17.95,0.00,-17.10,642.75,training,,,,,,,,
2025-01-20,108,643.05,26.60,0.00,-6.10,663.55,training,,,,,,,,
2025-01-27,109,644.20,34.85,0.00,15.13,694.18,training,,,,,,,,
2025-02-03,110,645.35,42.60,0.00,-31.09,656.86,training,,,,,,,,
2025-02-10,111,646.50,49.73,0.00,7.82,704.05,training,,,,,,,,
2025-02-17,112,647.65,56.14,0.00,4.28,708.07,training,,,,,,,,
2025-02-24,113,648.80,61.72,-78.00,-10.69,621.83,training,,,,,,,,
2025-03-03,114,649.95,66.41,0.00,-26.03,690.33,training,,,,,,,,
2025-03-10,115,651.10,70.13,0.00,1.30,722.53,training,,,,,,,,
2025-03-17,116,652.25,72.82,0.00,-9.53,715.54,training,,,,,,,,
2025-03-24,117,653.40,74.45,0.00,4.19,732.04,training,,,,,,,,
2025-03-31,118,654.55,75.00,0.00,0.39,729.94,training,,,,,,,,
2025-04-07,119,655.70,74.45,0.00,28.83,758.98,training,,,,,,,,
2025-04-14,120,656.85,72.82,0.00,-4.31,725.36,training,,,,,,,,
2025-04-21,121,658.00,70.13,0.00,-18.42,709.71,training,,,,,,,,
2025-04-28,122,659.15,66.41,0.00,3.23,728.79,training,,,,,,,,
2025-05-05,123,660.30,61.72,0.00,3.96,725.98,training,,,,,,,,
2025-05-12,124,661.45,56.14,0.00,24.47,742.06,training,,,,,,,,
2025-05-19,125,662.60,49.73,0.00,15.03,727.36,training,,,,,,,,
2025-05-26,126,663.75,42.60,0.00,6.42,712.77,training,,,,,,,,
2025-06-02,127,664.90,34.85,0.00,26.34,726.09,training,,,,,,,,
2025-06-09,128,666.05,26.60,0.00,-21.40,671.25,training,,,,,,,,
2025-06-16,129,667.20,17.95,0.00,-11.52,673.63,training,,,,,,,,
2025-06-23,130,668.35,9.04,0.00,-16.68,660.71,training,,,,,,,,
2025-06-30,131,669.50,0.00,0.00,-7.02,662.48,holdout,130,1,660.71,620.96,661.76,588.71,653.21,41.52
2025-07-07,132,670.65,-9.04,0.00,-24.78,636.83,holdout,130,2,660.71,596.24,662.81,563.69,628.79,40.59
2025-07-14,133,671.80,-17.95,0.00,11.43,665.28,holdout,130,3,660.71,602.27,663.85,569.42,635.12,63.01
2025-07-21,134,672.95,-26.60,0.00,-4.00,642.35,holdout,130,4,660.71,574.64,664.90,541.49,607.79,67.71
2025-07-28,135,674.10,-34.85,0.00,-26.47,612.78,holdout,130,5,660.71,572.92,665.95,539.48,606.36,39.86
2025-08-04,136,675.25,-42.60,0.00,-18.28,614.37,holdout,130,6,660.71,565.98,667.00,532.25,599.71,48.39
2025-08-11,137,676.40,-49.73,0.00,5.64,632.31,holdout,130,7,660.71,545.34,668.05,511.32,579.36,86.97
2025-08-18,138,677.55,-56.14,0.00,15.09,636.50,holdout,130,8,660.71,570.38,669.10,536.07,604.69,66.12
2025-08-25,139,678.70,-61.72,0.00,35.94,652.92,holdout,130,9,660.71,548.73,670.14,514.14,583.32,104.19
2025-09-01,140,679.85,-66.41,0.00,52.45,665.89,holdout,130,10,660.71,553.86,671.19,518.98,588.74,112.03
2025-09-08,141,681.00,-70.13,52.00,7.46,670.33,holdout,130,11,660.71,607.72,672.24,572.56,642.88,62.61
2025-09-15,142,682.15,-72.82,64.00,-17.81,655.52,holdout,130,12,660.71,617.57,673.29,582.13,653.01,37.95
2025-09-22,143,683.30,-74.45,0.00,-38.38,570.47,holdout,130,13,660.71,561.03,674.34,525.32,596.74,9.44
2025-09-29,144,684.45,-75.00,0.00,4.82,614.27,holdout,130,14,660.71,547.88,675.39,511.90,583.86,66.39
2025-10-06,145,685.60,-74.45,0.00,-14.63,596.52,holdout,130,15,660.71,543.73,676.43,507.47,579.99,52.79
2025-10-13,146,686.75,-72.82,0.00,-7.48,606.45,holdout,130,16,660.71,552.70,677.48,516.17,589.23,53.75
2025-10-20,147,687.90,-70.13,0.00,-11.02,606.75,holdout,130,17,660.71,527.60,678.53,490.81,564.39,79.15
2025-10-27,148,689.05,-66.41,0.00,-2.53,620.11,holdout,130,18,660.71,536.79,679.58,499.73,573.85,83.32
2025-11-03,149,690.20,-61.72,0.00,19.19,647.67,holdout,130,19,660.71,544.87,680.63,507.55,582.19,102.80
2025-11-10,150,691.35,-56.14,0.00,2.83,638.04,holdout,130,20,660.71,557.46,681.68,519.88,595.04,80.58
2025-11-17,151,692.50,-49.73,0.00,-2.86,639.91,holdout,130,21,660.71,590.17,682.72,552.33,628.01,49.74
2025-11-24,152,693.65,-42.60,0.00,-18.64,632.41,holdout,130,22,660.71,574.95,683.77,536.85,613.05,57.46
2025-12-01,153,694.80,-34.85,0.00,-30.14,629.81,holdout,130,23,660.71,593.34,684.82,554.98,631.70,36.47
2025-12-08,154,695.95,-26.60,0.00,-8.75,660.60,holdout,130,24,660.71,632.94,685.87,594.33,671.55,27.66
2025-12-15,155,697.10,-17.95,0.00,-0.97,678.18,holdout,130,25,660.71,612.94,686.92,574.07,651.81,65.24
2025-12-22,156,698.25,-9.04,0.00,31.82,721.03,holdout,130,26,660.71,642.69,687.97,603.57,681.81,78.34
