pixel_row,pixel_column,input_intensity,vertical_edge_response,absolute_edge_response,pool_row,pool_column,pooled_max_absolute_response,kernel_values_row_major,convolution_stride,convolution_padding,convolution_output_height,convolution_output_width,pool_size,pool_stride,pooled_output_height,pooled_output_width,three_layer_receptive_field,dense_parameter_example,convolution_parameter_example
1,3,0.0,0.0000000000,0.0000000000,0,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,4,0.0,0.0000000000,0.0000000000,0,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,5,0.0,0.0000000000,0.0000000000,0,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,6,0.0,0.0000000000,0.0000000000,0,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,7,0.0,0.0000000000,0.0000000000,0,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,8,0.0,0.0000000000,0.0000000000,0,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,9,0.0,0.0000000000,0.0000000000,0,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,10,0.0,0.0000000000,0.0000000000,0,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,11,0.0,0.0000000000,0.0000000000,0,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,0,0.0,0.0000000000,0.0000000000,1,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,1,0.0,0.0000000000,0.0000000000,1,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,2,0.0,1.0000000000,1.0000000000,1,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,3,0.0,1.0000000000,1.0000000000,1,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,4,0.0,0.0000000000,0.0000000000,1,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,5,0.0,0.0000000000,0.0000000000,1,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,6,0.0,0.0000000000,0.0000000000,1,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,7,0.0,0.0000000000,0.0000000000,1,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,8,0.0,-1.0000000000,1.0000000000,1,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,9,0.0,-1.0000000000,1.0000000000,1,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,10,0.0,0.0000000000,0.0000000000,1,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
2,11,0.0,0.0000000000,0.0000000000,1,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,0,0.0,0.0000000000,0.0000000000,1,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,1,0.0,0.0000000000,0.0000000000,1,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,2,0.0,2.0000000000,2.0000000000,1,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,3,1.0,2.0000000000,2.0000000000,1,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,4,1.0,0.0000000000,0.0000000000,1,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,5,1.0,0.0000000000,0.0000000000,1,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,6,1.0,0.0000000000,0.0000000000,1,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,7,1.0,0.0000000000,0.0000000000,1,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,8,1.0,-2.0000000000,2.0000000000,1,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,9,0.0,-2.0000000000,2.0000000000,1,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,10,0.0,0.0000000000,0.0000000000,1,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
3,11,0.0,0.0000000000,0.0000000000,1,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,0,0.0,0.0000000000,0.0000000000,2,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,1,0.0,0.0000000000,0.0000000000,2,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,2,0.0,3.0000000000,3.0000000000,2,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,3,1.0,3.0000000000,3.0000000000,2,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,4,1.0,0.0000000000,0.0000000000,2,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,5,1.0,-0.8000000000,0.8000000000,2,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,6,1.0,-0.8000000000,0.8000000000,2,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,7,1.0,0.0000000000,0.0000000000,2,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,8,1.0,-2.0000000000,2.0000000000,2,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,9,0.0,-2.2000000000,2.2000000000,2,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,10,0.0,-0.2000000000,0.2000000000,2,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
4,11,0.0,0.0000000000,0.0000000000,2,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,0,0.0,0.0000000000,0.0000000000,2,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,1,0.0,0.0000000000,0.0000000000,2,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,2,0.0,3.0000000000,3.0000000000,2,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,3,1.0,3.0000000000,3.0000000000,2,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,4,1.0,0.0000000000,0.0000000000,2,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,5,1.0,-1.6000000000,1.6000000000,2,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,6,0.2,-1.6000000000,1.6000000000,2,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,7,0.2,0.0000000000,0.0000000000,2,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,8,0.2,-1.0000000000,1.0000000000,2,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,9,0.2,-1.4000000000,1.4000000000,2,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,10,0.0,-0.4000000000,0.4000000000,2,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
5,11,0.0,0.0000000000,0.0000000000,2,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,0,0.0,0.0000000000,0.0000000000,3,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,1,0.0,0.0000000000,0.0000000000,3,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,2,0.0,3.0000000000,3.0000000000,3,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,3,1.0,3.0000000000,3.0000000000,3,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,4,1.0,0.0000000000,0.0000000000,3,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,5,1.0,-1.6000000000,1.6000000000,3,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,6,0.2,-1.6000000000,1.6000000000,3,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,7,0.2,0.0000000000,0.0000000000,3,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,8,0.2,-1.0000000000,1.0000000000,3,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,9,0.2,-1.4000000000,1.4000000000,3,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,10,0.0,-0.4000000000,0.4000000000,3,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
6,11,0.0,0.0000000000,0.0000000000,3,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,0,0.0,0.0000000000,0.0000000000,3,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,1,0.0,0.0000000000,0.0000000000,3,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,2,0.0,3.0000000000,3.0000000000,3,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,3,1.0,3.0000000000,3.0000000000,3,1,3.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,4,1.0,0.0000000000,0.0000000000,3,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,5,1.0,-0.8000000000,0.8000000000,3,2,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,6,1.0,-0.8000000000,0.8000000000,3,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,7,1.0,0.0000000000,0.0000000000,3,3,1.6000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,8,1.0,-2.0000000000,2.0000000000,3,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,9,0.0,-2.2000000000,2.2000000000,3,4,2.2000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,10,0.0,-0.2000000000,0.2000000000,3,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
7,11,0.0,0.0000000000,0.0000000000,3,5,0.4000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,0,0.0,0.0000000000,0.0000000000,4,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,1,0.0,0.0000000000,0.0000000000,4,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,2,0.0,2.0000000000,2.0000000000,4,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,3,1.0,2.0000000000,2.0000000000,4,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,4,1.0,0.0000000000,0.0000000000,4,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,5,1.0,0.0000000000,0.0000000000,4,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,6,1.0,0.0000000000,0.0000000000,4,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,7,1.0,0.0000000000,0.0000000000,4,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,8,1.0,-2.0000000000,2.0000000000,4,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,9,0.0,-2.0000000000,2.0000000000,4,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,10,0.0,0.0000000000,0.0000000000,4,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
8,11,0.0,0.0000000000,0.0000000000,4,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,0,0.0,0.0000000000,0.0000000000,4,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,1,0.0,0.0000000000,0.0000000000,4,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,2,0.0,1.0000000000,1.0000000000,4,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,3,0.0,1.0000000000,1.0000000000,4,1,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,4,0.0,0.0000000000,0.0000000000,4,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,5,0.0,0.0000000000,0.0000000000,4,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,6,0.0,0.0000000000,0.0000000000,4,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,7,0.0,0.0000000000,0.0000000000,4,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,8,0.0,-1.0000000000,1.0000000000,4,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,9,0.0,-1.0000000000,1.0000000000,4,4,2.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,10,0.0,0.0000000000,0.0000000000,4,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
9,11,0.0,0.0000000000,0.0000000000,4,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,0,0.0,0.0000000000,0.0000000000,5,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,1,0.0,0.0000000000,0.0000000000,5,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,2,0.0,0.0000000000,0.0000000000,5,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,3,0.0,0.0000000000,0.0000000000,5,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,4,0.0,0.0000000000,0.0000000000,5,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,5,0.0,0.0000000000,0.0000000000,5,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,6,0.0,0.0000000000,0.0000000000,5,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,7,0.0,0.0000000000,0.0000000000,5,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,8,0.0,0.0000000000,0.0000000000,5,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,9,0.0,0.0000000000,0.0000000000,5,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,10,0.0,0.0000000000,0.0000000000,5,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
10,11,0.0,0.0000000000,0.0000000000,5,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,0,0.0,0.0000000000,0.0000000000,5,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,1,0.0,0.0000000000,0.0000000000,5,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,2,0.0,0.0000000000,0.0000000000,5,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,3,0.0,0.0000000000,0.0000000000,5,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,4,0.0,0.0000000000,0.0000000000,5,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,5,0.0,0.0000000000,0.0000000000,5,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,6,0.0,0.0000000000,0.0000000000,5,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,7,0.0,0.0000000000,0.0000000000,5,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,8,0.0,0.0000000000,0.0000000000,5,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,9,0.0,0.0000000000,0.0000000000,5,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,10,0.0,0.0000000000,0.0000000000,5,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
11,11,0.0,0.0000000000,0.0000000000,5,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
