distributor_id,designed_profile,orders_per_month,broad_mix_share,orders_scaled,mix_scaled,assigned_cluster,centroid_orders_scaled,centroid_mix_scaled,distance_to_centroid,silhouette_value
D39-029,steady_bulk,11.52,0.6174,-1.178004,0.541336,steady_bulk,-1.10,0.78,0.251088,0.839556
D39-030,steady_bulk,11.88,0.6209,-1.111834,0.560661,steady_bulk,-1.10,0.78,0.219658,0.848301
D39-031,steady_bulk,12.14,0.6260,-1.065000,0.588680,steady_bulk,-1.10,0.78,0.194495,0.856151
D39-032,steady_bulk,12.39,0.6167,-1.020633,0.537194,steady_bulk,-1.10,0.78,0.255449,0.832339
D39-033,steady_bulk,12.51,0.6242,-0.997847,0.578998,steady_bulk,-1.10,0.78,0.225471,0.845486
D39-034,steady_bulk,12.53,0.6324,-0.994647,0.624170,steady_bulk,-1.10,0.78,0.188102,0.858933
D39-035,steady_bulk,12.85,0.6279,-0.936243,0.599274,steady_bulk,-1.10,0.78,0.243881,0.839060
D39-036,steady_bulk,12.80,0.6372,-0.945851,0.651193,steady_bulk,-1.10,0.78,0.200881,0.852953
D39-037,steady_bulk,13.24,0.6367,-0.866311,0.648068,steady_bulk,-1.10,0.78,0.268359,0.825310
D39-038,steady_bulk,13.16,0.6462,-0.879741,0.701209,steady_bulk,-1.10,0.78,0.233927,0.839052
D39-039,steady_bulk,13.06,0.6543,-0.898160,0.746382,steady_bulk,-1.10,0.78,0.204621,0.849216
D39-040,steady_bulk,13.60,0.6582,-0.800817,0.767847,steady_bulk,-1.10,0.78,0.299430,0.808257
D39-041,frequent_broad_mix,24.82,0.6865,1.240000,0.925000,frequent_broad_mix,1.02,0.90,0.221416,0.872603
D39-042,frequent_broad_mix,25.31,0.6923,1.329233,0.957228,frequent_broad_mix,1.02,0.90,0.314484,0.851941
D39-043,frequent_broad_mix,25.09,0.6958,1.288933,0.976516,frequent_broad_mix,1.02,0.90,0.279606,0.860395
D39-044,frequent_broad_mix,25.42,0.7041,1.348601,1.022563,frequent_broad_mix,1.02,0.90,0.350714,0.840595
D39-045,frequent_broad_mix,25.07,0.7052,1.284666,1.028762,frequent_broad_mix,1.02,0.90,0.294326,0.854923
D39-046,frequent_broad_mix,24.69,0.7042,1.215869,1.023206,frequent_broad_mix,1.02,0.90,0.231396,0.867731
D39-047,frequent_broad_mix,24.70,0.7141,1.218319,1.078090,frequent_broad_mix,1.02,0.90,0.266545,0.856901
D39-048,frequent_broad_mix,24.27,0.7111,1.139372,1.061725,frequent_broad_mix,1.02,0.90,0.201009,0.868569
D39-049,frequent_broad_mix,23.89,0.7068,1.070810,1.037954,frequent_broad_mix,1.02,0.90,0.147014,0.875807
D39-050,frequent_broad_mix,23.70,0.7171,1.036997,1.095253,frequent_broad_mix,1.02,0.90,0.195992,0.862849
D39-051,frequent_broad_mix,23.42,0.7117,0.985000,1.065080,frequent_broad_mix,1.02,0.90,0.168750,0.867489
D39-052,frequent_broad_mix,23.25,0.7059,0.954399,1.032673,frequent_broad_mix,1.02,0.90,0.148006,0.870848
D39-053,frequent_broad_mix,22.99,0.7150,0.907649,1.083149,frequent_broad_mix,1.02,0.90,0.214863,0.852476
D39-054,frequent_broad_mix,22.95,0.7086,0.899665,1.047611,frequent_broad_mix,1.02,0.90,0.190446,0.859537
D39-055,frequent_broad_mix,22.60,0.7152,0.836846,1.084497,frequent_broad_mix,1.02,0.90,0.259970,0.833886
D39-056,frequent_broad_mix,22.63,0.7082,0.842516,1.045607,frequent_broad_mix,1.02,0.90,0.229569,0.845539
D39-057,frequent_broad_mix,22.72,0.7018,0.857505,1.010141,frequent_broad_mix,1.02,0.90,0.196305,0.856083
D39-058,frequent_broad_mix,22.24,0.7034,0.770338,1.018967,frequent_broad_mix,1.02,0.90,0.276558,0.823436
D39-059,frequent_broad_mix,22.33,0.6967,0.786775,0.981411,frequent_broad_mix,1.02,0.90,0.247025,0.835983
D39-060,frequent_broad_mix,22.44,0.6910,0.807734,0.949795,frequent_broad_mix,1.02,0.90,0.218029,0.846326
D39-061,frequent_broad_mix,21.92,0.6865,0.712000,0.925000,frequent_broad_mix,1.02,0.90,0.309013,0.803867
D39-062,frequent_broad_mix,22.09,0.6809,0.743361,0.894041,frequent_broad_mix,1.02,0.90,0.276704,0.820182
D39-063,frequent_broad_mix,22.30,0.6768,0.782452,0.871277,frequent_broad_mix,1.02,0.90,0.239278,0.836120
D39-064,frequent_broad_mix,21.96,0.6672,0.720802,0.817613,frequent_broad_mix,1.02,0.90,0.310334,0.801871
D39-065,frequent_broad_mix,22.30,0.6641,0.782032,0.800654,frequent_broad_mix,1.02,0.90,0.257873,0.827447
D39-066,frequent_broad_mix,22.19,0.6518,0.761906,0.731991,frequent_broad_mix,1.02,0.90,0.307960,0.803995
D39-067,frequent_broad_mix,22.63,0.6506,0.841078,0.725682,frequent_broad_mix,1.02,0.90,0.249800,0.831888
D39-068,frequent_broad_mix,23.04,0.6514,0.915610,0.730056,frequent_broad_mix,1.02,0.90,0.199445,0.851952
D39-069,frequent_broad_mix,23.18,0.6390,0.941996,0.661336,frequent_broad_mix,1.02,0.90,0.251088,0.833670
D39-070,frequent_broad_mix,23.54,0.6425,1.008166,0.680661,frequent_broad_mix,1.02,0.90,0.219658,0.848031
D39-071,frequent_broad_mix,23.80,0.6476,1.055000,0.708680,frequent_broad_mix,1.02,0.90,0.194495,0.859295
D39-072,frequent_broad_mix,24.05,0.6383,1.099367,0.657194,frequent_broad_mix,1.02,0.90,0.255449,0.839623
D39-073,frequent_broad_mix,24.17,0.6458,1.122153,0.698998,frequent_broad_mix,1.02,0.90,0.225471,0.853815
D39-074,frequent_broad_mix,24.19,0.6540,1.125353,0.744170,frequent_broad_mix,1.02,0.90,0.188102,0.866803
D39-075,frequent_broad_mix,24.51,0.6495,1.183757,0.719274,frequent_broad_mix,1.02,0.90,0.243881,0.852639
D39-076,frequent_broad_mix,24.46,0.6588,1.174149,0.771193,frequent_broad_mix,1.02,0.90,0.200881,0.867609
D39-077,frequent_broad_mix,24.90,0.6583,1.253689,0.768068,frequent_broad_mix,1.02,0.90,0.268359,0.851522
D39-078,frequent_broad_mix,24.82,0.6678,1.240259,0.821209,frequent_broad_mix,1.02,0.90,0.233927,0.864979
D39-079,frequent_broad_mix,24.72,0.6759,1.221840,0.866382,frequent_broad_mix,1.02,0.90,0.204621,0.874182
D39-080,frequent_broad_mix,25.26,0.6798,1.319183,0.887847,frequent_broad_mix,1.02,0.90,0.299430,0.852542
D39-081,campaign_specialist,19.48,0.3229,0.270000,-1.095000,campaign_specialist,0.05,-1.12,0.221416,0.860232
D39-082,campaign_specialist,19.98,0.3287,0.359233,-1.062772,campaign_specialist,0.05,-1.12,0.314484,0.826401
D39-083,campaign_specialist,19.75,0.3322,0.318933,-1.043484,campaign_specialist,0.05,-1.12,0.279606,0.838519
D39-084,campaign_specialist,20.08,0.3405,0.378601,-0.997437,campaign_specialist,0.05,-1.12,0.350714,0.804833
D39-085,campaign_specialist,19.73,0.3416,0.314666,-0.991238,campaign_specialist,0.05,-1.12,0.294326,0.828224
D39-086,campaign_specialist,19.35,0.3406,0.245869,-0.996794,campaign_specialist,0.05,-1.12,0.231396,0.850098
D39-087,campaign_specialist,19.37,0.3505,0.248319,-0.941910,campaign_specialist,0.05,-1.12,0.266545,0.833038
D39-088,campaign_specialist,18.93,0.3475,0.169372,-0.958275,campaign_specialist,0.05,-1.12,0.201009,0.855253
D39-089,campaign_specialist,18.55,0.3432,0.100810,-0.982046,campaign_specialist,0.05,-1.12,0.147014,0.870689
D39-090,campaign_specialist,18.37,0.3535,0.066997,-0.924747,campaign_specialist,0.05,-1.12,0.195992,0.856439
D39-091,campaign_specialist,18.08,0.3481,0.015000,-0.954920,campaign_specialist,0.05,-1.12,0.168750,0.865044
D39-092,campaign_specialist,17.91,0.3423,-0.015601,-0.987327,campaign_specialist,0.05,-1.12,0.148006,0.871311
D39-093,campaign_specialist,17.66,0.3514,-0.062351,-0.936851,campaign_specialist,0.05,-1.12,0.214863,0.850988
D39-094,campaign_specialist,17.61,0.3450,-0.070335,-0.972389,campaign_specialist,0.05,-1.12,0.190446,0.860843
D39-095,campaign_specialist,17.27,0.3516,-0.133154,-0.935503,campaign_specialist,0.05,-1.12,0.259970,0.834953
D39-096,campaign_specialist,17.30,0.3446,-0.127484,-0.974393,campaign_specialist,0.05,-1.12,0.229569,0.849323
D39-097,campaign_specialist,17.38,0.3382,-0.112495,-1.009859,campaign_specialist,0.05,-1.12,0.196305,0.861492
D39-098,campaign_specialist,16.90,0.3398,-0.199662,-1.001033,campaign_specialist,0.05,-1.12,0.276558,0.833492
D39-099,campaign_specialist,16.99,0.3331,-0.183225,-1.038589,campaign_specialist,0.05,-1.12,0.247025,0.847453
D39-100,campaign_specialist,17.11,0.3274,-0.162266,-1.070205,campaign_specialist,0.05,-1.12,0.218029,0.858338
D39-101,campaign_specialist,16.58,0.3229,-0.258000,-1.095000,campaign_specialist,0.05,-1.12,0.309013,0.826803
D39-102,campaign_specialist,16.75,0.3173,-0.226639,-1.125959,campaign_specialist,0.05,-1.12,0.276704,0.841822
D39-103,campaign_specialist,16.97,0.3132,-0.187548,-1.148723,campaign_specialist,0.05,-1.12,0.239278,0.855446
D39-104,campaign_specialist,16.63,0.3036,-0.249198,-1.202387,campaign_specialist,0.05,-1.12,0.310334,0.832932
D39-105,campaign_specialist,16.97,0.3005,-0.187968,-1.219346,campaign_specialist,0.05,-1.12,0.257873,0.852385
D39-106,campaign_specialist,16.86,0.2882,-0.208094,-1.288009,campaign_specialist,0.05,-1.12,0.307960,0.838059
D39-107,campaign_specialist,17.29,0.2870,-0.128922,-1.294318,campaign_specialist,0.05,-1.12,0.249800,0.857614
D39-108,campaign_specialist,17.70,0.2878,-0.054390,-1.289944,campaign_specialist,0.05,-1.12,0.199445,0.871421
D39-109,campaign_specialist,17.85,0.2754,-0.028004,-1.358664,campaign_specialist,0.05,-1.12,0.251088,0.861323
D39-110,campaign_specialist,18.21,0.2789,0.038166,-1.339339,campaign_specialist,0.05,-1.12,0.219658,0.871016
D39-111,campaign_specialist,18.47,0.2840,0.085000,-1.311320,campaign_specialist,0.05,-1.12,0.194495,0.877651
D39-112,campaign_specialist,18.71,0.2747,0.129367,-1.362806,campaign_specialist,0.05,-1.12,0.255449,0.863810
D39-113,campaign_specialist,18.84,0.2822,0.152153,-1.321002,campaign_specialist,0.05,-1.12,0.225471,0.870523
D39-114,campaign_specialist,18.85,0.2904,0.155353,-1.275830,campaign_specialist,0.05,-1.12,0.188102,0.877567
D39-115,campaign_specialist,19.18,0.2859,0.213757,-1.300726,campaign_specialist,0.05,-1.12,0.243881,0.864165
D39-116,campaign_specialist,19.12,0.2952,0.204149,-1.248807,campaign_specialist,0.05,-1.12,0.200881,0.873317
D39-117,campaign_specialist,19.56,0.2947,0.283689,-1.251932,campaign_specialist,0.05,-1.12,0.268359,0.853913
D39-118,campaign_specialist,19.49,0.3042,0.270259,-1.198791,campaign_specialist,0.05,-1.12,0.233927,0.862160
D39-119,campaign_specialist,19.39,0.3123,0.251840,-1.153618,campaign_specialist,0.05,-1.12,0.204621,0.867786
D39-120,campaign_specialist,19.92,0.3162,0.349183,-1.132153,campaign_specialist,0.05,-1.12,0.299430,0.836561
