sample_size,replicate_id,sample_mean_weekly_units,population_mean_weekly_units,population_sd_weekly_units,theoretical_se_units,sampling_method
1,45,860.6,1041.901,612.589,612.589,Independent sampling with replacement
1,46,917.8,1041.901,612.589,612.589,Independent sampling with replacement
1,47,718.3,1041.901,612.589,612.589,Independent sampling with replacement
1,48,613.3,1041.901,612.589,612.589,Independent sampling with replacement
1,49,2534.3,1041.901,612.589,612.589,Independent sampling with replacement
1,50,1892.2,1041.901,612.589,612.589,Independent sampling with replacement
1,51,2858.5,1041.901,612.589,612.589,Independent sampling with replacement
1,52,480.0,1041.901,612.589,612.589,Independent sampling with replacement
1,53,616.4,1041.901,612.589,612.589,Independent sampling with replacement
1,54,1871.7,1041.901,612.589,612.589,Independent sampling with replacement
1,55,973.6,1041.901,612.589,612.589,Independent sampling with replacement
1,56,1065.5,1041.901,612.589,612.589,Independent sampling with replacement
1,57,749.6,1041.901,612.589,612.589,Independent sampling with replacement
1,58,2079.7,1041.901,612.589,612.589,Independent sampling with replacement
1,59,917.9,1041.901,612.589,612.589,Independent sampling with replacement
1,60,692.1,1041.901,612.589,612.589,Independent sampling with replacement
1,61,871.6,1041.901,612.589,612.589,Independent sampling with replacement
1,62,981.3,1041.901,612.589,612.589,Independent sampling with replacement
1,63,3596.9,1041.901,612.589,612.589,Independent sampling with replacement
1,64,535.7,1041.901,612.589,612.589,Independent sampling with replacement
1,65,921.8,1041.901,612.589,612.589,Independent sampling with replacement
1,66,2421.2,1041.901,612.589,612.589,Independent sampling with replacement
1,67,1060.7,1041.901,612.589,612.589,Independent sampling with replacement
1,68,491.4,1041.901,612.589,612.589,Independent sampling with replacement
1,69,853.3,1041.901,612.589,612.589,Independent sampling with replacement
1,70,2289.0,1041.901,612.589,612.589,Independent sampling with replacement
1,71,1107.7,1041.901,612.589,612.589,Independent sampling with replacement
1,72,3387.3,1041.901,612.589,612.589,Independent sampling with replacement
1,73,1257.1,1041.901,612.589,612.589,Independent sampling with replacement
1,74,1136.2,1041.901,612.589,612.589,Independent sampling with replacement
1,75,954.5,1041.901,612.589,612.589,Independent sampling with replacement
1,76,1176.5,1041.901,612.589,612.589,Independent sampling with replacement
1,77,1104.9,1041.901,612.589,612.589,Independent sampling with replacement
1,78,888.7,1041.901,612.589,612.589,Independent sampling with replacement
1,79,337.3,1041.901,612.589,612.589,Independent sampling with replacement
1,80,2246.3,1041.901,612.589,612.589,Independent sampling with replacement
1,81,528.6,1041.901,612.589,612.589,Independent sampling with replacement
1,82,426.8,1041.901,612.589,612.589,Independent sampling with replacement
1,83,680.4,1041.901,612.589,612.589,Independent sampling with replacement
1,84,787.7,1041.901,612.589,612.589,Independent sampling with replacement
1,85,2166.6,1041.901,612.589,612.589,Independent sampling with replacement
1,86,967.0,1041.901,612.589,612.589,Independent sampling with replacement
1,87,1992.5,1041.901,612.589,612.589,Independent sampling with replacement
1,88,748.6,1041.901,612.589,612.589,Independent sampling with replacement
1,89,1003.4,1041.901,612.589,612.589,Independent sampling with replacement
1,90,1360.9,1041.901,612.589,612.589,Independent sampling with replacement
1,91,1344.7,1041.901,612.589,612.589,Independent sampling with replacement
1,92,602.2,1041.901,612.589,612.589,Independent sampling with replacement
1,93,1943.9,1041.901,612.589,612.589,Independent sampling with replacement
1,94,587.3,1041.901,612.589,612.589,Independent sampling with replacement
1,95,657.5,1041.901,612.589,612.589,Independent sampling with replacement
1,96,1628.3,1041.901,612.589,612.589,Independent sampling with replacement
1,97,1217.1,1041.901,612.589,612.589,Independent sampling with replacement
1,98,783.1,1041.901,612.589,612.589,Independent sampling with replacement
1,99,1286.3,1041.901,612.589,612.589,Independent sampling with replacement
1,100,595.6,1041.901,612.589,612.589,Independent sampling with replacement
1,101,718.7,1041.901,612.589,612.589,Independent sampling with replacement
1,102,832.3,1041.901,612.589,612.589,Independent sampling with replacement
1,103,947.9,1041.901,612.589,612.589,Independent sampling with replacement
1,104,814.8,1041.901,612.589,612.589,Independent sampling with replacement
1,105,744.3,1041.901,612.589,612.589,Independent sampling with replacement
1,106,1221.4,1041.901,612.589,612.589,Independent sampling with replacement
1,107,1400.2,1041.901,612.589,612.589,Independent sampling with replacement
1,108,822.1,1041.901,612.589,612.589,Independent sampling with replacement
1,109,1353.0,1041.901,612.589,612.589,Independent sampling with replacement
1,110,1000.4,1041.901,612.589,612.589,Independent sampling with replacement
1,111,1062.7,1041.901,612.589,612.589,Independent sampling with replacement
1,112,1013.3,1041.901,612.589,612.589,Independent sampling with replacement
1,113,743.4,1041.901,612.589,612.589,Independent sampling with replacement
1,114,368.6,1041.901,612.589,612.589,Independent sampling with replacement
1,115,595.7,1041.901,612.589,612.589,Independent sampling with replacement
1,116,1377.4,1041.901,612.589,612.589,Independent sampling with replacement
1,117,533.4,1041.901,612.589,612.589,Independent sampling with replacement
1,118,2445.8,1041.901,612.589,612.589,Independent sampling with replacement
1,119,1179.2,1041.901,612.589,612.589,Independent sampling with replacement
1,120,1344.3,1041.901,612.589,612.589,Independent sampling with replacement
1,121,596.8,1041.901,612.589,612.589,Independent sampling with replacement
1,122,675.9,1041.901,612.589,612.589,Independent sampling with replacement
1,123,1715.9,1041.901,612.589,612.589,Independent sampling with replacement
1,124,746.7,1041.901,612.589,612.589,Independent sampling with replacement
1,125,371.4,1041.901,612.589,612.589,Independent sampling with replacement
1,126,411.3,1041.901,612.589,612.589,Independent sampling with replacement
1,127,598.5,1041.901,612.589,612.589,Independent sampling with replacement
1,128,386.5,1041.901,612.589,612.589,Independent sampling with replacement
1,129,1171.3,1041.901,612.589,612.589,Independent sampling with replacement
1,130,314.4,1041.901,612.589,612.589,Independent sampling with replacement
1,131,1015.1,1041.901,612.589,612.589,Independent sampling with replacement
1,132,2062.8,1041.901,612.589,612.589,Independent sampling with replacement
1,133,1588.1,1041.901,612.589,612.589,Independent sampling with replacement
1,134,1910.4,1041.901,612.589,612.589,Independent sampling with replacement
1,135,518.0,1041.901,612.589,612.589,Independent sampling with replacement
1,136,1181.6,1041.901,612.589,612.589,Independent sampling with replacement
1,137,1724.9,1041.901,612.589,612.589,Independent sampling with replacement
1,138,1564.8,1041.901,612.589,612.589,Independent sampling with replacement
1,139,562.4,1041.901,612.589,612.589,Independent sampling with replacement
1,140,845.0,1041.901,612.589,612.589,Independent sampling with replacement
1,141,513.4,1041.901,612.589,612.589,Independent sampling with replacement
1,142,861.4,1041.901,612.589,612.589,Independent sampling with replacement
1,143,1892.4,1041.901,612.589,612.589,Independent sampling with replacement
1,144,1016.3,1041.901,612.589,612.589,Independent sampling with replacement
1,145,1406.2,1041.901,612.589,612.589,Independent sampling with replacement
1,146,301.1,1041.901,612.589,612.589,Independent sampling with replacement
1,147,585.8,1041.901,612.589,612.589,Independent sampling with replacement
1,148,1978.2,1041.901,612.589,612.589,Independent sampling with replacement
1,149,1159.2,1041.901,612.589,612.589,Independent sampling with replacement
1,150,500.7,1041.901,612.589,612.589,Independent sampling with replacement
1,151,571.3,1041.901,612.589,612.589,Independent sampling with replacement
1,152,1373.3,1041.901,612.589,612.589,Independent sampling with replacement
1,153,599.9,1041.901,612.589,612.589,Independent sampling with replacement
1,154,925.2,1041.901,612.589,612.589,Independent sampling with replacement
1,155,1073.5,1041.901,612.589,612.589,Independent sampling with replacement
1,156,1333.0,1041.901,612.589,612.589,Independent sampling with replacement
1,157,804.1,1041.901,612.589,612.589,Independent sampling with replacement
1,158,547.0,1041.901,612.589,612.589,Independent sampling with replacement
1,159,902.6,1041.901,612.589,612.589,Independent sampling with replacement
1,160,1816.5,1041.901,612.589,612.589,Independent sampling with replacement
1,161,3839.2,1041.901,612.589,612.589,Independent sampling with replacement
1,162,708.3,1041.901,612.589,612.589,Independent sampling with replacement
1,163,1689.6,1041.901,612.589,612.589,Independent sampling with replacement
1,164,1611.5,1041.901,612.589,612.589,Independent sampling with replacement
1,165,602.9,1041.901,612.589,612.589,Independent sampling with replacement
1,166,1863.1,1041.901,612.589,612.589,Independent sampling with replacement
1,167,1019.2,1041.901,612.589,612.589,Independent sampling with replacement
1,168,824.6,1041.901,612.589,612.589,Independent sampling with replacement
1,169,776.3,1041.901,612.589,612.589,Independent sampling with replacement
1,170,1947.4,1041.901,612.589,612.589,Independent sampling with replacement
1,171,1144.8,1041.901,612.589,612.589,Independent sampling with replacement
1,172,2256.0,1041.901,612.589,612.589,Independent sampling with replacement
1,173,801.3,1041.901,612.589,612.589,Independent sampling with replacement
1,174,870.3,1041.901,612.589,612.589,Independent sampling with replacement
1,175,1739.2,1041.901,612.589,612.589,Independent sampling with replacement
1,176,508.0,1041.901,612.589,612.589,Independent sampling with replacement
1,177,814.9,1041.901,612.589,612.589,Independent sampling with replacement
1,178,451.9,1041.901,612.589,612.589,Independent sampling with replacement
1,179,497.3,1041.901,612.589,612.589,Independent sampling with replacement
1,180,754.3,1041.901,612.589,612.589,Independent sampling with replacement
1,181,2041.4,1041.901,612.589,612.589,Independent sampling with replacement
1,182,667.3,1041.901,612.589,612.589,Independent sampling with replacement
1,183,496.4,1041.901,612.589,612.589,Independent sampling with replacement
1,184,1246.6,1041.901,612.589,612.589,Independent sampling with replacement
1,185,954.5,1041.901,612.589,612.589,Independent sampling with replacement
1,186,1037.4,1041.901,612.589,612.589,Independent sampling with replacement
1,187,752.1,1041.901,612.589,612.589,Independent sampling with replacement
1,188,985.2,1041.901,612.589,612.589,Independent sampling with replacement
1,189,2674.9,1041.901,612.589,612.589,Independent sampling with replacement
1,190,1053.8,1041.901,612.589,612.589,Independent sampling with replacement
1,191,1910.3,1041.901,612.589,612.589,Independent sampling with replacement
1,192,1911.0,1041.901,612.589,612.589,Independent sampling with replacement
1,193,820.5,1041.901,612.589,612.589,Independent sampling with replacement
1,194,650.2,1041.901,612.589,612.589,Independent sampling with replacement
1,195,1604.0,1041.901,612.589,612.589,Independent sampling with replacement
1,196,1770.3,1041.901,612.589,612.589,Independent sampling with replacement
1,197,612.3,1041.901,612.589,612.589,Independent sampling with replacement
1,198,1281.7,1041.901,612.589,612.589,Independent sampling with replacement
1,199,1498.0,1041.901,612.589,612.589,Independent sampling with replacement
1,200,1146.5,1041.901,612.589,612.589,Independent sampling with replacement
1,201,2356.3,1041.901,612.589,612.589,Independent sampling with replacement
1,202,1274.4,1041.901,612.589,612.589,Independent sampling with replacement
1,203,577.5,1041.901,612.589,612.589,Independent sampling with replacement
1,204,2036.7,1041.901,612.589,612.589,Independent sampling with replacement
1,205,1009.6,1041.901,612.589,612.589,Independent sampling with replacement
1,206,558.9,1041.901,612.589,612.589,Independent sampling with replacement
1,207,1696.2,1041.901,612.589,612.589,Independent sampling with replacement
1,208,1034.3,1041.901,612.589,612.589,Independent sampling with replacement
1,209,1049.3,1041.901,612.589,612.589,Independent sampling with replacement
1,210,1082.3,1041.901,612.589,612.589,Independent sampling with replacement
1,211,1905.8,1041.901,612.589,612.589,Independent sampling with replacement
1,212,874.0,1041.901,612.589,612.589,Independent sampling with replacement
1,213,439.5,1041.901,612.589,612.589,Independent sampling with replacement
1,214,1317.7,1041.901,612.589,612.589,Independent sampling with replacement
1,215,836.8,1041.901,612.589,612.589,Independent sampling with replacement
1,216,728.1,1041.901,612.589,612.589,Independent sampling with replacement
1,217,568.9,1041.901,612.589,612.589,Independent sampling with replacement
1,218,593.6,1041.901,612.589,612.589,Independent sampling with replacement
1,219,809.6,1041.901,612.589,612.589,Independent sampling with replacement
1,220,561.3,1041.901,612.589,612.589,Independent sampling with replacement
1,221,638.8,1041.901,612.589,612.589,Independent sampling with replacement
1,222,1037.4,1041.901,612.589,612.589,Independent sampling with replacement
1,223,638.0,1041.901,612.589,612.589,Independent sampling with replacement
1,224,844.3,1041.901,612.589,612.589,Independent sampling with replacement
1,225,426.2,1041.901,612.589,612.589,Independent sampling with replacement
1,226,870.9,1041.901,612.589,612.589,Independent sampling with replacement
1,227,435.3,1041.901,612.589,612.589,Independent sampling with replacement
1,228,1578.5,1041.901,612.589,612.589,Independent sampling with replacement
1,229,474.7,1041.901,612.589,612.589,Independent sampling with replacement
1,230,1160.7,1041.901,612.589,612.589,Independent sampling with replacement
1,231,1090.2,1041.901,612.589,612.589,Independent sampling with replacement
1,232,319.9,1041.901,612.589,612.589,Independent sampling with replacement
1,233,792.2,1041.901,612.589,612.589,Independent sampling with replacement
1,234,1513.8,1041.901,612.589,612.589,Independent sampling with replacement
1,235,998.9,1041.901,612.589,612.589,Independent sampling with replacement
1,236,783.1,1041.901,612.589,612.589,Independent sampling with replacement
1,237,1759.3,1041.901,612.589,612.589,Independent sampling with replacement
1,238,1796.0,1041.901,612.589,612.589,Independent sampling with replacement
1,239,915.6,1041.901,612.589,612.589,Independent sampling with replacement
1,240,1090.1,1041.901,612.589,612.589,Independent sampling with replacement
1,241,1284.0,1041.901,612.589,612.589,Independent sampling with replacement
1,242,1271.6,1041.901,612.589,612.589,Independent sampling with replacement
1,243,1493.6,1041.901,612.589,612.589,Independent sampling with replacement
1,244,1211.6,1041.901,612.589,612.589,Independent sampling with replacement
1,245,748.8,1041.901,612.589,612.589,Independent sampling with replacement
1,246,915.6,1041.901,612.589,612.589,Independent sampling with replacement
1,247,1421.9,1041.901,612.589,612.589,Independent sampling with replacement
1,248,1197.4,1041.901,612.589,612.589,Independent sampling with replacement
1,249,677.8,1041.901,612.589,612.589,Independent sampling with replacement
1,250,1197.9,1041.901,612.589,612.589,Independent sampling with replacement
1,251,1078.9,1041.901,612.589,612.589,Independent sampling with replacement
1,252,1019.2,1041.901,612.589,612.589,Independent sampling with replacement
1,253,1453.8,1041.901,612.589,612.589,Independent sampling with replacement
1,254,265.1,1041.901,612.589,612.589,Independent sampling with replacement
1,255,787.1,1041.901,612.589,612.589,Independent sampling with replacement
1,256,259.6,1041.901,612.589,612.589,Independent sampling with replacement
1,257,735.3,1041.901,612.589,612.589,Independent sampling with replacement
1,258,558.3,1041.901,612.589,612.589,Independent sampling with replacement
1,259,1921.7,1041.901,612.589,612.589,Independent sampling with replacement
1,260,1512.1,1041.901,612.589,612.589,Independent sampling with replacement
1,261,500.7,1041.901,612.589,612.589,Independent sampling with replacement
1,262,1306.9,1041.901,612.589,612.589,Independent sampling with replacement
1,263,723.9,1041.901,612.589,612.589,Independent sampling with replacement
1,264,1108.8,1041.901,612.589,612.589,Independent sampling with replacement
1,265,1160.7,1041.901,612.589,612.589,Independent sampling with replacement
1,266,706.5,1041.901,612.589,612.589,Independent sampling with replacement
1,267,602.2,1041.901,612.589,612.589,Independent sampling with replacement
1,268,720.4,1041.901,612.589,612.589,Independent sampling with replacement
1,269,1270.5,1041.901,612.589,612.589,Independent sampling with replacement
1,270,1956.3,1041.901,612.589,612.589,Independent sampling with replacement
1,271,932.4,1041.901,612.589,612.589,Independent sampling with replacement
1,272,622.0,1041.901,612.589,612.589,Independent sampling with replacement
1,273,664.8,1041.901,612.589,612.589,Independent sampling with replacement
1,274,1265.5,1041.901,612.589,612.589,Independent sampling with replacement
1,275,494.7,1041.901,612.589,612.589,Independent sampling with replacement
1,276,1185.2,1041.901,612.589,612.589,Independent sampling with replacement
1,277,880.8,1041.901,612.589,612.589,Independent sampling with replacement
1,278,1269.8,1041.901,612.589,612.589,Independent sampling with replacement
1,279,1731.5,1041.901,612.589,612.589,Independent sampling with replacement
1,280,1147.1,1041.901,612.589,612.589,Independent sampling with replacement
1,281,790.0,1041.901,612.589,612.589,Independent sampling with replacement
1,282,2509.5,1041.901,612.589,612.589,Independent sampling with replacement
1,283,1263.4,1041.901,612.589,612.589,Independent sampling with replacement
1,284,671.6,1041.901,612.589,612.589,Independent sampling with replacement
1,285,509.3,1041.901,612.589,612.589,Independent sampling with replacement
1,286,2039.6,1041.901,612.589,612.589,Independent sampling with replacement
1,287,402.3,1041.901,612.589,612.589,Independent sampling with replacement
1,288,1118.7,1041.901,612.589,612.589,Independent sampling with replacement
1,289,770.6,1041.901,612.589,612.589,Independent sampling with replacement
1,290,1060.2,1041.901,612.589,612.589,Independent sampling with replacement
1,291,1234.7,1041.901,612.589,612.589,Independent sampling with replacement
1,292,860.8,1041.901,612.589,612.589,Independent sampling with replacement
1,293,855.7,1041.901,612.589,612.589,Independent sampling with replacement
1,294,812.1,1041.901,612.589,612.589,Independent sampling with replacement
1,295,2424.7,1041.901,612.589,612.589,Independent sampling with replacement
1,296,1054.8,1041.901,612.589,612.589,Independent sampling with replacement
1,297,1241.8,1041.901,612.589,612.589,Independent sampling with replacement
1,298,685.2,1041.901,612.589,612.589,Independent sampling with replacement
1,299,468.7,1041.901,612.589,612.589,Independent sampling with replacement
1,300,784.5,1041.901,612.589,612.589,Independent sampling with replacement
1,301,1538.0,1041.901,612.589,612.589,Independent sampling with replacement
1,302,957.3,1041.901,612.589,612.589,Independent sampling with replacement
1,303,818.3,1041.901,612.589,612.589,Independent sampling with replacement
1,304,364.8,1041.901,612.589,612.589,Independent sampling with replacement
1,305,422.0,1041.901,612.589,612.589,Independent sampling with replacement
1,306,1821.7,1041.901,612.589,612.589,Independent sampling with replacement
1,307,646.4,1041.901,612.589,612.589,Independent sampling with replacement
1,308,723.9,1041.901,612.589,612.589,Independent sampling with replacement
1,309,548.4,1041.901,612.589,612.589,Independent sampling with replacement
1,310,1569.6,1041.901,612.589,612.589,Independent sampling with replacement
1,311,966.4,1041.901,612.589,612.589,Independent sampling with replacement
1,312,1413.7,1041.901,612.589,612.589,Independent sampling with replacement
1,313,1512.1,1041.901,612.589,612.589,Independent sampling with replacement
1,314,808.3,1041.901,612.589,612.589,Independent sampling with replacement
1,315,514.2,1041.901,612.589,612.589,Independent sampling with replacement
1,316,492.9,1041.901,612.589,612.589,Independent sampling with replacement
1,317,1155.1,1041.901,612.589,612.589,Independent sampling with replacement
1,318,477.6,1041.901,612.589,612.589,Independent sampling with replacement
1,319,394.9,1041.901,612.589,612.589,Independent sampling with replacement
1,320,269.8,1041.901,612.589,612.589,Independent sampling with replacement
1,321,1004.1,1041.901,612.589,612.589,Independent sampling with replacement
1,322,1198.6,1041.901,612.589,612.589,Independent sampling with replacement
1,323,640.7,1041.901,612.589,612.589,Independent sampling with replacement
1,324,1145.9,1041.901,612.589,612.589,Independent sampling with replacement
1,325,1723.2,1041.901,612.589,612.589,Independent sampling with replacement
1,326,732.9,1041.901,612.589,612.589,Independent sampling with replacement
1,327,1213.8,1041.901,612.589,612.589,Independent sampling with replacement
1,328,1595.8,1041.901,612.589,612.589,Independent sampling with replacement
1,329,743.4,1041.901,612.589,612.589,Independent sampling with replacement
1,330,1634.4,1041.901,612.589,612.589,Independent sampling with replacement
1,331,624.6,1041.901,612.589,612.589,Independent sampling with replacement
1,332,1159.2,1041.901,612.589,612.589,Independent sampling with replacement
1,333,1263.8,1041.901,612.589,612.589,Independent sampling with replacement
1,334,565.5,1041.901,612.589,612.589,Independent sampling with replacement
1,335,752.2,1041.901,612.589,612.589,Independent sampling with replacement
1,336,910.0,1041.901,612.589,612.589,Independent sampling with replacement
1,337,868.4,1041.901,612.589,612.589,Independent sampling with replacement
1,338,2952.8,1041.901,612.589,612.589,Independent sampling with replacement
1,339,625.1,1041.901,612.589,612.589,Independent sampling with replacement
1,340,763.3,1041.901,612.589,612.589,Independent sampling with replacement
1,341,520.7,1041.901,612.589,612.589,Independent sampling with replacement
1,342,800.3,1041.901,612.589,612.589,Independent sampling with replacement
1,343,1073.2,1041.901,612.589,612.589,Independent sampling with replacement
1,344,982.8,1041.901,612.589,612.589,Independent sampling with replacement
1,345,1209.2,1041.901,612.589,612.589,Independent sampling with replacement
1,346,764.3,1041.901,612.589,612.589,Independent sampling with replacement
1,347,512.0,1041.901,612.589,612.589,Independent sampling with replacement
1,348,1301.3,1041.901,612.589,612.589,Independent sampling with replacement
1,349,816.9,1041.901,612.589,612.589,Independent sampling with replacement
1,350,1192.4,1041.901,612.589,612.589,Independent sampling with replacement
1,351,3308.5,1041.901,612.589,612.589,Independent sampling with replacement
1,352,1086.1,1041.901,612.589,612.589,Independent sampling with replacement
1,353,470.6,1041.901,612.589,612.589,Independent sampling with replacement
1,354,877.6,1041.901,612.589,612.589,Independent sampling with replacement
1,355,758.4,1041.901,612.589,612.589,Independent sampling with replacement
1,356,825.6,1041.901,612.589,612.589,Independent sampling with replacement
1,357,1573.0,1041.901,612.589,612.589,Independent sampling with replacement
1,358,850.2,1041.901,612.589,612.589,Independent sampling with replacement
1,359,878.8,1041.901,612.589,612.589,Independent sampling with replacement
1,360,1329.8,1041.901,612.589,612.589,Independent sampling with replacement
1,361,3733.7,1041.901,612.589,612.589,Independent sampling with replacement
1,362,1373.6,1041.901,612.589,612.589,Independent sampling with replacement
1,363,762.2,1041.901,612.589,612.589,Independent sampling with replacement
1,364,612.2,1041.901,612.589,612.589,Independent sampling with replacement
1,365,1034.3,1041.901,612.589,612.589,Independent sampling with replacement
1,366,1862.2,1041.901,612.589,612.589,Independent sampling with replacement
1,367,1437.3,1041.901,612.589,612.589,Independent sampling with replacement
1,368,603.8,1041.901,612.589,612.589,Independent sampling with replacement
1,369,576.5,1041.901,612.589,612.589,Independent sampling with replacement
1,370,1499.5,1041.901,612.589,612.589,Independent sampling with replacement
1,371,612.3,1041.901,612.589,612.589,Independent sampling with replacement
1,372,4109.6,1041.901,612.589,612.589,Independent sampling with replacement
1,373,857.3,1041.901,612.589,612.589,Independent sampling with replacement
1,374,1202.7,1041.901,612.589,612.589,Independent sampling with replacement
1,375,1810.6,1041.901,612.589,612.589,Independent sampling with replacement
1,376,949.7,1041.901,612.589,612.589,Independent sampling with replacement
1,377,1163.9,1041.901,612.589,612.589,Independent sampling with replacement
1,378,390.3,1041.901,612.589,612.589,Independent sampling with replacement
1,379,712.6,1041.901,612.589,612.589,Independent sampling with replacement
1,380,2556.0,1041.901,612.589,612.589,Independent sampling with replacement
1,381,1353.1,1041.901,612.589,612.589,Independent sampling with replacement
1,382,1397.4,1041.901,612.589,612.589,Independent sampling with replacement
1,383,638.0,1041.901,612.589,612.589,Independent sampling with replacement
1,384,3625.4,1041.901,612.589,612.589,Independent sampling with replacement
1,385,718.4,1041.901,612.589,612.589,Independent sampling with replacement
1,386,1067.5,1041.901,612.589,612.589,Independent sampling with replacement
1,387,904.9,1041.901,612.589,612.589,Independent sampling with replacement
1,388,2960.6,1041.901,612.589,612.589,Independent sampling with replacement
1,389,219.5,1041.901,612.589,612.589,Independent sampling with replacement
1,390,1757.8,1041.901,612.589,612.589,Independent sampling with replacement
1,391,630.7,1041.901,612.589,612.589,Independent sampling with replacement
1,392,681.5,1041.901,612.589,612.589,Independent sampling with replacement
1,393,263.9,1041.901,612.589,612.589,Independent sampling with replacement
1,394,3363.7,1041.901,612.589,612.589,Independent sampling with replacement
1,395,1411.7,1041.901,612.589,612.589,Independent sampling with replacement
1,396,1042.3,1041.901,612.589,612.589,Independent sampling with replacement
1,397,408.5,1041.901,612.589,612.589,Independent sampling with replacement
1,398,1708.9,1041.901,612.589,612.589,Independent sampling with replacement
1,399,1143.3,1041.901,612.589,612.589,Independent sampling with replacement
1,400,605.0,1041.901,612.589,612.589,Independent sampling with replacement
1,401,2025.6,1041.901,612.589,612.589,Independent sampling with replacement
1,402,2766.0,1041.901,612.589,612.589,Independent sampling with replacement
1,403,580.0,1041.901,612.589,612.589,Independent sampling with replacement
1,404,1329.3,1041.901,612.589,612.589,Independent sampling with replacement
1,405,904.9,1041.901,612.589,612.589,Independent sampling with replacement
1,406,531.4,1041.901,612.589,612.589,Independent sampling with replacement
1,407,1437.4,1041.901,612.589,612.589,Independent sampling with replacement
1,408,393.6,1041.901,612.589,612.589,Independent sampling with replacement
1,409,217.4,1041.901,612.589,612.589,Independent sampling with replacement
1,410,853.4,1041.901,612.589,612.589,Independent sampling with replacement
1,411,299.4,1041.901,612.589,612.589,Independent sampling with replacement
1,412,638.0,1041.901,612.589,612.589,Independent sampling with replacement
1,413,299.0,1041.901,612.589,612.589,Independent sampling with replacement
1,414,860.7,1041.901,612.589,612.589,Independent sampling with replacement
1,415,1003.3,1041.901,612.589,612.589,Independent sampling with replacement
1,416,376.9,1041.901,612.589,612.589,Independent sampling with replacement
1,417,1050.7,1041.901,612.589,612.589,Independent sampling with replacement
1,418,517.1,1041.901,612.589,612.589,Independent sampling with replacement
1,419,1287.6,1041.901,612.589,612.589,Independent sampling with replacement
1,420,1643.3,1041.901,612.589,612.589,Independent sampling with replacement
1,421,986.7,1041.901,612.589,612.589,Independent sampling with replacement
1,422,818.4,1041.901,612.589,612.589,Independent sampling with replacement
1,423,953.6,1041.901,612.589,612.589,Independent sampling with replacement
1,424,1846.1,1041.901,612.589,612.589,Independent sampling with replacement
1,425,3255.0,1041.901,612.589,612.589,Independent sampling with replacement
1,426,777.6,1041.901,612.589,612.589,Independent sampling with replacement
1,427,2254.1,1041.901,612.589,612.589,Independent sampling with replacement
