replicate_id,sample_size,sample_mean_weekly_units,standard_error_units,margin_of_error_units,ci_lower_units,ci_upper_units,covers_population_mean,population_mean_weekly_units
79,40,1029.857,28.46,55.783,974.075,1085.64,Yes,1000.0
80,40,1030.545,28.46,55.783,974.762,1086.327,Yes,1000.0
81,40,972.101,28.46,55.783,916.318,1027.884,Yes,1000.0
82,40,1046.713,28.46,55.783,990.931,1102.496,Yes,1000.0
83,40,1006.337,28.46,55.783,950.554,1062.119,Yes,1000.0
84,40,957.893,28.46,55.783,902.11,1013.676,Yes,1000.0
85,40,982.944,28.46,55.783,927.161,1038.726,Yes,1000.0
86,40,1034.258,28.46,55.783,978.476,1090.041,Yes,1000.0
87,40,944.903,28.46,55.783,889.12,1000.685,Yes,1000.0
88,40,1022.866,28.46,55.783,967.083,1078.648,Yes,1000.0
89,40,998.084,28.46,55.783,942.302,1053.867,Yes,1000.0
90,40,1080.451,28.46,55.783,1024.669,1136.234,No,1000.0
91,40,1061.23,28.46,55.783,1005.447,1117.013,No,1000.0
92,40,983.424,28.46,55.783,927.641,1039.207,Yes,1000.0
93,40,986.206,28.46,55.783,930.424,1041.989,Yes,1000.0
94,40,974.565,28.46,55.783,918.782,1030.347,Yes,1000.0
95,40,970.388,28.46,55.783,914.605,1026.17,Yes,1000.0
96,40,1012.926,28.46,55.783,957.143,1068.708,Yes,1000.0
97,40,978.305,28.46,55.783,922.523,1034.088,Yes,1000.0
98,40,1000.895,28.46,55.783,945.113,1056.678,Yes,1000.0
99,40,992.539,28.46,55.783,936.756,1048.321,Yes,1000.0
100,40,1054.438,28.46,55.783,998.656,1110.221,Yes,1000.0
101,40,995.301,28.46,55.783,939.519,1051.084,Yes,1000.0
102,40,999.543,28.46,55.783,943.76,1055.325,Yes,1000.0
103,40,1003.753,28.46,55.783,947.971,1059.536,Yes,1000.0
104,40,1017.272,28.46,55.783,961.49,1073.055,Yes,1000.0
105,40,954.38,28.46,55.783,898.597,1010.162,Yes,1000.0
106,40,999.249,28.46,55.783,943.466,1055.032,Yes,1000.0
107,40,991.05,28.46,55.783,935.267,1046.833,Yes,1000.0
108,40,975.905,28.46,55.783,920.122,1031.688,Yes,1000.0
109,40,985.337,28.46,55.783,929.555,1041.12,Yes,1000.0
110,40,977.293,28.46,55.783,921.51,1033.075,Yes,1000.0
111,40,962.844,28.46,55.783,907.061,1018.626,Yes,1000.0
112,40,1001.071,28.46,55.783,945.288,1056.853,Yes,1000.0
113,40,1012.536,28.46,55.783,956.753,1068.318,Yes,1000.0
114,40,1058.411,28.46,55.783,1002.629,1114.194,No,1000.0
115,40,975.279,28.46,55.783,919.497,1031.062,Yes,1000.0
116,40,1017.653,28.46,55.783,961.871,1073.436,Yes,1000.0
117,40,1039.779,28.46,55.783,983.996,1095.561,Yes,1000.0
118,40,1047.839,28.46,55.783,992.056,1103.622,Yes,1000.0
119,40,1004.127,28.46,55.783,948.344,1059.91,Yes,1000.0
120,40,1036.677,28.46,55.783,980.894,1092.459,Yes,1000.0
121,40,1009.481,28.46,55.783,953.699,1065.264,Yes,1000.0
122,40,1010.67,28.46,55.783,954.888,1066.453,Yes,1000.0
123,40,976.976,28.46,55.783,921.193,1032.758,Yes,1000.0
124,40,1042.521,28.46,55.783,986.738,1098.303,Yes,1000.0
125,40,1024.861,28.46,55.783,969.078,1080.643,Yes,1000.0
126,40,1011.41,28.46,55.783,955.627,1067.193,Yes,1000.0
127,40,1045.248,28.46,55.783,989.465,1101.03,Yes,1000.0
128,40,1027.876,28.46,55.783,972.094,1083.659,Yes,1000.0
129,40,993.958,28.46,55.783,938.176,1049.741,Yes,1000.0
130,40,984.572,28.46,55.783,928.789,1040.354,Yes,1000.0
131,40,1036.457,28.46,55.783,980.675,1092.24,Yes,1000.0
132,40,976.999,28.46,55.783,921.217,1032.782,Yes,1000.0
133,40,976.427,28.46,55.783,920.645,1032.21,Yes,1000.0
134,40,970.332,28.46,55.783,914.549,1026.115,Yes,1000.0
135,40,1018.24,28.46,55.783,962.457,1074.022,Yes,1000.0
136,40,986.224,28.46,55.783,930.441,1042.006,Yes,1000.0
137,40,980.387,28.46,55.783,924.604,1036.169,Yes,1000.0
138,40,973.932,28.46,55.783,918.15,1029.715,Yes,1000.0
139,40,943.302,28.46,55.783,887.519,999.084,No,1000.0
140,40,995.67,28.46,55.783,939.888,1051.453,Yes,1000.0
141,40,1009.127,28.46,55.783,953.345,1064.91,Yes,1000.0
142,40,1002.262,28.46,55.783,946.479,1058.044,Yes,1000.0
143,40,1028.79,28.46,55.783,973.007,1084.572,Yes,1000.0
144,40,1033.35,28.46,55.783,977.568,1089.133,Yes,1000.0
145,40,1049.904,28.46,55.783,994.121,1105.686,Yes,1000.0
146,40,1030.107,28.46,55.783,974.324,1085.889,Yes,1000.0
147,40,1015.586,28.46,55.783,959.804,1071.369,Yes,1000.0
148,40,997.614,28.46,55.783,941.832,1053.397,Yes,1000.0
149,40,998.672,28.46,55.783,942.89,1054.455,Yes,1000.0
150,40,986.241,28.46,55.783,930.459,1042.024,Yes,1000.0
151,40,996.014,28.46,55.783,940.232,1051.797,Yes,1000.0
152,40,985.488,28.46,55.783,929.706,1041.271,Yes,1000.0
153,40,977.741,28.46,55.783,921.959,1033.524,Yes,1000.0
154,40,989.089,28.46,55.783,933.306,1044.871,Yes,1000.0
155,40,946.246,28.46,55.783,890.464,1002.029,Yes,1000.0
156,40,989.371,28.46,55.783,933.589,1045.154,Yes,1000.0
157,40,950.593,28.46,55.783,894.81,1006.376,Yes,1000.0
158,40,1017.653,28.46,55.783,961.871,1073.436,Yes,1000.0
159,40,1017.007,28.46,55.783,961.225,1072.79,Yes,1000.0
160,40,989.849,28.46,55.783,934.067,1045.632,Yes,1000.0
161,40,992.217,28.46,55.783,936.434,1047.999,Yes,1000.0
162,40,988.995,28.46,55.783,933.213,1044.778,Yes,1000.0
163,40,1032.59,28.46,55.783,976.808,1088.373,Yes,1000.0
164,40,1003.772,28.46,55.783,947.99,1059.555,Yes,1000.0
165,40,1002.036,28.46,55.783,946.253,1057.819,Yes,1000.0
166,40,996.4,28.46,55.783,940.617,1052.182,Yes,1000.0
167,40,1032.372,28.46,55.783,976.589,1088.154,Yes,1000.0
168,40,968.433,28.46,55.783,912.651,1024.216,Yes,1000.0
169,40,1003.478,28.46,55.783,947.695,1059.26,Yes,1000.0
170,40,985.448,28.46,55.783,929.665,1041.23,Yes,1000.0
171,40,1007.653,28.46,55.783,951.87,1063.435,Yes,1000.0
172,40,983.95,28.46,55.783,928.167,1039.732,Yes,1000.0
173,40,989.673,28.46,55.783,933.89,1045.455,Yes,1000.0
174,40,1005.617,28.46,55.783,949.834,1061.399,Yes,1000.0
175,40,949.259,28.46,55.783,893.476,1005.041,Yes,1000.0
176,40,1003.67,28.46,55.783,947.888,1059.453,Yes,1000.0
177,40,1029.525,28.46,55.783,973.743,1085.308,Yes,1000.0
178,40,988.746,28.46,55.783,932.964,1044.529,Yes,1000.0
179,40,975.081,28.46,55.783,919.298,1030.863,Yes,1000.0
180,40,1009.632,28.46,55.783,953.849,1065.414,Yes,1000.0
181,40,975.085,28.46,55.783,919.303,1030.868,Yes,1000.0
182,40,1004.173,28.46,55.783,948.39,1059.955,Yes,1000.0
183,40,973.134,28.46,55.783,917.352,1028.917,Yes,1000.0
184,40,1049.424,28.46,55.783,993.642,1105.207,Yes,1000.0
185,40,998.253,28.46,55.783,942.47,1054.036,Yes,1000.0
186,40,927.277,28.46,55.783,871.495,983.06,No,1000.0
187,40,956.07,28.46,55.783,900.287,1011.852,Yes,1000.0
188,40,1010.832,28.46,55.783,955.049,1066.614,Yes,1000.0
189,40,944.923,28.46,55.783,889.14,1000.705,Yes,1000.0
190,40,965.918,28.46,55.783,910.135,1021.7,Yes,1000.0
191,40,1035.322,28.46,55.783,979.539,1091.104,Yes,1000.0
192,40,1005.199,28.46,55.783,949.417,1060.982,Yes,1000.0
193,40,997.42,28.46,55.783,941.638,1053.203,Yes,1000.0
194,40,996.701,28.46,55.783,940.918,1052.484,Yes,1000.0
195,40,924.48,28.46,55.783,868.697,980.262,No,1000.0
196,40,998.179,28.46,55.783,942.396,1053.961,Yes,1000.0
197,40,1010.969,28.46,55.783,955.186,1066.751,Yes,1000.0
198,40,992.797,28.46,55.783,937.014,1048.579,Yes,1000.0
199,40,1005.723,28.46,55.783,949.94,1061.505,Yes,1000.0
200,40,974.824,28.46,55.783,919.042,1030.607,Yes,1000.0
