store_id,region,store_format,floor_area_m2,weekly_sales_units,in_sampling_frame,selected_sample
ID-JAV-076,Java,Neighbourhood,147,1296,yes,no
ID-JAV-077,Java,Kiosk,49,886,yes,no
ID-JAV-078,Java,Neighbourhood,145,1284,yes,no
ID-JAV-079,Java,Supermarket,233,1763,yes,yes
ID-JAV-080,Java,Supermarket,223,1649,yes,no
ID-JAV-081,Java,Supermarket,250,1878,yes,no
ID-JAV-082,Java,Neighbourhood,118,1411,yes,no
ID-JAV-083,Java,Supermarket,230,1766,no,no
ID-JAV-084,Java,Neighbourhood,125,1330,yes,no
ID-JAV-085,Java,Supermarket,239,2028,yes,no
ID-JAV-086,Java,Neighbourhood,108,1076,yes,no
ID-JAV-087,Java,Neighbourhood,139,1252,yes,no
ID-JAV-088,Java,Supermarket,208,1752,yes,yes
ID-JAV-089,Java,Supermarket,255,2088,yes,no
ID-JAV-090,Java,Neighbourhood,114,1259,yes,no
ID-JAV-091,Java,Supermarket,228,1692,yes,no
ID-JAV-092,Java,Neighbourhood,81,1168,yes,no
ID-JAV-093,Java,Supermarket,228,1678,yes,no
ID-JAV-094,Java,Supermarket,229,1698,yes,no
ID-JAV-095,Java,Supermarket,206,1709,yes,no
ID-JAV-096,Java,Neighbourhood,98,1249,yes,no
ID-JAV-097,Java,Supermarket,221,1777,yes,no
ID-JAV-098,Java,Supermarket,218,1739,yes,no
ID-JAV-099,Java,Kiosk,32,885,yes,no
ID-JAV-100,Java,Neighbourhood,115,1304,yes,no
ID-JAV-101,Java,Neighbourhood,106,1048,yes,yes
ID-JAV-102,Java,Neighbourhood,100,1238,yes,no
ID-JAV-103,Java,Neighbourhood,123,1153,yes,no
ID-JAV-104,Java,Neighbourhood,108,1241,yes,no
ID-JAV-105,Java,Neighbourhood,125,1404,yes,yes
ID-JAV-106,Java,Supermarket,212,1834,yes,no
ID-JAV-107,Java,Supermarket,233,1637,yes,no
ID-JAV-108,Java,Neighbourhood,142,1223,yes,no
ID-JAV-109,Java,Neighbourhood,108,1213,yes,no
ID-JAV-110,Java,Kiosk,38,751,yes,no
ID-JAV-111,Java,Supermarket,240,1851,yes,no
ID-JAV-112,Java,Supermarket,259,1956,yes,yes
ID-JAV-113,Java,Supermarket,224,1899,yes,no
ID-JAV-114,Java,Neighbourhood,95,1131,yes,no
ID-JAV-115,Java,Neighbourhood,83,953,yes,no
ID-JAV-116,Java,Neighbourhood,122,1295,yes,yes
ID-JAV-117,Java,Supermarket,222,1635,yes,no
ID-JAV-118,Java,Neighbourhood,81,1089,yes,yes
ID-JAV-119,Java,Neighbourhood,119,1132,yes,no
ID-JAV-120,Java,Supermarket,236,1799,yes,yes
ID-JAV-121,Java,Neighbourhood,107,1462,yes,no
ID-JAV-122,Java,Supermarket,226,1639,yes,yes
ID-JAV-123,Java,Supermarket,218,1683,yes,no
ID-JAV-124,Java,Neighbourhood,118,1247,yes,no
ID-JAV-125,Java,Kiosk,42,783,yes,no
ID-JAV-126,Java,Kiosk,54,841,yes,no
ID-JAV-127,Java,Supermarket,261,2070,yes,no
ID-JAV-128,Java,Neighbourhood,108,1029,yes,no
ID-JAV-129,Java,Neighbourhood,98,1306,yes,no
ID-JAV-130,Java,Supermarket,234,1850,yes,no
ID-JAV-131,Java,Neighbourhood,119,1257,yes,no
ID-JAV-132,Java,Neighbourhood,84,1292,yes,no
ID-JAV-133,Java,Neighbourhood,116,1152,yes,no
ID-JAV-134,Java,Neighbourhood,123,1267,yes,no
ID-JAV-135,Java,Kiosk,20,688,yes,no
ID-JAV-136,Java,Neighbourhood,116,1103,yes,yes
ID-JAV-137,Java,Neighbourhood,134,1148,yes,yes
ID-JAV-138,Java,Neighbourhood,130,1471,yes,no
ID-JAV-139,Java,Kiosk,41,1050,yes,no
ID-JAV-140,Java,Neighbourhood,142,1225,yes,no
ID-JAV-141,Java,Supermarket,218,1747,yes,no
ID-JAV-142,Java,Neighbourhood,124,1290,yes,no
ID-JAV-143,Java,Supermarket,278,1790,yes,no
ID-JAV-144,Java,Kiosk,38,895,yes,no
ID-JAV-145,Java,Neighbourhood,108,1096,yes,no
ID-JAV-146,Java,Neighbourhood,125,1302,yes,no
ID-JAV-147,Java,Kiosk,30,799,yes,no
ID-JAV-148,Java,Neighbourhood,120,1143,yes,no
ID-JAV-149,Java,Supermarket,255,1751,yes,no
ID-JAV-150,Java,Kiosk,49,799,yes,no
ID-JAV-151,Java,Neighbourhood,88,1289,yes,no
ID-JAV-152,Java,Neighbourhood,115,1182,yes,no
ID-JAV-153,Java,Supermarket,247,1856,yes,no
ID-JAV-154,Java,Neighbourhood,122,1288,yes,no
ID-JAV-155,Java,Neighbourhood,132,1245,yes,no
ID-JAV-156,Java,Neighbourhood,147,1178,yes,no
ID-JAV-157,Java,Neighbourhood,110,1110,yes,no
ID-JAV-158,Java,Neighbourhood,118,1472,yes,yes
ID-JAV-159,Java,Supermarket,252,1894,yes,no
ID-JAV-160,Java,Supermarket,200,1588,yes,no
ID-JAV-161,Java,Supermarket,191,1794,yes,no
ID-JAV-162,Java,Neighbourhood,157,1360,yes,yes
ID-JAV-163,Java,Neighbourhood,90,1159,yes,no
ID-JAV-164,Java,Supermarket,259,1732,yes,no
ID-JAV-165,Java,Neighbourhood,152,1214,yes,no
ID-JAV-166,Java,Supermarket,215,1757,yes,no
ID-JAV-167,Java,Supermarket,207,1810,yes,no
ID-JAV-168,Java,Neighbourhood,115,1330,yes,no
ID-JAV-169,Java,Kiosk,66,898,yes,no
ID-JAV-170,Java,Neighbourhood,116,1338,yes,no
ID-JAV-171,Java,Supermarket,202,1688,yes,no
ID-JAV-172,Java,Neighbourhood,98,1321,yes,yes
ID-JAV-173,Java,Neighbourhood,112,1194,yes,no
ID-JAV-174,Java,Supermarket,238,1895,yes,no
ID-JAV-175,Java,Neighbourhood,111,1284,yes,no
ID-JAV-176,Java,Supermarket,240,1678,yes,yes
ID-JAV-177,Java,Neighbourhood,106,1324,yes,no
ID-JAV-178,Java,Neighbourhood,90,1206,yes,no
ID-JAV-179,Java,Supermarket,244,2072,yes,no
ID-JAV-180,Java,Kiosk,48,949,yes,yes
ID-SUM-001,Sumatra,Neighbourhood,86,1026,yes,no
ID-SUM-002,Sumatra,Neighbourhood,127,1090,yes,no
ID-SUM-003,Sumatra,Neighbourhood,111,1370,yes,no
ID-SUM-004,Sumatra,Neighbourhood,107,1293,no,no
ID-SUM-005,Sumatra,Supermarket,240,1822,yes,no
ID-SUM-006,Sumatra,Supermarket,225,1735,yes,no
ID-SUM-007,Sumatra,Neighbourhood,110,1014,yes,no
ID-SUM-008,Sumatra,Neighbourhood,94,1081,yes,no
ID-SUM-009,Sumatra,Supermarket,234,1700,yes,no
ID-SUM-010,Sumatra,Kiosk,52,597,yes,yes
ID-SUM-011,Sumatra,Neighbourhood,121,1247,yes,no
ID-SUM-012,Sumatra,Supermarket,241,1889,yes,no
ID-SUM-013,Sumatra,Neighbourhood,147,994,yes,no
ID-SUM-014,Sumatra,Neighbourhood,94,913,yes,no
ID-SUM-015,Sumatra,Neighbourhood,97,985,yes,no
ID-SUM-016,Sumatra,Kiosk,50,743,yes,no
ID-SUM-017,Sumatra,Neighbourhood,112,1166,yes,no
ID-SUM-018,Sumatra,Supermarket,211,1523,yes,no
ID-SUM-019,Sumatra,Supermarket,223,1919,yes,no
ID-SUM-020,Sumatra,Neighbourhood,111,1185,yes,no
ID-SUM-021,Sumatra,Supermarket,250,1956,yes,no
ID-SUM-022,Sumatra,Supermarket,245,1695,yes,no
ID-SUM-023,Sumatra,Supermarket,246,1671,yes,no
ID-SUM-024,Sumatra,Neighbourhood,72,953,yes,no
ID-SUM-025,Sumatra,Neighbourhood,150,1311,yes,no
ID-SUM-026,Sumatra,Kiosk,20,687,yes,no
ID-SUM-027,Sumatra,Neighbourhood,117,961,yes,no
ID-SUM-028,Sumatra,Neighbourhood,85,1248,yes,no
ID-SUM-029,Sumatra,Neighbourhood,102,1007,yes,no
ID-SUM-030,Sumatra,Supermarket,281,1783,yes,no
ID-SUM-031,Sumatra,Supermarket,222,1700,yes,no
ID-SUM-032,Sumatra,Neighbourhood,123,1117,yes,no
ID-SUM-033,Sumatra,Kiosk,47,722,yes,no
ID-SUM-034,Sumatra,Neighbourhood,118,1188,yes,no
ID-SUM-035,Sumatra,Kiosk,39,713,yes,no
ID-SUM-036,Sumatra,Kiosk,77,804,yes,yes
ID-SUM-037,Sumatra,Kiosk,27,727,yes,no
ID-SUM-038,Sumatra,Neighbourhood,100,1073,yes,no
ID-SUM-039,Sumatra,Kiosk,21,790,yes,no
ID-SUM-040,Sumatra,Supermarket,255,1671,yes,no
ID-SUM-041,Sumatra,Supermarket,203,1540,yes,no
ID-SUM-042,Sumatra,Neighbourhood,147,1265,yes,no
ID-SUM-043,Sumatra,Supermarket,224,1588,yes,no
ID-SUM-044,Sumatra,Kiosk,59,668,yes,no
ID-SUM-045,Sumatra,Neighbourhood,120,1121,yes,no
ID-SUM-046,Sumatra,Neighbourhood,110,1120,yes,no
ID-SUM-047,Sumatra,Supermarket,247,1866,yes,no
ID-SUM-048,Sumatra,Neighbourhood,105,1170,yes,no
ID-SUM-049,Sumatra,Supermarket,224,1773,yes,no
ID-SUM-050,Sumatra,Neighbourhood,131,1135,yes,no
ID-SUM-051,Sumatra,Kiosk,37,667,yes,no
ID-SUM-052,Sumatra,Kiosk,36,836,yes,no
ID-SUM-053,Sumatra,Neighbourhood,107,1097,yes,no
ID-SUM-054,Sumatra,Neighbourhood,97,1299,yes,no
ID-SUM-055,Sumatra,Neighbourhood,129,1206,yes,no
ID-SUM-056,Sumatra,Kiosk,35,644,yes,no
ID-SUM-057,Sumatra,Kiosk,44,678,yes,no
ID-SUM-058,Sumatra,Supermarket,240,1722,yes,no
ID-SUM-059,Sumatra,Neighbourhood,127,1299,yes,no
ID-SUM-060,Sumatra,Neighbourhood,118,1203,yes,no
ID-SUM-061,Sumatra,Neighbourhood,147,1126,yes,no
ID-SUM-062,Sumatra,Neighbourhood,124,1363,yes,no
ID-SUM-063,Sumatra,Supermarket,205,1639,yes,no
ID-SUM-064,Sumatra,Kiosk,33,847,yes,no
ID-SUM-065,Sumatra,Kiosk,20,549,yes,no
ID-SUM-066,Sumatra,Neighbourhood,119,1120,yes,no
ID-SUM-067,Sumatra,Supermarket,244,1730,yes,yes
ID-SUM-068,Sumatra,Neighbourhood,118,1087,no,no
ID-SUM-069,Sumatra,Neighbourhood,116,1228,yes,no
ID-SUM-070,Sumatra,Supermarket,239,1594,yes,no
ID-SUM-071,Sumatra,Kiosk,29,541,yes,no
ID-SUM-072,Sumatra,Neighbourhood,120,1041,yes,no
ID-SUM-073,Sumatra,Neighbourhood,128,953,yes,no
ID-SUM-074,Sumatra,Neighbourhood,108,935,yes,no
ID-SUM-075,Sumatra,Neighbourhood,130,1088,yes,no
ID-SUM-076,Sumatra,Neighbourhood,96,1034,yes,no
ID-SUM-077,Sumatra,Supermarket,230,1585,yes,no
ID-SUM-078,Sumatra,Supermarket,232,1615,yes,no
ID-SUM-079,Sumatra,Supermarket,253,1724,yes,yes
ID-SUM-080,Sumatra,Kiosk,55,689,yes,no
ID-SUM-081,Sumatra,Neighbourhood,136,1154,yes,no
ID-SUM-082,Sumatra,Neighbourhood,136,1147,yes,no
ID-SUM-083,Sumatra,Neighbourhood,146,1233,yes,no
ID-SUM-084,Sumatra,Kiosk,57,691,yes,no
ID-SUM-085,Sumatra,Neighbourhood,141,1137,yes,no
ID-SUM-086,Sumatra,Neighbourhood,92,1145,yes,yes
ID-SUM-087,Sumatra,Supermarket,232,1683,yes,no
ID-SUM-088,Sumatra,Kiosk,42,513,yes,no
ID-SUM-089,Sumatra,Kiosk,39,822,yes,no
ID-SUM-090,Sumatra,Kiosk,21,614,yes,no
ID-KAL-001,Kalimantan,Kiosk,59,770,yes,no
ID-KAL-002,Kalimantan,Supermarket,243,1801,yes,no
ID-KAL-003,Kalimantan,Supermarket,234,1505,yes,no
ID-KAL-004,Kalimantan,Neighbourhood,136,1290,no,no
ID-KAL-005,Kalimantan,Neighbourhood,93,997,yes,no
ID-KAL-006,Kalimantan,Supermarket,228,1858,yes,yes
ID-KAL-007,Kalimantan,Supermarket,191,1647,yes,no
ID-KAL-008,Kalimantan,Kiosk,42,780,yes,no
ID-KAL-009,Kalimantan,Neighbourhood,133,1103,yes,no
ID-KAL-010,Kalimantan,Supermarket,244,1579,yes,yes
ID-KAL-011,Kalimantan,Neighbourhood,142,957,yes,yes
ID-KAL-012,Kalimantan,Neighbourhood,162,1194,yes,no
ID-KAL-013,Kalimantan,Supermarket,256,1632,yes,yes
ID-KAL-014,Kalimantan,Neighbourhood,121,1120,yes,no
ID-KAL-015,Kalimantan,Neighbourhood,125,1049,yes,yes
ID-KAL-016,Kalimantan,Supermarket,246,1679,yes,no
ID-KAL-017,Kalimantan,Kiosk,43,553,yes,no
ID-KAL-018,Kalimantan,Supermarket,265,1717,yes,no
ID-KAL-019,Kalimantan,Kiosk,20,654,yes,yes
ID-KAL-020,Kalimantan,Neighbourhood,120,1170,yes,no
ID-KAL-021,Kalimantan,Supermarket,202,1566,no,no
ID-KAL-022,Kalimantan,Supermarket,227,1619,yes,no
ID-KAL-023,Kalimantan,Neighbourhood,97,684,no,no
ID-KAL-024,Kalimantan,Neighbourhood,121,1271,no,no
ID-KAL-025,Kalimantan,Neighbourhood,95,1018,yes,no
ID-KAL-026,Kalimantan,Neighbourhood,122,1238,yes,no
ID-KAL-027,Kalimantan,Neighbourhood,109,1092,yes,no
ID-KAL-028,Kalimantan,Supermarket,224,1966,yes,no
ID-KAL-029,Kalimantan,Neighbourhood,132,940,yes,yes
ID-KAL-030,Kalimantan,Neighbourhood,98,1170,yes,no
ID-KAL-031,Kalimantan,Neighbourhood,106,1272,yes,no
ID-KAL-032,Kalimantan,Neighbourhood,129,931,yes,no
ID-KAL-033,Kalimantan,Supermarket,247,1712,yes,no
ID-KAL-034,Kalimantan,Neighbourhood,131,1103,yes,yes
ID-KAL-035,Kalimantan,Neighbourhood,118,982,yes,no
ID-KAL-036,Kalimantan,Neighbourhood,149,1029,yes,no
ID-KAL-037,Kalimantan,Supermarket,223,1635,no,no
ID-KAL-038,Kalimantan,Supermarket,234,1712,yes,no
ID-KAL-039,Kalimantan,Neighbourhood,148,1179,yes,no
ID-KAL-040,Kalimantan,Kiosk,37,719,yes,no
ID-KAL-041,Kalimantan,Supermarket,215,1659,yes,no
ID-KAL-042,Kalimantan,Supermarket,230,1718,yes,no
ID-KAL-043,Kalimantan,Supermarket,237,1591,yes,no
ID-KAL-044,Kalimantan,Neighbourhood,114,1106,yes,no
ID-KAL-045,Kalimantan,Supermarket,232,1607,yes,no
ID-KAL-046,Kalimantan,Supermarket,225,1798,yes,no
ID-KAL-047,Kalimantan,Kiosk,55,804,yes,no
ID-KAL-048,Kalimantan,Neighbourhood,110,995,yes,no
ID-KAL-049,Kalimantan,Neighbourhood,60,1182,yes,no
ID-KAL-050,Kalimantan,Neighbourhood,118,1059,yes,no
ID-SUL-001,Sulawesi,Neighbourhood,101,1132,yes,no
ID-SUL-002,Sulawesi,Supermarket,218,1701,yes,no
ID-SUL-003,Sulawesi,Neighbourhood,118,976,yes,no
ID-SUL-004,Sulawesi,Neighbourhood,113,1113,yes,no
ID-SUL-005,Sulawesi,Supermarket,221,1630,yes,no
ID-SUL-006,Sulawesi,Neighbourhood,100,994,yes,yes
ID-SUL-007,Sulawesi,Supermarket,214,1793,yes,no
ID-SUL-008,Sulawesi,Neighbourhood,103,984,yes,no
ID-SUL-009,Sulawesi,Neighbourhood,135,1021,yes,yes
ID-SUL-010,Sulawesi,Kiosk,61,631,yes,no
ID-SUL-011,Sulawesi,Supermarket,202,1540,yes,no
ID-SUL-012,Sulawesi,Kiosk,20,688,yes,no
ID-SUL-013,Sulawesi,Neighbourhood,100,1176,yes,no
ID-SUL-014,Sulawesi,Neighbourhood,105,1168,yes,yes
ID-SUL-015,Sulawesi,Kiosk,39,786,yes,no
ID-SUL-016,Sulawesi,Neighbourhood,147,1110,yes,no
ID-SUL-017,Sulawesi,Neighbourhood,131,961,yes,no
ID-SUL-018,Sulawesi,Supermarket,227,1632,yes,no
ID-SUL-019,Sulawesi,Kiosk,58,698,yes,no
ID-SUL-020,Sulawesi,Neighbourhood,137,1053,yes,no
ID-SUL-021,Sulawesi,Supermarket,254,1696,yes,no
ID-SUL-022,Sulawesi,Kiosk,40,551,yes,yes
ID-SUL-023,Sulawesi,Neighbourhood,106,965,yes,no
ID-SUL-024,Sulawesi,Neighbourhood,135,1338,yes,no
ID-SUL-025,Sulawesi,Neighbourhood,122,1117,yes,no
ID-SUL-026,Sulawesi,Kiosk,20,680,yes,no
ID-SUL-027,Sulawesi,Supermarket,212,1610,yes,no
ID-SUL-028,Sulawesi,Supermarket,218,1813,yes,no
ID-SUL-029,Sulawesi,Neighbourhood,115,1230,no,no
ID-SUL-030,Sulawesi,Kiosk,39,599,yes,no
ID-SUL-031,Sulawesi,Neighbourhood,114,1111,yes,no
ID-SUL-032,Sulawesi,Supermarket,231,1829,yes,no
ID-SUL-033,Sulawesi,Supermarket,234,1509,yes,no
ID-SUL-034,Sulawesi,Neighbourhood,128,930,yes,no
ID-SUL-035,Sulawesi,Kiosk,54,719,yes,no
ID-SUL-036,Sulawesi,Neighbourhood,104,1119,yes,no
ID-SUL-037,Sulawesi,Supermarket,246,1840,yes,yes
ID-SUL-038,Sulawesi,Supermarket,250,1730,yes,yes
ID-SUL-039,Sulawesi,Neighbourhood,117,1051,yes,yes
ID-SUL-040,Sulawesi,Supermarket,224,1443,no,no
ID-SUL-041,Sulawesi,Supermarket,208,1574,yes,no
ID-SUL-042,Sulawesi,Neighbourhood,99,967,yes,yes
ID-SUL-043,Sulawesi,Supermarket,226,1679,yes,yes
ID-SUL-044,Sulawesi,Kiosk,55,877,no,no
ID-SUL-045,Sulawesi,Supermarket,223,1531,yes,no
ID-SUL-046,Sulawesi,Supermarket,244,1661,yes,yes
ID-SUL-047,Sulawesi,Kiosk,20,567,yes,no
ID-SUL-048,Sulawesi,Neighbourhood,108,997,yes,yes
ID-SUL-049,Sulawesi,Supermarket,221,1760,yes,no
ID-SUL-050,Sulawesi,Supermarket,250,1594,yes,no
ID-EAS-001,Eastern Indonesia,Kiosk,38,452,yes,no
ID-EAS-002,Eastern Indonesia,Supermarket,246,1709,yes,no
ID-EAS-003,Eastern Indonesia,Supermarket,237,1526,yes,no
ID-EAS-004,Eastern Indonesia,Neighbourhood,146,1134,yes,no
ID-EAS-005,Eastern Indonesia,Supermarket,259,1718,yes,no
ID-EAS-006,Eastern Indonesia,Neighbourhood,109,1168,yes,no
ID-EAS-007,Eastern Indonesia,Neighbourhood,110,755,yes,no
ID-EAS-008,Eastern Indonesia,Supermarket,254,1603,yes,no
ID-EAS-009,Eastern Indonesia,Supermarket,233,1710,yes,yes
ID-EAS-010,Eastern Indonesia,Neighbourhood,110,910,yes,no
ID-EAS-011,Eastern Indonesia,Neighbourhood,134,1161,yes,no
ID-EAS-012,Eastern Indonesia,Supermarket,255,1545,yes,no
ID-EAS-013,Eastern Indonesia,Neighbourhood,133,1134,no,no
ID-EAS-014,Eastern Indonesia,Neighbourhood,136,1032,no,no
ID-EAS-015,Eastern Indonesia,Neighbourhood,91,962,yes,no
ID-EAS-016,Eastern Indonesia,Neighbourhood,124,1003,yes,no
ID-EAS-017,Eastern Indonesia,Neighbourhood,122,1135,yes,no
ID-EAS-018,Eastern Indonesia,Neighbourhood,151,1131,yes,yes
ID-EAS-019,Eastern Indonesia,Neighbourhood,115,1072,yes,no
ID-EAS-020,Eastern Indonesia,Neighbourhood,126,1190,yes,no
ID-EAS-021,Eastern Indonesia,Kiosk,64,478,yes,no
ID-EAS-022,Eastern Indonesia,Neighbourhood,95,849,yes,no
ID-EAS-023,Eastern Indonesia,Supermarket,232,1474,yes,no
ID-EAS-024,Eastern Indonesia,Neighbourhood,77,972,yes,no
ID-EAS-025,Eastern Indonesia,Neighbourhood,109,830,no,no
ID-EAS-026,Eastern Indonesia,Supermarket,241,1781,yes,no
ID-EAS-027,Eastern Indonesia,Kiosk,28,609,yes,no
ID-EAS-028,Eastern Indonesia,Neighbourhood,118,1075,yes,no
ID-EAS-029,Eastern Indonesia,Neighbourhood,118,1051,yes,no
ID-EAS-030,Eastern Indonesia,Neighbourhood,117,1089,yes,no
