distributor_id,territory,prior_90d_sales_kidr,tenure_years,coached,assignment_propensity,estimated_propensity,ipw_ate,potential_sales_no_coaching_kidr,potential_sales_coaching_kidr,observed_next_90d_sales_kidr,simulated_individual_effect_kidr,overlap_supported
D46-018,East Indonesia,73.770,5.973,1,0.367511,0.421929,2.370065,89.087,97.087,97.087,8.000,1
D46-019,West Indonesia,96.162,6.111,1,0.566025,0.566731,1.764506,99.884,107.884,107.884,8.000,1
D46-020,Central Indonesia,117.467,3.778,1,0.643683,0.588025,1.700608,142.877,150.877,150.877,8.000,1
D46-021,East Indonesia,104.246,6.330,1,0.642908,0.625100,1.599744,138.917,146.917,146.917,8.000,1
D46-022,West Indonesia,72.457,5.060,0,0.320123,0.372656,1.594022,81.608,89.608,81.608,8.000,1
D46-023,Central Indonesia,100.249,6.869,0,0.633006,0.625769,2.672148,100.826,108.826,100.826,8.000,1
D46-024,East Indonesia,111.994,3.767,0,0.598171,0.554169,2.243005,113.279,121.279,113.279,8.000,1
D46-025,West Indonesia,118.439,1.944,1,0.573289,0.507964,1.968645,124.312,132.312,132.312,8.000,1
D46-026,Central Indonesia,55.991,6.173,0,0.244313,0.327549,1.487096,87.033,95.033,87.033,8.000,1
D46-027,East Indonesia,90.919,5.696,0,0.501861,0.514817,2.061078,108.087,116.087,108.087,8.000,1
D46-028,West Indonesia,111.133,5.387,0,0.659106,0.623310,2.654702,136.125,144.125,136.125,8.000,1
D46-029,Central Indonesia,142.501,3.130,1,0.794282,0.701768,1.424973,135.004,143.004,143.004,8.000,1
D46-030,East Indonesia,125.847,7.101,1,0.814999,0.767654,1.302670,150.473,158.473,158.473,8.000,1
D46-031,West Indonesia,75.777,4.256,1,0.313948,0.356441,2.805511,88.394,96.394,96.394,8.000,1
D46-032,Central Indonesia,121.301,2.375,1,0.616102,0.546090,1.831198,130.483,138.483,138.483,8.000,1
D46-033,East Indonesia,90.395,1.611,0,0.321651,0.325374,1.482303,113.246,121.246,113.246,8.000,1
D46-034,West Indonesia,97.262,4.453,0,0.501427,0.495293,1.981346,109.977,117.977,109.977,8.000,1
D46-035,Central Indonesia,92.700,6.813,0,0.567299,0.578260,2.371129,138.273,146.273,138.273,8.000,1
D46-036,East Indonesia,106.795,4.430,0,0.583030,0.553301,2.238643,116.784,124.784,116.784,8.000,1
D46-037,West Indonesia,137.280,7.120,1,0.868345,0.815057,1.226908,148.751,156.751,156.751,8.000,1
D46-038,Central Indonesia,78.438,3.307,1,0.297463,0.330755,3.023384,100.452,108.452,108.452,8.000,1
D46-039,East Indonesia,118.899,5.922,1,0.736416,0.689636,1.450039,125.164,133.164,133.164,8.000,1
D46-040,West Indonesia,101.695,4.125,1,0.525434,0.507303,1.971207,110.037,118.037,118.037,8.000,1
D46-041,Central Indonesia,117.905,4.477,0,0.675361,0.622316,2.647718,117.420,125.420,117.420,8.000,1
D46-042,East Indonesia,118.709,1.453,1,0.553879,0.486346,2.056148,144.510,152.510,152.510,8.000,1
D46-043,West Indonesia,97.634,4.292,1,0.497438,0.489967,2.040952,107.740,115.740,115.740,8.000,1
D46-044,Central Indonesia,114.832,6.818,0,0.740075,0.704184,3.380478,120.968,128.968,120.968,8.000,1
D46-045,East Indonesia,127.023,3.265,0,0.697096,0.621569,2.642487,135.647,143.647,135.647,8.000,1
D46-046,West Indonesia,75.432,4.559,0,0.323166,0.367743,1.581635,99.958,107.958,99.958,8.000,1
D46-047,Central Indonesia,128.638,1.387,0,0.634597,0.544857,2.197110,137.060,145.060,137.060,8.000,1
D46-048,East Indonesia,107.430,7.283,1,0.704952,0.683820,1.462373,143.170,151.170,151.170,8.000,1
D46-049,West Indonesia,133.878,2.621,1,0.722623,0.632868,1.580108,138.838,146.838,146.838,8.000,1
D46-050,Central Indonesia,54.566,2.507,1,0.137178,0.189902,5.265863,67.635,75.635,75.635,8.000,1
D46-051,East Indonesia,99.213,5.246,1,0.553973,0.544940,1.835064,118.715,126.715,126.715,8.000,1
D46-052,West Indonesia,89.360,5.451,0,0.477211,0.493497,1.974321,103.850,111.850,103.850,8.000,1
D46-053,Central Indonesia,85.457,1.830,0,0.293260,0.307787,1.444643,89.637,97.637,89.637,8.000,1
D46-054,East Indonesia,57.556,4.117,0,0.190853,0.255284,1.342793,67.372,75.372,67.372,8.000,1
D46-055,West Indonesia,94.507,6.974,1,0.589782,0.596562,1.676272,120.516,128.516,128.516,8.000,1
D46-056,Central Indonesia,93.969,3.335,0,0.422923,0.422384,1.731255,121.402,129.402,121.402,8.000,1
D46-057,East Indonesia,74.959,6.972,0,0.420316,0.476109,1.908793,111.784,119.784,111.784,8.000,1
D46-058,West Indonesia,79.791,6.096,0,0.423106,0.464637,1.867893,110.135,118.135,110.135,8.000,1
D46-059,Central Indonesia,116.965,2.309,0,0.576738,0.516110,2.066587,121.766,129.766,121.766,8.000,1
D46-060,East Indonesia,96.400,3.331,0,0.443636,0.437021,1.776265,99.182,107.182,99.182,8.000,1
D46-061,West Indonesia,122.495,6.397,1,0.775352,0.726724,1.376037,126.206,134.206,134.206,8.000,1
D46-062,Central Indonesia,147.243,5.228,1,0.869273,0.797699,1.253606,163.852,171.852,171.852,8.000,1
D46-063,East Indonesia,100.122,2.103,0,0.421361,0.402815,1.674523,116.615,124.615,116.615,8.000,1
D46-064,West Indonesia,99.272,5.212,0,0.552970,0.543703,2.191557,104.953,112.953,104.953,8.000,1
D46-065,Central Indonesia,64.854,2.262,0,0.179028,0.224236,1.289051,108.867,116.867,108.867,8.000,1
D46-066,East Indonesia,55.216,5.402,0,0.214994,0.292157,1.412742,85.542,93.542,85.542,8.000,1
D46-067,West Indonesia,93.932,1.121,0,0.329466,0.324277,1.479897,115.694,123.694,115.694,8.000,1
D46-068,Central Indonesia,83.599,6.463,0,0.472354,0.505683,2.022994,88.916,96.916,88.916,8.000,1
D46-069,East Indonesia,113.653,1.311,0,0.503459,0.448337,1.812700,107.041,115.041,107.041,8.000,1
D46-070,West Indonesia,121.371,6.066,1,0.757655,0.708326,1.411780,140.813,148.813,148.813,8.000,1
D46-071,Central Indonesia,94.367,2.059,1,0.371325,0.366954,2.725134,96.894,104.894,104.894,8.000,1
D46-072,East Indonesia,107.142,4.793,1,0.601738,0.572377,1.747100,107.693,115.693,115.693,8.000,1
D46-073,West Indonesia,80.099,2.877,1,0.293452,0.321898,3.106577,81.331,89.331,89.331,8.000,1
D46-074,Central Indonesia,106.719,3.993,1,0.563137,0.532248,1.878823,108.710,116.710,116.710,8.000,1
D46-075,East Indonesia,62.303,6.485,0,0.298994,0.376835,1.604711,96.294,104.294,96.294,8.000,1
D46-076,West Indonesia,106.895,4.223,0,0.574801,0.544187,2.193883,123.816,131.816,123.816,8.000,1
D46-077,Central Indonesia,121.771,3.208,0,0.654623,0.587758,2.425759,129.922,137.922,129.922,8.000,1
D46-078,East Indonesia,51.291,5.465,0,0.194487,0.274753,1.378840,74.275,82.275,74.275,8.000,1
D46-079,West Indonesia,77.808,6.320,1,0.416023,0.462940,2.160105,85.794,93.794,93.794,8.000,1
D46-080,Central Indonesia,111.268,1.797,1,0.504460,0.456489,2.190633,129.455,137.455,137.455,8.000,1
D46-081,East Indonesia,106.646,6.811,1,0.681048,0.659772,1.515675,117.069,125.069,125.069,8.000,1
D46-082,West Indonesia,105.708,6.777,0,0.672528,0.653052,2.882279,123.088,131.088,123.088,8.000,1
D46-083,Central Indonesia,74.446,1.100,1,0.198390,0.227401,4.397519,95.683,103.683,103.683,8.000,1
D46-084,East Indonesia,130.732,4.187,1,0.755706,0.682118,1.466023,118.882,126.882,126.882,8.000,1
D46-085,West Indonesia,106.791,7.945,1,0.724678,0.707060,1.414308,113.464,121.464,121.464,8.000,1
D46-086,Central Indonesia,103.189,5.993,0,0.620190,0.603718,2.523455,122.134,130.134,122.134,8.000,1
D46-087,East Indonesia,116.915,3.007,1,0.606658,0.548774,1.822245,114.211,122.211,122.211,8.000,1
D46-088,West Indonesia,113.409,7.099,1,0.740224,0.707905,1.412618,120.949,128.949,128.949,8.000,1
D46-089,Central Indonesia,112.798,7.409,1,0.746787,0.716847,1.394998,126.586,134.586,134.586,8.000,1
D46-090,East Indonesia,96.989,1.335,0,0.362372,0.350352,1.539295,97.834,105.834,97.834,8.000,1
D46-091,West Indonesia,92.813,7.699,0,0.606894,0.619312,2.626824,114.741,122.741,114.741,8.000,1
D46-092,Central Indonesia,58.997,7.385,0,0.308785,0.397851,1.660718,96.209,104.209,96.209,8.000,1
D46-093,East Indonesia,117.888,3.905,1,0.652258,0.596376,1.676793,130.809,138.809,138.809,8.000,1
D46-094,West Indonesia,135.415,3.960,1,0.777702,0.697824,1.433025,131.690,139.690,139.690,8.000,1
D46-095,Central Indonesia,69.462,3.936,0,0.257243,0.308162,1.445426,87.011,95.011,87.011,8.000,1
D46-096,East Indonesia,107.866,1.996,1,0.483653,0.444884,2.247777,106.157,114.157,114.157,8.000,1
D46-097,West Indonesia,96.439,2.185,0,0.393808,0.384657,1.625109,108.152,116.152,108.152,8.000,1
D46-098,Central Indonesia,80.938,3.855,0,0.337765,0.368527,1.583600,93.731,101.731,93.731,8.000,1
D46-099,East Indonesia,87.316,3.899,0,0.391236,0.408183,1.689711,102.833,110.833,102.833,8.000,1
D46-100,West Indonesia,60.213,5.060,0,0.234739,0.304595,1.438012,104.264,112.264,104.264,8.000,1
D46-101,Central Indonesia,114.988,6.386,1,0.725928,0.687655,1.454217,121.175,129.175,129.175,8.000,1
D46-102,East Indonesia,94.821,7.185,1,0.601576,0.608027,1.644664,101.453,109.453,109.453,8.000,1
D46-103,West Indonesia,109.665,5.336,1,0.645371,0.612400,1.632920,123.701,131.701,131.701,8.000,1
D46-104,Central Indonesia,128.405,6.167,0,0.802855,0.746772,3.949004,137.882,145.882,137.882,8.000,1
D46-105,East Indonesia,109.412,2.122,0,0.502845,0.460339,1.853017,125.888,133.888,125.888,8.000,1
D46-106,West Indonesia,76.486,1.499,0,0.222152,0.250388,1.334023,92.081,100.081,92.081,8.000,1
D46-107,Central Indonesia,125.580,5.928,1,0.779429,0.724282,1.380677,131.585,139.585,139.585,8.000,1
D46-108,East Indonesia,97.790,4.250,1,0.496913,0.488945,2.045219,110.737,118.737,118.737,8.000,1
D46-109,West Indonesia,101.024,5.129,0,0.564405,0.550601,2.225196,131.426,139.426,131.426,8.000,1
D46-110,Central Indonesia,81.118,1.592,0,0.254584,0.276152,1.381505,96.047,104.047,96.047,8.000,1
D46-111,East Indonesia,99.175,3.722,0,0.485276,0.472530,1.895843,121.480,129.480,121.480,8.000,1
D46-112,West Indonesia,87.546,4.031,1,0.398838,0.415639,2.405934,96.088,104.088,104.088,8.000,1
D46-113,Central Indonesia,79.956,6.367,1,0.436475,0.478478,2.089958,114.979,122.979,122.979,8.000,1
D46-114,East Indonesia,83.766,7.050,1,0.500202,0.534524,1.870824,103.785,111.785,111.785,8.000,1
D46-115,West Indonesia,123.884,4.647,1,0.725598,0.663837,1.506395,133.951,141.951,141.951,8.000,1
D46-116,Central Indonesia,122.238,6.976,1,0.791503,0.746793,1.339060,135.736,143.736,143.736,8.000,1
D46-117,East Indonesia,80.646,3.629,0,0.326475,0.356932,1.555045,89.695,97.695,89.695,8.000,1
D46-118,West Indonesia,82.303,5.047,1,0.398688,0.430869,2.320889,100.044,108.044,108.044,8.000,1
D46-119,Central Indonesia,103.038,4.698,1,0.562661,0.542746,1.842483,120.861,128.861,128.861,8.000,1
D46-120,East Indonesia,76.349,4.516,1,0.328516,0.371157,2.694277,101.434,109.434,109.434,8.000,1
D46-121,West Indonesia,82.032,2.116,0,0.279287,0.301236,1.431098,90.540,98.540,90.540,8.000,1
D46-122,Central Indonesia,112.703,7.316,1,0.742974,0.712766,1.402985,129.657,137.657,137.657,8.000,1
D46-123,East Indonesia,139.500,2.069,1,0.741719,0.640987,1.560093,153.312,161.312,161.312,8.000,1
D46-124,West Indonesia,110.672,7.742,1,0.744041,0.718935,1.390947,109.125,117.125,117.125,8.000,1
D46-125,Central Indonesia,100.740,5.566,1,0.581219,0.569298,1.756550,110.354,118.354,118.354,8.000,1
D46-126,East Indonesia,104.966,2.245,0,0.469515,0.438744,1.781720,111.409,119.409,111.409,8.000,1
D46-127,West Indonesia,103.536,7.953,0,0.701678,0.690331,3.229258,106.483,114.483,106.483,8.000,1
D46-128,Central Indonesia,89.240,4.159,1,0.418732,0.431863,2.315547,97.583,105.583,105.583,8.000,1
D46-129,East Indonesia,106.971,2.458,0,0.496606,0.461095,1.855614,110.731,118.731,110.731,8.000,1
D46-130,West Indonesia,98.223,4.055,1,0.491927,0.482390,2.073010,116.507,124.507,124.507,8.000,1
D46-131,Central Indonesia,111.277,2.297,0,0.527012,0.480173,1.923717,109.343,117.343,109.343,8.000,1
D46-132,East Indonesia,101.983,5.713,1,0.598146,0.583661,1.713323,114.859,122.859,122.859,8.000,1
D46-133,West Indonesia,123.959,7.340,0,0.811497,0.767366,4.298603,114.126,122.126,114.126,8.000,1
D46-134,Central Indonesia,114.880,4.552,1,0.654790,0.607867,1.645096,108.879,116.879,116.879,8.000,1
D46-135,East Indonesia,106.385,1.340,0,0.441439,0.405466,1.681990,102.527,110.527,102.527,8.000,1
D46-136,West Indonesia,90.098,6.778,1,0.543259,0.560759,1.783296,101.130,109.130,109.130,8.000,1
D46-137,Central Indonesia,137.100,7.409,0,0.873484,0.822531,5.634778,133.618,141.618,133.618,8.000,1
D46-138,East Indonesia,138.979,2.107,0,0.739530,0.639663,2.775179,142.239,150.239,142.239,8.000,1
D46-139,West Indonesia,128.063,7.928,1,0.846738,0.803330,1.244819,121.234,129.234,129.234,8.000,1
D46-140,Central Indonesia,120.739,5.405,0,0.730816,0.678321,3.108690,141.284,149.284,141.284,8.000,1
D46-141,East Indonesia,72.647,5.804,0,0.351458,0.407362,1.687370,96.884,104.884,96.884,8.000,1
D46-142,West Indonesia,102.319,1.731,0,0.423785,0.398985,1.663853,93.098,101.098,93.098,8.000,1
D46-143,Central Indonesia,166.113,1.899,0,0.876075,0.770228,4.352149,176.040,184.040,176.040,8.000,1
D46-144,East Indonesia,85.565,3.935,0,0.378264,0.399339,1.664833,96.319,104.319,96.319,8.000,1
D46-145,West Indonesia,79.548,6.347,0,0.432082,0.474999,1.904758,99.738,107.738,99.738,8.000,1
D46-146,Central Indonesia,105.527,4.031,1,0.554538,0.526656,1.898773,111.460,119.460,119.460,8.000,1
D46-147,East Indonesia,48.130,7.536,0,0.238854,0.341600,1.518834,94.621,102.621,94.621,8.000,1
D46-148,West Indonesia,105.855,1.071,1,0.424997,0.390077,2.563599,123.807,131.807,131.807,8.000,1
D46-149,Central Indonesia,101.887,7.575,1,0.674705,0.665718,1.502137,116.172,124.172,124.172,8.000,1
D46-150,East Indonesia,84.719,1.340,0,0.270195,0.284579,1.397778,101.922,109.922,101.922,8.000,1
D46-151,West Indonesia,130.098,2.212,0,0.679525,0.592146,2.451858,138.425,146.425,138.425,8.000,1
D46-152,Central Indonesia,81.132,6.532,0,0.453976,0.493611,1.974768,103.445,111.445,103.445,8.000,1
D46-153,East Indonesia,104.025,3.837,0,0.532836,0.508130,2.033059,114.360,122.360,114.360,8.000,1
D46-154,West Indonesia,77.742,6.728,0,0.433401,0.481832,1.929875,101.181,109.181,101.181,8.000,1
D46-155,Central Indonesia,92.042,5.551,1,0.505162,0.514922,1.942043,109.405,117.405,117.405,8.000,1
D46-156,East Indonesia,117.249,2.980,0,0.608286,0.549562,2.220063,109.819,117.819,109.819,8.000,1
D46-157,West Indonesia,62.504,7.971,0,0.359490,0.446227,1.805795,90.208,98.208,90.208,8.000,1
D46-158,Central Indonesia,137.345,4.886,1,0.815561,0.742836,1.346192,120.258,128.258,128.258,8.000,1
D46-159,East Indonesia,81.412,6.738,0,0.465619,0.505129,2.020727,110.352,118.352,110.352,8.000,1
D46-160,West Indonesia,113.841,1.996,0,0.535867,0.481837,1.929893,116.907,124.907,116.907,8.000,1
D46-161,Central Indonesia,135.211,4.655,1,0.797426,0.723884,1.381437,142.724,150.724,150.724,8.000,1
D46-162,East Indonesia,120.710,5.236,1,0.724587,0.671122,1.490042,121.593,129.593,129.593,8.000,1
D46-163,West Indonesia,70.712,4.375,1,0.281389,0.333080,3.002284,73.914,81.914,81.914,8.000,1
D46-164,Central Indonesia,152.491,7.004,1,0.916667,0.862912,1.158867,168.194,176.194,176.194,8.000,1
D46-165,East Indonesia,135.327,2.119,1,0.714607,0.619000,1.615509,125.144,133.144,133.144,8.000,1
D46-166,West Indonesia,137.452,7.921,1,0.884587,0.837472,1.194070,168.760,176.760,176.760,8.000,1
D46-167,Central Indonesia,80.802,1.737,0,0.257449,0.280099,1.389080,115.704,123.704,115.704,8.000,1
D46-168,East Indonesia,90.629,4.337,0,0.438482,0.448706,1.813914,133.014,141.014,133.014,8.000,1
D46-169,West Indonesia,84.059,2.984,1,0.327214,0.348369,2.870518,88.570,96.570,96.570,8.000,1
D46-170,Central Indonesia,111.656,7.531,1,0.743366,0.715778,1.397081,130.772,138.772,138.772,8.000,1
D46-171,East Indonesia,117.333,1.498,0,0.543960,0.479929,1.922816,123.169,131.169,123.169,8.000,1
D46-172,West Indonesia,91.204,4.465,1,0.449137,0.458273,2.182104,112.991,120.991,120.991,8.000,1
D46-173,Central Indonesia,130.604,1.259,1,0.645144,0.550956,1.815028,142.216,150.216,150.216,8.000,1
D46-174,East Indonesia,123.683,2.372,1,0.635495,0.560598,1.783810,147.332,155.332,155.332,8.000,1
D46-175,West Indonesia,105.285,6.019,1,0.638393,0.617292,1.619978,116.430,124.430,124.430,8.000,1
D46-176,Central Indonesia,91.834,6.984,1,0.567414,0.580919,1.721412,92.488,100.488,100.488,8.000,1
D46-177,East Indonesia,38.259,2.973,0,0.089009,0.145796,1.170681,51.011,59.011,51.011,8.000,1
D46-178,West Indonesia,86.424,2.385,0,0.321724,0.336022,1.506075,87.778,95.778,87.778,8.000,1
D46-179,Central Indonesia,122.942,6.046,0,0.766965,0.715564,3.515726,138.386,146.386,138.386,8.000,1
D46-180,East Indonesia,34.923,7.429,1,0.162400,0.267937,3.732227,76.294,84.294,84.294,8.000,1
D46-181,West Indonesia,92.574,7.591,1,0.600241,0.613057,1.631169,130.544,138.544,138.544,8.000,1
D46-182,Central Indonesia,74.298,7.209,0,0.425081,0.483232,1.935104,91.738,99.738,91.738,8.000,1
D46-183,East Indonesia,96.266,4.269,1,0.484438,0.480375,2.081709,107.927,115.927,115.927,8.000,1
D46-184,West Indonesia,104.351,2.909,0,0.493977,0.466172,1.873262,127.375,135.375,127.375,8.000,1
D46-185,Central Indonesia,105.245,7.423,1,0.694176,0.677780,1.475405,124.129,132.129,132.129,8.000,1
D46-186,East Indonesia,53.323,5.766,0,0.214870,0.296725,1.421920,93.020,101.020,93.020,8.000,1
D46-187,West Indonesia,93.425,3.660,0,0.432582,0.434175,1.767331,123.653,131.653,123.653,8.000,1
D46-188,Central Indonesia,100.464,6.799,1,0.631826,0.623908,1.602799,100.637,108.637,108.637,8.000,1
D46-189,East Indonesia,120.543,6.506,1,0.766756,0.721152,1.386669,142.748,150.748,150.748,8.000,1
D46-190,West Indonesia,125.922,2.595,1,0.662481,0.584587,1.710609,130.762,138.762,138.762,8.000,1
D46-191,Central Indonesia,89.730,5.138,1,0.466398,0.480954,2.079203,96.139,104.139,104.139,8.000,1
D46-192,East Indonesia,133.994,3.459,0,0.752578,0.669627,3.026883,119.687,127.687,119.687,8.000,1
D46-193,West Indonesia,100.575,3.912,0,0.506071,0.490230,1.961668,105.399,113.399,105.399,8.000,1
D46-194,Central Indonesia,118.759,7.525,1,0.787691,0.750115,1.333130,127.703,135.703,135.703,8.000,1
D46-195,East Indonesia,106.912,6.841,1,0.684234,0.662530,1.509365,119.868,127.868,127.868,8.000,1
D46-196,West Indonesia,88.181,2.672,0,0.346897,0.358272,1.558293,110.852,118.852,110.852,8.000,1
D46-197,Central Indonesia,108.687,3.856,1,0.573984,0.537961,1.858871,122.451,130.451,130.451,8.000,1
D46-198,East Indonesia,108.573,1.323,1,0.459637,0.417870,2.393087,121.156,129.156,129.156,8.000,1
D46-199,West Indonesia,98.327,6.931,0,0.619877,0.617288,2.612930,119.003,127.003,119.003,8.000,1
D46-200,Central Indonesia,110.927,7.959,0,0.753072,0.728440,3.682422,123.072,131.072,123.072,8.000,1
D46-201,East Indonesia,81.528,7.169,1,0.485979,0.526280,1.900131,100.025,108.025,108.025,8.000,1
D46-202,West Indonesia,106.790,1.712,0,0.461529,0.425057,1.739303,103.530,111.530,103.530,8.000,1
D46-203,Central Indonesia,118.434,6.308,1,0.746613,0.702686,1.423111,137.573,145.573,145.573,8.000,1
D46-204,East Indonesia,70.819,4.610,0,0.290793,0.343662,1.523605,105.630,113.630,105.630,8.000,1
D46-205,West Indonesia,96.441,3.728,0,0.461694,0.455895,1.837879,103.292,111.292,103.292,8.000,1
D46-206,Central Indonesia,113.192,7.698,1,0.759028,0.729786,1.370265,128.733,136.733,136.733,8.000,1
D46-207,East Indonesia,139.053,5.177,1,0.831839,0.761060,1.313957,146.220,154.220,154.220,8.000,1
D46-208,West Indonesia,90.533,7.736,0,0.589315,0.607525,2.547931,89.150,97.150,89.150,8.000,1
D46-209,Central Indonesia,86.859,6.883,0,0.519741,0.545766,2.201510,100.769,108.769,100.769,8.000,1
D46-210,East Indonesia,132.668,3.646,0,0.750196,0.670180,3.031960,97.924,105.924,97.924,8.000,1
D46-211,West Indonesia,74.966,3.047,0,0.263524,0.301425,1.431486,96.522,104.522,96.522,8.000,1
D46-212,Central Indonesia,109.988,5.963,0,0.673250,0.642095,2.794036,132.289,140.289,132.289,8.000,1
D46-213,East Indonesia,99.753,1.410,0,0.388209,0.369473,1.585975,113.988,121.988,113.988,8.000,1
D46-214,West Indonesia,139.311,5.372,1,0.837922,0.768869,1.300612,140.007,148.007,148.007,8.000,1
D46-215,Central Indonesia,119.669,1.815,1,0.578133,0.509493,1.962736,123.663,131.663,131.663,8.000,1
D46-216,East Indonesia,102.157,7.411,1,0.670285,0.660264,1.514546,121.872,129.872,129.872,8.000,1
D46-217,West Indonesia,125.527,6.041,1,0.782590,0.728284,1.373090,136.471,144.471,144.471,8.000,1
D46-218,Central Indonesia,89.593,1.665,1,0.317660,0.323247,3.093606,104.959,112.959,112.959,8.000,1
D46-219,East Indonesia,106.961,1.161,0,0.438467,0.400739,1.668723,105.854,113.854,105.854,8.000,1
D46-220,West Indonesia,68.155,2.728,0,0.210231,0.255298,1.342818,90.937,98.937,90.937,8.000,1
D46-221,Central Indonesia,99.359,5.211,1,0.553679,0.544193,1.837582,111.887,119.887,119.887,8.000,1
D46-222,East Indonesia,98.958,2.436,1,0.426049,0.411080,2.432616,118.115,126.115,126.115,8.000,1
D46-223,West Indonesia,101.220,4.474,1,0.536938,0.520899,1.919759,117.361,125.361,125.361,8.000,1
D46-224,Central Indonesia,74.031,3.576,0,0.275831,0.317915,1.466093,75.754,83.754,75.754,8.000,1
D46-225,East Indonesia,130.190,4.914,1,0.775768,0.708485,1.411463,151.525,159.525,159.525,8.000,1
D46-226,West Indonesia,70.623,6.605,1,0.368352,0.432122,2.314160,102.856,110.856,110.856,8.000,1
D46-227,Central Indonesia,141.773,2.366,1,0.766372,0.666543,1.500279,127.519,135.519,135.519,8.000,1
D46-228,East Indonesia,90.074,2.942,0,0.373355,0.381187,1.615996,122.634,130.634,122.634,8.000,1
D46-229,West Indonesia,102.677,1.586,1,0.420475,0.394530,2.534663,104.127,112.127,112.127,8.000,1
D46-230,Central Indonesia,92.320,6.942,0,0.569733,0.581921,2.391895,101.553,109.553,101.553,8.000,1
D46-231,East Indonesia,82.106,7.279,1,0.495983,0.535062,1.868942,101.169,109.169,109.169,8.000,1
D46-232,West Indonesia,126.962,3.345,1,0.699679,0.624778,1.600568,144.205,152.205,152.205,8.000,1
D46-233,Central Indonesia,102.765,2.952,1,0.482041,0.458391,2.181544,116.039,124.039,124.039,8.000,1
D46-234,East Indonesia,146.666,3.686,1,0.831569,0.743628,1.344759,133.811,141.811,141.811,8.000,1
D46-235,West Indonesia,82.490,5.850,0,0.435401,0.469731,1.885836,107.827,115.827,107.827,8.000,1
D46-236,Central Indonesia,84.006,4.980,1,0.410139,0.438157,2.282289,111.605,119.605,119.605,8.000,1
D46-237,East Indonesia,130.618,1.485,1,0.654512,0.561630,1.780530,120.465,128.465,128.465,8.000,1
D46-238,West Indonesia,66.376,7.130,1,0.355846,0.430645,2.322098,95.266,103.266,103.266,8.000,1
D46-239,Central Indonesia,140.264,3.742,1,0.799440,0.714275,1.400021,133.842,141.842,141.842,8.000,1
D46-240,East Indonesia,136.480,1.207,1,0.688702,0.584404,1.711146,142.182,150.182,150.182,8.000,1
D46-241,West Indonesia,70.038,2.797,0,0.223530,0.266862,1.364000,81.524,89.524,81.524,8.000,1
D46-242,Central Indonesia,132.806,5.836,1,0.817379,0.755497,1.323632,108.844,116.844,116.844,8.000,1
D46-243,East Indonesia,115.000,1.968,1,0.544690,0.487712,2.050390,121.317,129.317,129.317,8.000,1
D46-244,West Indonesia,97.024,4.788,1,0.514416,0.509708,1.961906,103.971,111.971,111.971,8.000,1
D46-245,Central Indonesia,109.334,7.793,1,0.736805,0.714139,1.400288,114.756,122.756,122.756,8.000,1
D46-246,East Indonesia,124.804,4.329,1,0.720584,0.655424,1.525730,133.930,141.930,141.930,8.000,1
D46-247,West Indonesia,106.968,3.783,1,0.555969,0.523858,1.908914,108.334,116.334,116.334,8.000,1
D46-248,Central Indonesia,109.076,5.222,1,0.635902,0.603750,1.656315,137.568,145.568,145.568,8.000,1
